Year,Week Number,Date,Customer Name,CO Internal Salesperson,CO Number,Manufacturer Name,Item,Booked Revenue,Booked GP,GP%,CO Promise Date,CO Ship Date
2026,29,2026-07-15 00:00:00,CEI PTE LTD,laurekee,COV0022691,Microsemi Corp,USBQNM50403E3/TR7,$3275,$330,10.08%,2800-08-08 00:00:00,
2026,29,2026-07-15 00:00:00,"Digital Lighting Co., Ltd",springtu,COV0022692,Nexperia,"BCV46,215",$1935,$210,10.85%,2700-07-07 00:00:00,
2026,29,2026-07-15 00:00:00,"Digital Lighting Co., Ltd",springtu,COV0022692,Nexperia,"PDTC115ET,215",$780,$564,72.31%,2700-07-07 00:00:00,
2026,29,2026-07-15 00:00:00,"Digital Lighting Co., Ltd",springtu,COV0022692,Power Integrations Inc,LNK623DG-TL,$7913,$788,9.95%,2700-07-07 00:00:00,
2026,29,2026-07-15 00:00:00,"WUXI SHENNAN CIRCUITS CO,LTD",wingzhan,COV0022693,Micron Technology Inc,MT41K128M16JT-125 AAT:K,$17400,$1400,8.05%,2800-08-08 00:00:00,
2026,29,2026-07-15 00:00:00,"Plexus (Xiamen) Co., Ltd",wingzhan,COV0022694,Altera,EP4CE30F23C8N,$15840,$4320,27.27%,2800-08-08 00:00:00,
2026,29,2026-07-15 00:00:00,Marvell Asia Pte Ltd,laurekee,COV0022695,Analog Devices Inc,ADN8834ACBZ-R7,$29700,$5700,19.19%,2800-08-08 00:00:00,
2026,29,2026-07-15 00:00:00,"Plexus (Xiamen) Co., Ltd",wingzhan,COV0022696,Altera,EP2AGX45DF29C6G,$26160,$10966,41.92%,2800-08-08 00:00:00,
2026,29,2026-07-15 00:00:00,"Acron Aviation, Inc",danireis,COV0022697,RENESAS TECHNOLOGY EUROPE,IDT71V016SA15YG8,$8878,$4221,47.55%,2800-08-08 00:00:00,
2026,29,2026-07-14 00:00:00,"Plexus (Xiamen) Co., Ltd",wingzhan,COV0022668,Winbond Electronics Corp.,W632GU6RB-11,$142877,$20909,14.63%,2800-08-08 00:00:00,
