Week Number,Invoice Date,Sales Region,Internal Salesperson,CO Number,Customer Name,Customer City,Manufacturer Name,Item,Item Description,Invoice Revenue,Invoice GP,Invoice GM%,whse
29,2026-07-14 00:00:00,APAC - Laurel,laurekee,COV0020558,KLA - Tencor ( Singapore ) Pte. Ltd,,Samsung,M393A2K43DB3-CWE,16GB DDR4-3200 REGISTERED ECC,$107965.00,$67834.50,62.83%,W105
29,2026-07-14 00:00:00,APAC - Silvia,silvmuno,COV0020624,Tata Advanced Systems Limited,Bengaluru,Tecate,PBD-58/16.2M,"ULTRACAPACITOR MODULE,
58F, 16.2VDC",$23034.00,$2574.00,11.17%,MAIN
29,2026-07-14 00:00:00,APAC - Laurel,laurekee,COV0020968,KLA - Tencor ( Singapore ) Pte. Ltd,,Hynix,HMAG78EXNRA,DDR4 SDRAM 16GB 1.6GHz,$102680.00,$57870.93,56.36%,W105
29,2026-07-14 00:00:00,APAC - Silvia,wingzhan,COV0020991,"Plexus (Xiamen) Co., Ltd",Xiamen,Infineon Technologies,BTS500851TMAATMA1,XSTR FET 1 GATE MOSFET N-CHANN,$6520.65,$1873.75,28.74%,W105
29,2026-07-14 00:00:00,APAC - Laurel,laurekee,COV0021307,KLA - Tencor ( Singapore ) Pte. Ltd,,Samsung,M393A4K40EB3-CWE,32GB DDR4-3200 RDIMM 2RX4,$80520.00,$22442.06,27.87%,W105
29,2026-07-14 00:00:00,USA,jakemcal,COV0021485,GE Aviation Systems LLC (GE Aviation - GEINFRA-US OU #4007),Loves Park,Menda,34205,"CAP, CONNECTOR,
CONDUCTIVE Tabulated",$457.50,$323.86,70.79%,MAIN
29,2026-07-14 00:00:00,APAC - Laurel,rayng,COV0021978,S.A.S. Electronic company Limited,Taoyuan City,Intel Corp,PK8071305122201 SRMH2,CPU - Central Processing Units Intel Xeon Gold 5416 S Proces,$113387.50,$22145.00,19.53%,W105
29,2026-07-14 00:00:00,MEX,alfrmart,COV0022410,TAXAN MEXICO S.A. de C.V,San Luis Potosi,Semitec,103KT1608T-1P,"Thermistor.10kOhm1%,0603",$807.30,$460.16,57.00%,MAIN
29,2026-07-14 00:00:00,MEX,alfrmart,COV0022410,TAXAN MEXICO S.A. de C.V,San Luis Potosi,Murata,DE2E3SA472MN3AY02F,"Cap.4700pF,20%,400V",$720.00,$378.90,52.63%,MAIN
29,2026-07-14 00:00:00,MEX,alfrmart,COV0022410,TAXAN MEXICO S.A. de C.V,San Luis Potosi,Kamaya,RMC1/16S-223JTH,"Res.22kOhm,5%,1005",$182.93,$172.95,94.55%,MAIN
