Year,Week Number,Date,Customer Name,CO Internal Salesperson,CO Number,Manufacturer Name,Item,Item Description,Booked Revenue,Booked GP,GP%,CO Promise Date,CO Ship Date
2026,1,1/2/2026 0:00,"Applied Materials, Inc.",joshsyre,COV0020346,Computar,V7531-MPZ,"LENS, 75MM FOCAL, V7531-MPZ_210401",$858 ,$350 ,40.78%,1/8/2026 0:00,1/8/2026 0:00
2026,1,1/2/2026 0:00,"Applied Materials, Inc.",joshsyre,COV0020347,Dot Vision,DV-25X15-DIA.5-TH2.3,"SODA LIME GLASS, TARGET","$1,003 ",$583 ,58.14%,2/12/2026 0:00,2/2/2026 0:00
2026,1,1/2/2026 0:00,RTX Company,thomhayn,COV0020348,,NRE CHARGES,,$0 ,$0 ,0.00%,3/17/2026 0:00,
2026,1,1/2/2026 0:00,RTX Company,thomhayn,COV0020348,,NRE CHARGES,,"$30,600 ","$30,600 ",100.00%,6/23/2026 0:00,6/4/2026 0:00
2026,1,1/2/2026 0:00,RTX Company,thomhayn,COV0020348,Infineon Technologies,IRF8113TRPBF,"TRANSISTOR, MOSFET, POWER, REFINISHED","$3,050 ","($15,265)",-500.48%,6/23/2026 0:00,6/4/2026 0:00
2026,1,1/2/2026 0:00,RTX Company,thomhayn,COV0020348,Vishay Siliconix,SI7478DP-T1-E3,"MOSFET, SI, N-CHANNEL, ENHANCEMENT, 
SINGLE, P/T: 1.9W, V/D",$0 ,$0 ,0.00%,3/24/2026 0:00,
2026,1,1/2/2026 0:00,RTX Company,thomhayn,COV0020349,,NRE CHARGES,,$0 ,$0 ,0.00%,3/17/2026 0:00,
2026,1,1/2/2026 0:00,RTX Company,thomhayn,COV0020349,Vishay Intertechnology Inc,NTHS0603N01N1003JR,"RESISTOR, TEMPERATURE DEPENDENT",$0 ,$0 ,0.00%,3/9/2026 0:00,
2026,1,1/2/2026 0:00,RTX Company,thomhayn,COV0020349,Vishay Intertechnology Inc,NTHS0603N01N1003JR,"RESISTOR, TEMPERATURE DEPENDENT",$0 ,$0 ,0.00%,3/24/2026 0:00,
2026,1,1/4/2026 0:00,Cyient DLM Pvt Ltd,lavamano,COV0020350,Nexperia,"PESD24VL1BA,115",TVS DIODE 24VWM 70VC SOD323,"$7,019 ","$3,796 ",54.08%,2/17/2026 0:00,2/16/2026 0:00
2026,1,1/4/2026 0:00,Applied Materials S.E. Asia Pte. Ltd.,joshsyre,COV0020351,"Sierra Safety Technology, Inc.",DCR1-AM,DET FLAME UV/IR 24VDC W/2LED,"$2,000 ",$220 ,11.00%,5/7/2026 0:00,5/7/2026 0:00
2026,1,1/4/2026 0:00,Sanmina Corporation,wingzhan,COV0020352,Nexperia,"RB521CS30L,315",DIODE SCHOTTKY 30V 100MA 315MW SOD-882,"$5,100 ","$2,100 ",41.18%,1/16/2026 0:00,1/18/2026 0:00
2026,2,1/5/2026 0:00,KLA - Tencor ( Singapore ) Pte. Ltd,laurekee,COV0020353,Mellanox,MCX653105A-HDAT,LAN CARD CX-6 PCIE 200G QSFP56,"$688,275 ","$82,915 ",12.05%,1/26/2026 0:00,1/23/2026 0:00
2026,2,1/5/2026 0:00,HONGKONG BITFOIC ELECTRONICS LIMITED,jakeharr,COV0020354,Adesto,AT25SF041-SSHD-T,FLASH MEMORY,$300 ,$300 ,100.00%,1/9/2026 0:00,1/9/2026 0:00
2026,2,1/5/2026 0:00,"DJK CHIP CO.,LIMITED",jakeharr,COV0020355,Analog Devices Inc,LTC2601IDD#TRPBF,Digital to Analog Converters - DAC 16-B R2R DACs in 10-Lead,$0 ,$0 ,0.00%,1/22/2026 0:00,
2026,2,1/5/2026 0:00,HONGKONG BITFOIC ELECTRONICS LIMITED,jakeharr,COV0020356,On Semiconductor,CAT25320VI-GT3,IC EEPROM 32KBIT SPI 10MHZ 8SOIC,$375 ,$375 ,100.00%,1/8/2026 0:00,1/8/2026 0:00
2026,2,1/5/2026 0:00,Applied Materials S.E. Asia Pte. Ltd.,joshsyre,COV0020357,Mcmaster-Carr,21665A31,"MASTER PRECISION CROSS FRAME 
LEVEL CAST","$5,430 ",$978 ,18.00%,2/17/2026 0:00,2/17/2026 0:00
2026,2,1/5/2026 0:00,"Applied Materials, Inc.",joshsyre,COV0020358,Datalogic,CAB-ETH-X-M05,"DATALOGIC CABLE 93A050124, ETHERNET, PVC","$3,081 ","$1,342 ",43.56%,11/30/2026 0:00,
2026,2,1/5/2026 0:00,"Applied Materials, Inc.",joshsyre,COV0020359,"Air Filters, Inc.",MPH-24363AMG1-49,"HEPA FILTER, PARTICLE, 24""X36""X3"",UMP T","$2,693 ",$539 ,20.00%,7/22/2026 0:00,
2026,2,1/5/2026 0:00,SPEC BUY WITH NO C00,justgood,COV0020360,TE Connectivity,532824-1,Contact PIN Solder ST Thru-Hole Carton,$700 ,$173 ,24.64%,7/7/2700 0:00,
2026,2,1/5/2026 0:00,GE Aviation Systems LLC (GE Aviation - GEINFRA-US OU #4007),jakemcal,COV0020361,Vishay Dale,CRCW04021K00FKED,"RESISTOR, SMT, THICK FILM, 1.0 K OHM, 0.063W","$1,700 ","$1,513 ",89.00%,5/12/2026 0:00,5/13/2026 0:00
2026,2,1/5/2026 0:00,"Applied Materials, Inc.",joshsyre,COV0020362,Factored Manufacturer,KIT-0.5-PVM-4E,PNEUMATIC ISOLATORS,"$29,375 ","$3,500 ",11.91%,4/10/2026 0:00,4/10/2026 0:00
2026,2,1/5/2026 0:00,Celestica Global Limited,jaspkee,COV0020363,Genesic Semi,GD05MPS17J-TR,DIODE SIL CARB 1700V 15A TO2637,$0 ,$0 ,0.00%,7/7/2700 0:00,
2026,2,1/5/2026 0:00,"Meggitt/Parker North Hollywood, Inc.",joshsyre,COV0020364,Micross,JANTX1N6155A,TVS DIODE 27.4VWM 49.9VC SQ-MELF,"$1,187 ",$333 ,28.07%,3/26/2026 0:00,3/26/2026 0:00
2026,2,1/5/2026 0:00,"Meggitt/Parker North Hollywood, Inc.",joshsyre,COV0020364,Micross,JANTX1N6155A,TVS DIODE 27.4VWM 49.9VC SQ-MELF,"$4,746 ","$1,332 ",28.07%,8/5/2026 0:00,
2026,2,1/6/2026 0:00,"BK ELECTRONICS CO., LTD.",edynlee,COV0020365,Microchip Technology Inc,ATMEGA2560-16AU,MICROCONTROLLER SMD 256K PROG,"$2,052 ",$351 ,17.11%,1/16/2026 0:00,1/14/2026 0:00
2026,2,1/6/2026 0:00,GE Aviation Systems LLC (GE Aviation - GEINFRA-US OU #4007),jakemcal,COV0020366,KYOCERA AVX,KGM05ACG1H270KH,KGM05ACG1H270KH,$252 ,$251 ,99.48%,1/19/2026 0:00,1/16/2026 0:00
2026,2,1/6/2026 0:00,Plexus International Sales (PLEX04),salvhorn,COV0020367,Intel Corp,EP2AGX95EF35C4G,FPGA Arria® II GX Family 89178 Cells 500MHz 40nm Technology,$0 ,$0 ,0.00%,1/26/2026 0:00,
2026,2,1/6/2026 0:00,AGS Devices Co.,jakeharr,COV0020368,,Tariff Charge(NI),,"$13,180 ","$13,180 ",100.00%,1/9/2026 0:00,1/7/2026 0:00
2026,2,1/6/2026 0:00,AGS Devices Co.,jakeharr,COV0020368,Nexperia,BC807-25-QR,TRANS PNP 45V 0.5A TO-236AB,"$60,000 ","$42,600 ",71.00%,1/7/2026 0:00,1/7/2026 0:00
2026,2,1/7/2026 0:00,"East West El Paso, LLC",alexpart,COV0020369,Hirose Electric Co Ltd,DF40C-30DP-0.4V(51),30POS ;0.4MM; SMD; GOLD,"$2,250 ",$790 ,35.11%,3/16/2026 0:00,3/13/2026 0:00
2026,2,1/7/2026 0:00,"East West El Paso, LLC",alexpart,COV0020369,Hirose Electric Co Ltd,DF40C-30DP-0.4V(51),30POS ;0.4MM; SMD; GOLD,"$1,125 ",$395 ,35.11%,3/17/2026 0:00,3/13/2026 0:00
2026,2,1/7/2026 0:00,"East West El Paso, LLC",alexpart,COV0020369,Hirose Electric Co Ltd,DF40C-30DP-0.4V(51),30POS ;0.4MM; SMD; GOLD,"$1,125 ",$395 ,35.11%,4/15/2026 0:00,4/13/2026 0:00
2026,2,1/7/2026 0:00,"East West Wisconsin, LLC",alexpart,COV0020370,Epson,S1D13506F00A200,IC Controller CRT/LCD/TV 128-QFP,"$1,147 ",$520 ,45.35%,3/16/2026 0:00,3/17/2026 0:00
2026,2,1/7/2026 0:00,"Applied Materials, Inc.",joshsyre,COV0020371,Icotek,42582,"GROMMET, CABLE, UL94-V0",$399 ,$350 ,87.74%,1/16/2026 0:00,1/15/2026 0:00
2026,2,1/7/2026 0:00,"Applied Materials, Inc.",joshsyre,COV0020371,Icotek,45715,"GROMMET, SPLIT CABLE GLAND, M40X1.5, UL",$438 ,$338 ,77.33%,1/9/2026 0:00,1/9/2026 0:00
2026,2,1/7/2026 0:00,"Applied Materials, Inc.",joshsyre,COV0020372,Icotek,42576,"GROMMET, CABLE, 1 TO 15MM DIA, 
UL94-V0",$375 ,$344 ,91.78%,2/20/2026 0:00,2/19/2026 0:00
2026,2,1/7/2026 0:00,"Applied Materials, Inc.",joshsyre,COV0020372,Icotek,45692,"GROMMET, SPLIT CABLE GLAND, 
M16X1.5, UL9",$418 ,$350 ,83.67%,1/16/2026 0:00,1/15/2026 0:00
2026,2,1/7/2026 0:00,"Applied Materials, Inc.",joshsyre,COV0020373,Icotek,42507,QT 7 grey. Grommet single,$368 ,$350 ,95.13%,1/16/2026 0:00,1/15/2026 0:00
2026,2,1/7/2026 0:00,"S&B INDUSTRY, INC",aaromend,COV0020374,Charge,SHIPPING,SHIPPING,$100 ,$35 ,34.80%,7/7/2700 0:00,1/14/2026 0:00
2026,2,1/7/2026 0:00,"S&B INDUSTRY, INC",aaromend,COV0020374,Charge,TARIFF,TARIFF,$642 ,$212 ,33.07%,7/7/2700 0:00,1/14/2026 0:00
2026,2,1/7/2026 0:00,"S&B INDUSTRY, INC",aaromend,COV0020374,Matrix,MOP-TFT480272-43A-IPS-BLH-TPN,MOP-TFT480272-43A-IPS-BLH-TPN,"$2,038 ",$810 ,39.74%,1/14/2026 0:00,1/14/2026 0:00
2026,2,1/7/2026 0:00,"Applied Materials, Inc.",joshsyre,COV0020375,Panasonic Corp,MSMF042A1C2,"SERVOMOTOR 3000 RPM 200V, 23 BIT ABSOLUT","$4,357 ",$872 ,20.00%,5/8/2026 0:00,5/7/2026 0:00
2026,2,1/7/2026 0:00,Plexus International Sales (PLEX04),salvhorn,COV0020376,SiTime Corporation,SIT1602AI2218E24000000D,SIT1602AI2218E24000000D,"$1,820 ","$1,557 ",85.54%,2/4/2026 0:00,2/5/2026 0:00
2026,2,1/7/2026 0:00,Securaplane Technologies (Meggitt Vendor Reduction Program),joshsyre,COV0020377,Factored Manufacturer,CG704-700,CG704-700,$662 ,$410 ,61.90%,1/16/2026 0:00,1/14/2026 0:00
2026,2,1/7/2026 0:00,"KRF Co., Ltd",edynlee,COV0020378,NXP Semiconductors,MMG15241HT1,IC AMP CDMA 500MHZ-2.8GHZ SOT89A,"$4,836 ","$1,116 ",23.08%,2/2/2026 0:00,2/2/2026 0:00
2026,2,1/7/2026 0:00,Applied Materials S.E. Asia Pte. Ltd.,joshsyre,COV0020379,"Sierra Safety Technology, Inc.",DCR1-AM,DET FLAME UV/IR 24VDC W/2LED,"$2,000 ",$220 ,11.00%,5/7/2026 0:00,5/7/2026 0:00
2026,2,1/7/2026 0:00,HANSOL TECHNICS (THAILAND) COMPANY LIMITED,erinlee,COV0020380,On Semiconductor,NCP1034DR2G,IC REG CTRLR BUCK 16SOIC,"$14,242 ","$1,799 ",12.63%,1/16/2026 0:00,1/16/2026 0:00
2026,2,1/7/2026 0:00,Celestica Global Limited,jaspkee,COV0020381,Ftdi,FT4232HQ-REEL,IC USB HS QUAD UART/SYNC 64-QFN,"$1,236 ",$361 ,29.17%,1/26/2026 0:00,1/27/2026 0:00
2026,2,1/7/2026 0:00,Sanmina Corporation,ricamora,COV0020382,Texas Instruments,TPS51200DRCR,IC REG CONV DDR 1OUT 10VSON,$750 ,$492 ,65.60%,1/16/2026 0:00,1/20/2026 0:00
2026,2,1/7/2026 0:00,GE Aviation Systems LLC (GE Aviation - GEINFRA-US OU #4007),jakemcal,COV0020383,,660 Testing(NI),,"$1,450 ","$1,450 ",100.00%,2/9/2026 0:00,2/11/2026 0:00
2026,2,1/7/2026 0:00,GE Aviation Systems LLC (GE Aviation - GEINFRA-US OU #4007),jakemcal,COV0020383,Texas Instruments,JBP18S030MJ,"Microcircuit, Digital","$3,625 ","$1,153 ",31.80%,2/9/2026 0:00,2/11/2026 0:00
2026,2,1/8/2026 0:00,"Plexus (Xiamen) Co., Ltd",wingzhan,COV0020384,Broadcom Inc,HCPL-2430-000E,OPTOISO 3.75KV 2CH PSH PULL 8DIP,"$3,896 ",$899 ,23.08%,1/16/2026 0:00,1/16/2026 0:00
2026,2,1/8/2026 0:00,"Plexus (Xiamen) Co., Ltd",wingzhan,COV0020385,Texas Instruments,OPA2336EA/2K5,IC OPAMP GP 2 CIRCUIT 8VSSOP,"$9,499 ","$2,625 ",27.63%,4/30/2026 0:00,4/2/2026 0:00
