Week Number,Invoice Date,Sales Region,Internal Salesperson,CO Number,Customer Name,Manufacturer Name,Item,Item Description,Invoice Revenue,Invoice GP,Invoice GM%
7,2026-02-13 00:00:00,Other,jakeharr,COV0020780,"A&K Electronics, LLC",Semtech,SX1509BIULTRT,I2C Interface 5.5V 28-Pin QFN-UT EP T/R,$1920.00,$1920.00,100.00%
4,2026-01-19 00:00:00,MEX,joelflor,COV0015329,Abaco Systems Inc,Macom,M23636G-16,BGA 36X36 ASYNC CROSSPOINT,$14238.72,$6214.89,43.65%
5,2026-01-28 00:00:00,MEX,joelflor,COV0015407,Abaco Systems Inc,Broadcom Inc,BCM5345KPBG,OBS: BGA LTB BCM5345 24PORT GBIT SWT,$4624.00,$3859.95,83.48%
21,2026-05-21 00:00:00,MEX,joelflor,COV0018787,Abaco Systems Inc,Charge,EXPEDITE FEE,EXPEDITE FEE,$0.00,($900.00),0.00%
4,2026-01-21 00:00:00,MEX,joelflor,COV0020087,Abaco Systems Inc,Intel Corp,AV8063801117503 SR0NC,BGA 1023 I7-3615QE PROCESSOR 45W,$5805.00,$1755.00,30.23%
4,2026-01-19 00:00:00,MEX,joelflor,COV0020088,Abaco Systems Inc,Samsung,K4B4G0846D-BCK0,BGA 1023 I7-3555LE PROCESSOR,$3546.20,$845.38,23.84%
5,2026-01-30 00:00:00,MEX,joelflor,COV0020132,Abaco Systems Inc,Stanley,UB1114C-0005,LED BLUE SMD 0603,$1873.08,$1085.06,57.93%
5,2026-01-28 00:00:00,MEX,joelflor,COV0020189,Abaco Systems Inc,Micron Technology Inc,MT40A1G8PM-083E:A,BGA DRAM DDR4 SDRAM 8GB 1,$31726.20,$14524.20,45.78%
7,2026-02-10 00:00:00,MEX,joelflor,COV0020189,Abaco Systems Inc,Micron Technology Inc,MT40A1G8PM-083E:A,BGA DRAM DDR4 SDRAM 8GB 1,$15455.31,$3344.31,21.64%
5,2026-01-30 00:00:00,MEX,joelflor,COV0020270,Abaco Systems Inc,Micron Technology Inc,MT40A1G8PM-083E:A,BGA DRAM DDR4 SDRAM 8GB 1,$34356.62,$7534.62,21.93%
8,2026-02-17 00:00:00,MEX,joelflor,COV0020294,Abaco Systems Inc,Micron Technology Inc,MT41K1G8TRF-125:E,DDR DRAM 1GX8 0.225ns CMOS PBGA78,$10692.60,$6556.43,61.32%
7,2026-02-09 00:00:00,MEX,joelflor,COV0020450,Abaco Systems Inc,Vishay,SI7866ADP-T1-E3,"N-CHANNEL, SI, POWER, MOSFET",$2017.90,$949.60,47.06%
8,2026-02-18 00:00:00,MEX,joelflor,COV0020484,Abaco Systems Inc,Macom,M23636G-16,BGA 36X36 ASYNC CROSSPOINT,$6459.24,$1884.24,29.17%
10,2026-03-03 00:00:00,MEX,joelflor,COV0020484,Abaco Systems Inc,Macom,M23636G-16,BGA 36X36 ASYNC CROSSPOINT,$1926.44,$222.24,11.54%
19,2026-05-05 00:00:00,MEX,joelflor,COV0020484,Abaco Systems Inc,Macom,M23636G-16,BGA 36X36 ASYNC CROSSPOINT,$113.32,($119.28),-105.26%
9,2026-02-27 00:00:00,MEX,joelflor,COV0020549,Abaco Systems Inc,Intel Corp,NH82546GB,100-008-174-002,$8297.10,$3487.10,42.03%
15,2026-04-09 00:00:00,MEX,joelflor,COV0020631,Abaco Systems Inc,Altera,EP2A15F672C7,"IC, FPGA, 672 FLBGA, SMT, COMM",$52189.20,$8549.22,16.38%
8,2026-02-20 00:00:00,MEX,joelflor,COV0020775,Abaco Systems Inc,Winbond,W25Q128FVPIG,IC FLASH 128MBIT SPI/QUAD 8WSON,$2112.05,$1195.50,56.60%
19,2026-05-05 00:00:00,MEX,joelflor,COV0021321,Abaco Systems Inc,,Counterfeit Test (NI),,$4600.00,$4600.00,100.00%
19,2026-05-05 00:00:00,MEX,joelflor,COV0021321,Abaco Systems Inc,Xilinx Inc,XC7VX690T-1FFG1930C,IC FPGA 1000 I/O 1930FCBGA,$23000.00,$5850.00,25.43%
17,2026-04-23 00:00:00,MEX,joelflor,COV0021501,Abaco Systems Inc,Intel Corp,WG82574L SLBA9,"Microcontroller, FLASH, 25MHz, CMOS, PQCC64, 9 X 9 MM, PLAST",$6949.08,$979.08,14.09%
19,2026-05-07 00:00:00,MEX,joelflor,COV0021505,Abaco Systems Inc,Greenliant,GLS85LS1016A-M-C-FZJE,"FLASH - NAND (MLC) 16GB 1.2V, 3.3V SATA BGA",$2655.96,$105.96,3.99%
19,2026-05-04 00:00:00,MEX,joelflor,COV0021579,Abaco Systems Inc,Winbond,W25Q128FVPIG,IC FLASH 128MBIT SPI/QUAD 8WSON,$9110.88,$1618.38,17.76%
19,2026-05-04 00:00:00,MEX,joelflor,COV0021614,Abaco Systems Inc,Intel Corp,CL8067702869709S R32K,"IC BGA E3-1505M QUAD CORE PROCESSOR
3.0G",$473322.50,$63022.50,13.31%
23,2026-06-01 00:00:00,MEX,joelflor,COV0021614,Abaco Systems Inc,Intel Corp,CL8067702869709S R32K,"IC BGA E3-1505M QUAD CORE PROCESSOR
3.0G",$22830.85,$1510.85,6.62%
20,2026-05-15 00:00:00,MEX,joelflor,COV0021785,Abaco Systems Inc,Kingston Technology Company Inc,OM8P0S3128Q-A0,Solid State Drive 128GB SATA M.2 2280,$204800.00,$78800.00,38.48%
24,2026-06-10 00:00:00,MEX,joelflor,COV0021785,Abaco Systems Inc,Kingston Technology Company Inc,OM8P0S3128Q-A0,Solid State Drive 128GB SATA M.2 2280,$307200.00,$118200.00,38.48%
