MPN,Original MPN,Manufacturer,Customer Program,Demand Qty,Life Cycle Status,MPN Risk,BOM Line Risk,Current Projected Stock,Current Stock Levels,Current Min Lead Days,Current Max Lead Days,Current Report Date,In Astute Stock,Astute Stock Qty,All Customer Programs
"CL21C330JBANNNC","CL21C330JBANNNC","SAMSUNG","Sonardyne Master Active Part List",1000,"OBS","HIGH","HIGH",0,"",112,996,"9/8/2025","YES",48404,"Asica - BOM Health | Sonardyne Master Active Part List"
"CL21C330JBANNNC","CL21C330JBANNNC","Samsung Electro-Mechanics","Asica - BOM Health",2,"OBS","HIGH","LOW",0,"",112,154,"12/15/2025","YES",48404,"Asica - BOM Health | Sonardyne Master Active Part List"
"CL21C330JBANNNC","CL21C330JBANNNC","Samsung Electro-Mechanics","Asica - BOM Health",2,"OBS","HIGH","LOW",0,"",112,996,"9/8/2025","YES",48404,"Asica - BOM Health | Sonardyne Master Active Part List"
"CY7C1019DV33-10ZSXI","CY7C1019DV33-10ZSXI","Infineon","Edinburgh Instruments - Master BOM List",0,"OBS","HIGH","HIGH",0,"",99,99,"11/24/2025","YES",6605,"Edinburgh Instruments - Master BOM List"
"EPM3064ATC44-10N","EPM3064ATC44-10N","Altera","Astute PPV Exercise",900,"OBS","HIGH","HIGH",0,"",84,770,"12/6/2025","YES",50,"Astute PPV Exercise"
"FDS6982AS","FDS6982AS","ON Semiconductor","Edinburgh Instruments - Final Master BOM",1,"OBS","HIGH","HIGH",0,"",113,693,"7/17/2025","YES",80564,"Edinburgh Instruments - Final Master BOM | Edinburgh Instruments - Master BOM List | Edinburgh Instruments - PL034 00700"
"FDS6982AS","FDS6982AS","ON Semiconductor","Edinburgh Instruments - Master BOM List",1,"OBS","HIGH","HIGH",0,"",113,693,"7/14/2025","YES",80564,"Edinburgh Instruments - Final Master BOM | Edinburgh Instruments - Master BOM List | Edinburgh Instruments - PL034 00700"
"FDS6982AS","FDS6982AS","ON Semiconductor","Edinburgh Instruments - PL034 00700",1,"OBS","HIGH","HIGH",0,"",113,693,"7/14/2025","YES",80564,"Edinburgh Instruments - Final Master BOM | Edinburgh Instruments - Master BOM List | Edinburgh Instruments - PL034 00700"
"IRF7341PBF","IRF7341PBF","International Rectifier HiRel Products","INGETEAM BOM Health Analysis",8000,"OBS","HIGH","HIGH",0,"",127,273,"10/15/2025","YES",25,"INGETEAM BOM Health Analysis"
"IRF7341PBF","IRF7341PBF","International Rectifier HiRel Products","INGETEAM BOM Health Analysis",8000,"OBS","HIGH","HIGH",0,"None",127,273,"2/4/2025","YES",25,"INGETEAM BOM Health Analysis"
