Chuboe_Offer_ID[Value],Chuboe_MPN,Chuboe_MFR_ID[Value],Chuboe_MFR_Text,Qty,Chuboe_Lead_Time,Chuboe_Package_Desc,C_Country_ID[Name],Chuboe_Date_Code,C_Currency_ID[ISO_Code],Description,IsActive,Chuboe_MPN_Clean,Chuboe_CPC,PriceEntered,Chuboe_MOQ,Chuboe_SPQ
,A1082-5-0-0,,Positronic,178,,US2105270000029;G07A02,,,,"GND-SPACER,HEX,.112-40X0.156",,,,,,
,A1082-7-0-0,,Positronic,218,,US2105270000030;G07A02,,,,"GND-SPACER,HEX,.112-40X.500",,,,,,
,D9/370000V50,,Positronic,20,,US3004190000002;G07E02,,1917,,"CONN, LOCKING TABS-FIT 9-44 CONNECTORS",,,,,,
,FC112N2/AA,,Positronic,9853,,US1508180000020;G05C02,,1824,,Power Contacts,,,,,,
,FC112N2/AA,,Positronic,116,,US2108180000008;G05C02,,1830,,Power Contacts,,,,,,
,GFSH02F1H/AA,,Positronic,88,,US2707180000022;SLS03,,1828,,Goldfish,,,,,,
,GFSH02F3N/AA,,Positronic,100,,US3007180000028;G07A03,,1828,,Goldfish,,,,,,
,GFSH109F182/AA,,Positronic,100,,US3107180000034;G07A01,,1827,,Goldfish,,,,,,
,GFSH109F1H/AA,,Positronic,100,,US2707180000023;G07A03,,1828,,Goldfish,,,,,,
,GFSH624F4LN/AA,,Positronic,100,,US2707180000018;G07A01,,1827,,Goldfish,,,,,,
,GFSH624M3H/AA,,Positronic,100,,US3107180000037;G07A01,,1827,,Goldfish,,,,,,
,GFSH89F3H/AA,,Positronic,75,,US3107180000031;G07F03,,1820,,Goldfish,,,,,,
,GFSH89F4B/AA,,Positronic,100,,US3107180000033;G07F03,,1826,,Goldfish,,,,,,
,GFSH89F4LN/AA,,Positronic,25,,US3107180000018;G06C02,,1826,,Goldfish,,,,,,
,GFSH89F93H/AA,,Positronic,100,,US3107180000035;G07A01,,1827,,Goldfish,,,,,,
,GFSH89M3N/AA,,Positronic,35,,US2407180000021;G07C01,,1827,,Goldfish,,,,,,
,GFSH928F1H/AA,,Positronic,40,,US3107180000038;G05F03,,1825,,Goldfish,,,,,,
,GFSH928M3H/AA,,Positronic,50,,US3107180000036;G07F02,,1826,,Goldfish,,,,,,
,HDC37F36F00S,,Positronic,27,,US2003060000010;G07E04,,2009,,"CONNECTOR, ELECTRICAL",,,,,,
,HDC9M3S60T0,,Positronic,100,,US2103170000019;G06E04,,,,"CONN POSITRONICS HDC9M3S6OTO, LEADED",,,,,,
,M24308/25-6F,,Positronic,137,,US1912230000006;G06D04,,1951,,"MOUNTING ACCESSORY, SCREW LOCKS, MICRO-D",,,,,,
,M24308/25-6F,,Positronic,150,,US2003260000006;G06D04,,,,"MOUNTING ACCESSORY, SCREW LOCKS, MICRO-D",,,,,,
,MC112N/AA,,Positronic,2065,,US1408180000007;QC INSPECT,,1831,,Power Contacts,,,,,,
,MC116N/AA,,Positronic,1629,,US2008180000009;G07B01,,1834,,16 Crimp Contacts,,,,,,
,MC116N/AA,,Positronic,1371,,US3008180000028;G07B01,,1832,,16 Crimp Contacts,,,,,,
,ODD15M4R700X,,Positronic,20,,US2002200000022;G07E01,,2007,,"15 PIN CONNECTOR,3 ROWS",,,,,,
,ODD26F98S000,,Positronic,6,,US2105110000006;G07E02,,,,"CONN,RCPT,26S,D-SUB",,,,,,
,ODD44F98S000,,Positronic,19,,US2105110000004;G07D02,,,,"CONN,RCPT,44S,D-SUB",,,,,,
