Chuboe_Offer_ID[Value],Chuboe_MPN,Chuboe_MFR_ID[Value],Chuboe_MFR_Text,Qty,Chuboe_Lead_Time,Chuboe_Package_Desc,C_Country_ID[Name],Chuboe_Date_Code,C_Currency_ID[ISO_Code],Description,IsActive,Chuboe_MPN_Clean,Chuboe_CPC,PriceEntered,Chuboe_MOQ,Chuboe_SPQ
,043801.5WR,,Littelfuse Inc,24000,,US2601230000009;HK-C05,,"2540, 2543",,FUSE BRD MT 1.5A 32VAC 63VDC,,,,0.022,,
,0734151004,,Molex LLC,5600,,US2503050000025;HK-F01,,2506,,"Conn,RF RA SMA MMCX",,,,1.57,,
,1.5TB-USD-HIGH ENDURANCE-FS,,Phison,2,,US2408280000049;RMA,,,,1.5TB-USD-HIGH ENDURANCE-FS,,,,133,,
,1.5TB-USD-HIGH ENDURANCE-FS,,Phison,176,,US2506110000009;HK-C01,,,,1.5TB-USD-HIGH ENDURANCE-FS,,,,99,,
,1.5TB-USD-HIGH ENDURANCE-FS,,Phison,860,,US2509190000001;HK-E03,,NA,,1.5TB-USD-HIGH ENDURANCE-FS,,,,103,,
,10AX090H4F34E3SG,,Intel Corp,59,,US2601180000026;HK-F02,,2419,,IC FPGA 10AX090 FBGA1152 R,,,,365,,
,10CL040YF484C8G,,Intel Corp,239,,US2506030000006;HK-E02,,2507,,IC PROG CYCLONE 10LP FPGA484 R,,,,22.8,,
,1-179960-2,,TE Connectivity Ltd,539,,US2510130000035;HK-I01,,2344,,CON-6P-M-ST-10.16mm-HDR,,,,3.1763,,
,1206L050/15YR,,Littelfuse Inc,52000,,US2601120000022;HK-F01,,2533,,FUS PTC RST 15V 0.5A 1206 SMD,,,,0.03,,
,121-14204-01-260,,Winchester Interconnect,4719,,US2602110000006;QC INSPECT,,,,"TERM,PCB,PWR,W-INSULATOR,6-32,10P ROHS",,,,5.5,,
,178.6165.0001,,Littlefuse Inc,2000,,US2502250000009;HK-B01,,2503,,"Blade Fuse Holder,80V",,,,0.75,,
,20685-001-XTD,,Onsemi,573,,US2502050000007;HK-HOLDLOT,,,,20685-001-XTD,,,,,,
,2171790001,,Molex LLC,10800,,US2512170000042;HK-I01,,2538,,"USB CONN, 2.0 TYPE C, RCPT, 16POS, SMT",,,,0.2,,
,25PK470MEFC8X11.5,,Rubycon,2000,,US2412090000005;HK-A03,,,,"CAP, 470F, 25V, 20%",,,,0.0339,,
,2SA1492,,Inchange Semiconductor,240,,US2602050000036;HK-B04,,,,TRANS PNP 180V 15A TO3P,,,,1.08,,
,2SA1837,,Inchange Semiconductor,2000,,US2511030000061;HK-D03,,2541,,TRANS PNP 230V 1A TO220NIS,,,,0.25,,
,2SC3856-P,,Inchange Semiconductor,4800,,US2602090000043;HK-I01,,2606,,TRANS NPN 180V 15A TO3P,,,,0.9,,
,45MQ15B,,ECO Frequency Technology,2000,,US2602270000008;HK-B03,,2608,,"FLTR,XTAL,45MHz",,,,2.25,,
,45MQ15B,,ECO Frequency Technology,1000,,US2602270000009;HK-B03,,2608,,"FLTR,XTAL,45MHz",,,,2.25,,
,45MQ15B,,ECO Frequency Technology,4000,,US2511210000016;HK-A05,,2546,,"FLTR,XTAL,45MHz",,,,2.25,,
,45MQ15B,,ECO Frequency Technology,5000,,US2602270000010;HK-B03,,2608,,"FLTR,XTAL,45MHz",,,,2.25,,
,5CSXFC5D6F31I7N,,Intel Corp,3276,,US2602270000004;HK-PALLET8,,"2301,2307,2313,2319",,IC SOC CORTEX-A9 800MHZ 896FBGA,,,,48.23,,
