Chuboe_Offer_ID[Value],Chuboe_MPN,Chuboe_MFR_ID[Value],Chuboe_MFR_Text,Qty,Chuboe_Lead_Time,Chuboe_Package_Desc,C_Country_ID[Name],Chuboe_Date_Code,C_Currency_ID[ISO_Code],Description,IsActive,Chuboe_MPN_Clean,Chuboe_CPC,PriceEntered,Chuboe_MOQ,Chuboe_SPQ
,0452001.NRL,,Littelfuse Inc,4244,,US2602220000008;QC INSPECT,,,,(CE/) FUSE 125V 1A SLOBLO NANO,,,,,,
,100E680JMN3600XT,,American Technical Ceramics Corp,271,,US2602180000037;QC INSPECT,,,,(CE/) CAP 68PF CM 3600V 5% SMD,,,,,,
,104M06QC22,,Cornell Dubilier,734,,US2602190000053;QC INSPECT,,,,(/C4) CAP 0.10UF 22OHMS 600V S,,,,,,
,10EOP,,TE Connectivity,205,,US2602260000033;QC INSPECT,,,,(CE/) ADPTR FILTER TH SNGL PHA,,,,,,
,1410-L110-L1F1-S01-4A,,E-T-A Elektrotechnische Apparate GmbH,523,,US2602180000035;QC INSPECT,,,,(CE/C4) CKT BREAKER 250V 4A TH,,,,,,
,1C10X7R102K100R,,Vishay Dale,7433,,US2602230000049;QC INSPECT,,,,(CE/) CAP 1000PF CER MONO 10%,,,,,,
,2056-440-N,,RAF Electronic Hardware,2271,,US2602190000052;QC INSPECT,,,,(/) STDF FEM 3/16 HEX  4-40THD,,,,,,
,208721-1,,TE Connectivity,109,,US2602220000003;QC INSPECT,,,,(CE/) CONN 5POS RCPT CPC FEMAL,,,,,,
,26-60-5120,,Molex LLC,868,,US2602250000052;QC INSPECT,,,,(CE/) CONN 12POS HDR FLOK TH,,,,,,
,2970442,,Phoenix Contact,786,,US2602230000007;QC INSPECT,,,,SIDE ELEM 11.25MM W W/O MKR GR,,,,,,
,34.81.7.024.9024,,Finder,52,,US2602220000011;QC INSPECT,,,,"RLY,SSR,1 NO,24VDC INPUT,24VDC,6A,SIP-4",,,,,,
,350428-4,,TE Connectivity,3597,,US2602190000051;QC INSPECT,,,,(CE/) CONN  2POS MALE PC MATE,,,,,,
,350429-1,,TE Connectivity,3290,,US2602240000001;QC INSPECT,,,,(/) CONN 3POS 1ROW MNL W-T-B,,,,,,
,350711-4,,TE Connectivity Ltd,6727,,US2602110000052;QC INSPECT,,,,"CONN,HDR,PCB,M-ST,UNV M-N-LOK,6P,ROHS",,,,,,
,38660-8806,,Multicomp,123,,US2602260000038;QC INSPECT,,,,(CE/) TERM BLK 6 600 8-18AWG B,,,,,,
,39-28-1163,,Molex LLC,5845,,US2602190000049;QC INSPECT,,,,(CE/) CONN 16POS 2X8 MFJ HDR,,,,,,
,5055558-4,,TE Connectivity,5134,,US2602180000029;QC INSPECT,,,,(CE/) TERM PCB PWR W-INSULATOR,,,,,,
,561R10TCCT12,,Vishay Dale,4888,,US2602230000005;QC INSPECT,,,,CAP 120PF CM 1KV 5% C0G TH RAD,,,,,,
,5747845-4,,TE Connectivity,520,,US2602110000050;QC INSPECT,,,,(CE/) CONN 15-POS 2-ROW D-SUB,,,,,,
,66461-9,,TE Connectivity,3490,,US2602190000034;QC INSPECT,,,,(CE/) SCKT WIRE WRAP 0.066D,,,,,,
,68602-172HLF,,Amphenol Corp,354,,US2602230000047;QC INSPECT,,,,(CE/) HDR 72POS 2X36 TH,,,,,,
,747840-4,,TE Connectivity,748,,US2602220000010;QC INSPECT,,,,(CE/) CONN 9-POS 2-ROW D-SUB M,,,,,,
,747842-4,,TE Connectivity,88,,US2603020000002;QC INSPECT,,,,(CE/) CONN 25-POS 2-ROW D-SUB,,,,,,
,747842-4,,TE Connectivity,650,,US2602190000036;QC INSPECT,,,,(CE/) CONN 25-POS 2-ROW D-SUB,,,,,,
,AGN20024,,Panasonic Corp,4662,,US2602190000046;QC INSPECT,,,,(CE/) RELAY DPDT 24VDC 1A SLIM,,,,,,
,B32933A3105M000,,TDK Corp,4306,,US2602250000050;QC INSPECT,,,,(CE/) CAP 1UF PET 400VDC 20% R,,,,,,
,BFC237042103,,Vishay Dale,2009,,US2602230000006;QC INSPECT,,,,(CE/) CAP 0.01UF 250V 5% MF,,,,,,
,BIFILAR1.16E-3MH,,Not Known Yet,104,,US2602180000036;QC INSPECT,,,,(CE/C1) INDUCTOR 1.16E-3MH AIR,,,,,,
,C1825C0G501-103JNE,,Venkel,134000,,US2602250000047;QC INSPECT,,,,(CE/) CAP SMD 1825 CER NPO 5%,,,,,,
,CBD7W2F37S600X,,Amphenol Corp,944,,US2602110000049;QC INSPECT,,,,(CE/) SKCT 7 POS ST,,,,,,
,D5W5P36A6GX08LF,,Amphenol Corp,40,,US2602240000005;QC INSPECT,,,,CONN DSUB 5W5 RA 40A,,,,,,
,DFA6U12S5,,Bel Power,8,,US2602230000051;QC INSPECT,,,,(CE/) D/C CONV IN 9-27 VDC 5 V,,,,,,
,DIN-096CSC-S3L-HM,,3M,1063,,US2602230000003;QC INSPECT,,,,(CE/) CONN 96POS 3ROW STRT,,,,,,
,EP3C120F484I7N,,Altera,1193,,US2602110000047;QC INSPECT,,,,EP3C120F484I7N,,,,,,
,EPCS64SI16N,,Altera,4257,,US2602110000048;QC INSPECT,,,,"Configuration Memory, 64MX1, Serial, CMO",,,,,,
,FAN73611MX,,On Semiconductor,31952,,US2602180000033;QC INSPECT,,,,(CE/) IC HI-SIDE DRVR SOIC8 60,,,,,,
,FAN73611MX,,On Semiconductor,877,,US2603010000004;QC INSPECT,,,,(CE/) IC HI-SIDE DRVR SOIC8 60,,,,,,
