Chuboe_Offer_ID[Value],Chuboe_MPN,Chuboe_MFR_ID[Value],Chuboe_MFR_Text,Qty,Chuboe_Lead_Time,Chuboe_Package_Desc,C_Country_ID[Name],Chuboe_Date_Code,C_Currency_ID[ISO_Code],Description,IsActive,Chuboe_MPN_Clean,Chuboe_CPC,PriceEntered,Chuboe_MOQ,Chuboe_SPQ
,0023-57074,,Factored Manufacturer,100,,US2602160000006;QC INSPECT,,,,STANDARD DOVE NUT IGS T2R2/ T3,,,,18.2,,
,0060-05798,,Not Known Yet,10,,US2412170000007;G02D02,,,,"LABELS, CH B WRAP AROUND LARGE",,,,,,
,0060-05803,,Not Known Yet,10,,US2412170000009;G02D02,,,,"LABELS CH A WRAP AROUND MEDIUM, 300MM PR",,,,,,
,0060-05805,,Not Known Yet,10,,US2412170000010;G02D02,,,,"LABELS CH C WRAP AROUND MEDIUM, 300MM PR",,,,,,
,00-8380-010-000-010,,KYOCERA AVX,27,,US2509110000005;G03E03,,,,SHR HD LP 2X5PIN WIDTH 8.6MM RM2.54,,,,2.93118,,
,0190-57635,,Astute Assembled,1,,US2602260000017;QC INSPECT,,,,AIR FLOW SW F262 SERIES 750FPM MAX,,,,202.2,,
,02-7036-0,,Cosmo,28,,US2602090000020;DSQR,,,,Bobbin,,,,14.8,,
,02-7036-0 - SET UP FEE,,Charge,1,,US2602090000021;QC INSPECT,,,,set up fee,,,,450,,
,10147605-00008LF,,Amphenol Corp,554,,US2412200000009;F04C01,,,,"CONN, HEADER, 8POS, 1ROW, 1MM",,,,,,
,1103P0701,,ITT Technologies Ltd,5,,US2512010000023;SLS02,,,,PRESSURE SWITCH,,,,5298,,
,11HM1,,Honeywell International,20,,US2509170000022;Q2,,,,Switch Snap Action N.O./N.C. SPDT Roller,,,,240,,
,12101C475KAT2A,,AVX Corporation,25,,US2602030000011;LSQ,,,,"CAPACITOR CERAMIC, X7R, 4.7",,,,0.985,,
,12101C475KAT2A,,AVX Corporation,25,,US2602030000007;LSQ,,,,"CAPACITOR CERAMIC, X7R, 4.7",,,,0.985,,
,12101C475KAT2A,,AVX Corporation,21950,,US2512180000035;QC INSPECT,,,,"CAPACITOR CERAMIC, X7R, 4.7",,,,0.20928,,
,1430-16-19T-0,,Allied Wire,35.5,,US2507100000007;QC INSPECT,,,,1430-16-19T-0,,,,0.4,,
,1430-16-19T-0,,Allied Wire,100,,US2507160000021;F08A01,,,,1430-16-19T-0,,,,0.363,,
,1430-16-19T-0,,Allied Wire,200,,US2507170000020;F08A01,,,,1430-16-19T-0,,,,25.99,,
,1430-16-19T-5,,Allied Wire,35.5,,US2507100000006;QC INSPECT,,,,1430-16-19T-5,,,,0.4,,
,1430-16-19T-5,,Allied Wire,100,,US2507160000022;F08A01,,,,1430-16-19T-5,,,,0.363,,
,1430-16-19T-5,,Allied Wire,200,,US2507170000021;F08A01,,,,1430-16-19T-5,,,,25.99,,
,1430-16-19T-9,,Allied Wire,158,,US2507170000026;F08A01,,,,1430-16-19T-9,,,,25.99,,
,15-18.72HY,,Quell Corporation,76,,US2603020000025;LSQ,,,,One 22nF 100wvdc capacitor and one 470nF,,,,267,,
,15-18.72HY,,Quell Corporation,5,,US2603020000026;LSQ,,,,One 22nF 100wvdc capacitor and one 470nF,,,,267,,
,15-18.72HY,,Quell Corporation,36,,US2603060000008;LSQ,,,,One 22nF 100wvdc capacitor and one 470nF,,,,267,,
,15-6FT1-300S,,"NORTH CENTRAL ENGINEERING, INC.",92,,US2502130000014;DSQR1,,,,RYLB-2480 FILTER,,,,20.5,,
,15-8FT1-300S,,"NORTH CENTRAL ENGINEERING, INC.",92,,US2502100000017;DSQR1,,,,RYLB-2481 FILTER,,,,20.5,,
,16PD04101S,,Albion Inc,5,,US2603030000015;QC INSPECT,,,,"CASTR SWIVEL 4""X1-1/2""WHEEL",,,,87.13,,
,1823968,,Phoenix Contact GmbH & Co. KG,247,,US2603050000022;0068,,,,TERM BLK 2P SIDE ENT 5.08MM PCB,,,,1.2603,,
,1IC03419121401,,Chogori,3997,,US2601280000021;ATX51L,,,,V2 Camera Accessory Cable 3' - Overmolde,,,,12.91,,
,204-00097,,TID,2,,US2506100000006;ATX41L,,,,204-00097,,,,25.88,,
,204-00097,,TID,1,,US2511210000025;F06D01,,,,204-00097,,,,80,,
,204-00146,,Send Cut Send,50,,US2504250000021;LSQ,,,,204-00146,,,,,,
,204-00146,,Send Cut Send,50,,US2504250000026;LSQ,,,,204-00146,,,,,,
,204-00148,,Send Cut Send,50,,US2504250000022;LSQ,,,,204-00148,,,,,,
,209-00047,,TID,3,,US2508190000017;Q5,,,,209-00047,,,,24.75,,
,216-203,,Wago,3000,,US2507280000020;QC INSPECT,,,,TERM FERRULE 1.0MM RED AWG18,,,,0.0919,,
,21813,,Astute Assembled,5,,US2507100000016;G03A03,,,,21813,,,,1.33,,
,221-2401,,Wago,50,,US2507080000011;F08D01,,,,221-2401,,,,0.38,,
,221-2401,,Wago,50,,US2506250000010;OSQ,,,,221-2401,,,,0.541,,
,22304211-01,,Chogori,30,,US2508120000017;G03E03,,,,Electrical connector,,,,,,
,25-4764-0-417-08,,Cosmo,78,,US2505270000024;DSQR2,,,,"BOBBIN,P.C.",,,,44,,
,2744044447,,Fair-Rite,9000,,US2512110000019;STOCK,,,,"INDUCTOR, SUPPRESSION BEAD,",,,,0.1894,,
,2-87631-1,,TE Connectivity,11,,US2601290000036;DSQR1,,,,"CONNECTOR,ELEC,PLUG",,,,2.847,,
,34ASP41B4V2GT,,Grayhill,200,,US2601190000020;F04B02,,,,Switch,,,,4.84,,
,352C04,,PCB Piezotronics,7,,US2512010000025;QC INSPECT,,,,Accelerometer,,,,418,,
,3690-12848,,Factored Manufacturer,165,,US2506130000017;F03F04,,,,"SCR, SKT HD SHLDR, 6-32 THD, 3/8LG",,,,1.75,,
,3690-16495,,Generic,686,,US2505060000023;RMA,,,,"SHOULDER SCREW, 3/16"" SHOULDER 3/16",,,,1.0831,,
,45MQ15B,,ECO Frequency Technology,4000,,US2508150000007;SLS06,,,,"FLTR,XTAL,45MHz",,,,2.25,,
,5103310-1,,Tyco,11,,US2512080000046;DSQR1,,,,"CONNECTOR-PRINTED CIRCUIT, CONNECTOR-PRI",,,,0.9172,,
,51-729-312,,Spectrum Control Ltd,374,,US2512290000030;SLS06,,,,"FILTER, RESIN SEAL",,,,7.77,,
,51-729-312,,Spectrum Control Ltd,126,,US2602090000019;SLS06,,,,"FILTER, RESIN SEAL",,,,7.77,,
,532824-1,,TE Connectivity,50,,US2601190000155;QC INSPECT,,,,Contact PIN Solder ST Thru-Hole Carton,,,,10.55,,
,53-710150-000,,Factored Manufacturer,2,,US2602160000015;F07F01,,,,"FLOWPOINT VALVE, EPI",,,,3850,,
,541201 BK001,,Alpha Wire,1,,US2508260000017;QC INSPECT,,,,541201 BK001,,,,541.63,,
,541201 BK002,,Alpha Wire,1,,US2508080000009;LSQ,,,,12 AWG Hook-Up Wire Solid Black 600V 500,,,,257.59,,
,541201 BK002,,Alpha Wire,1,,US2508140000014;QC INSPECT,,,,12 AWG Hook-Up Wire Solid Black 600V 500,,,,266.85,,
,541201 BK005,,Alpha Wire,5,,US2508210000019;LSQ,,,,541201 BK005,,,,65.434,,
,541201 GR005,,Alpha Wire,1,,US2506120000017;F06A01,,,,541201 GR005,,,,73.43,,
,5-535512-6,,Tyco,12,,US2601050000009;DSQR,,,,CONNECTOR-PRINTED,,,,21.04,,
,5856052,,Ideal Tridon,2,,US2505210000014;G03A03,,,,5856052,,,,1.83,,
,5-87962-9,,AMP,13,,US2602250000035;QC INSPECT,,,,"CONNECTOR PRINTED CIRCUIT,",,,,88,,
,69-8-2730,,On-Systems Ltd,5,,US2507170000004;A02B01,,,,Power Supply - Output: 28V 300W,,,,1950.0799,,
,707-00008,,Not Known Yet,1,,US2508140000019;QC INSPECT,,,,PICARD AC PA PHASE 2 BOX,,,,47.75754,,
,71V124SA10PHGI8,,Idt,5,,US2402260000011;G06B02,,,,IC SRAM 1MBIT PARALLEL 32TSOP II,,,,,,
,7443551130,,Wurth Elektronik GmBH & Co KG,400,,US2408290000027;LAMBLK.12.12,,2022-06-28,,"IDCTR,SMD,WW,H CUR,1.3UH,±20%,25A,59MHZ",,,,,,
,74457068,,Wurth Elektronik GmBH & Co KG,140,,US2601220000016;DSQR,,,,"INDUCTOR, 6.8UH, 20%, SMD",,,,1.941,,
,7447480102,,Wurth Elektronik GmBH & Co KG,100,,US2408290000030;LAMBLK.12.10,,2217,,"IDCTR,WOUND,RDL,1MH,800MA,1.15 OHM,THT",,,,,,
,74HCT4851PW/S400,,Nexperia,2500,,US2511070000002;F05D01,,,,.,,,,11.66,,
,75145K32,,Mcmaster-Carr,4,,US2509180000044;QC INSPECT,,,,75145K32,,,,3.77,,
,7566K103,,Mcmaster-Carr,80,,US2603020000050;STOCK,,,,"CABLE TIE MOUNT,0.20"" X 0.06"" TIE, #4",,,,0.4345,,
,7566K103,,Mcmaster-Carr,20,,US2603020000049;SLS01,,,,"CABLE TIE MOUNT,0.20"" X 0.06"" TIE, #4",,,,0.4345,,
,7566K103,,Mcmaster-Carr,80,,US2512100000009;SLS05,,,,"CABLE TIE MOUNT,0.20"" X 0.06"" TIE, #4",,,,,,
,76624-101,,Amphenol Connex,190,,US2512010000004;MRR,,,,RECEPTACLE 22-26AWG,,,,0.6,,
,768230344,,Molex LLC,10,,US2507080000020;F08A01,,,,768230344,,,,0.16421,,
,779011-01,,National Instruments,2,,US2602050000028;QC INSPECT,,,,ANALOG INPUT MODULE 4CH +/-10V 100 KS/S,,,,768.09,,
,779011-01,,National Instruments,2,,US2602050000029;QC INSPECT,,,,ANALOG INPUT MODULE 4CH +/-10V 100 KS/S,,,,767.15,,
,779011-01,,National Instruments,6,,US2602090000037;QC INSPECT,,,,ANALOG INPUT MODULE 4CH +/-10V 100 KS/S,,,,767.15,,
,779011-01,,National Instruments,3,,US2602100000007;QC INSPECT,,,,ANALOG INPUT MODULE 4CH +/-10V 100 KS/S,,,,758.09,,
,779011-01,,National Instruments,16,,US2602100000008;MRR,,,,ANALOG INPUT MODULE 4CH +/-10V 100 KS/S,,,,767.15,,
,779011-01,,National Instruments,6,,US2602120000028;QC INSPECT,,,,ANALOG INPUT MODULE 4CH +/-10V 100 KS/S,,,,767.15,,
,779011-01,,National Instruments,1,,US2602190000045;QC INSPECT,,,,ANALOG INPUT MODULE 4CH +/-10V 100 KS/S,,,,776.99,,
,86177-4,,TE Connectivity,11,,US2509150000026;DSQR2,,,,"CONNECTOR,PLUG,ELECTRICAL",,,,7,,
,87077-2,,TE Connectivity,44,,US2601290000035;DSQR1,,,,"KEY,CONNECTOR,ELEC",,,,0.4452,,
,90373A114,,Mcmaster-Carr,20,,US2602160000005;SLS03,,,,"SCR CAP HEX HD M10 X 35 MM L,",,,,1.293,,
,90373A114,,Mcmaster-Carr,4,,US2512100000014;F04C02,,,,"SCR CAP HEX HD M10 X 35 MM L,",,,,,,
,92000A116,,Mcmaster-Carr,70,,us2506230000039;OSQ,,,,92000A116,,,,0.0703,,
,92000A116,,Mcmaster-Carr,100,,US2506240000023;OSQ,,,,92000A116,,,,0.0703,,
,92000A116,,Mcmaster-Carr,30,,US2507170000006;F08A01,,,,92000A116,,,,7.03,,
,92147A009,,Mcmaster-Carr,980,,US2512100000022;F04C02,,,,"SPLIT LOCK WASHER,",,,,,,
,92148A150,,Mcmaster-Carr,30,,US2507170000010;F08A01,,,,92148A150,,,,1.92,,
,92148A150,,Mcmaster-Carr,70,,US2506230000044;OSQ,,,,92148A150,,,,0.0192,,
,92148A150,,Mcmaster-Carr,100,,US2506250000002;QC INSPECT,,,,92148A150,,,,0.0192,,
,92196A246,,Mcmaster-Carr,24,,US2512100000016;F04C02,,,,"SOCKET HEAD SCREW, 10-24, .875 L,",,,,,,
,93625A100,,Mcmaster-Carr,100,,US2509180000045;QC INSPECT,,,,93625A100,,,,0.0694,,
,93625A100,,Mcmaster-Carr,30,,US2507170000009;OSQ,,,,93625A100,,,,6.94,,
,93625A100,,Mcmaster-Carr,70,,US2506230000043;OSQ,,,,93625A100,,,,0.0694,,
,971080354,,Wurth,102,,US2507090000012;F08A01,,,,971080354,,,,0.3951,,
,971080471,,WURTH ELEKTRONIK,671,,US2507240000005;QC INSPECT,,,,HEX STANDOFF M4X0.7 STEEL 8MM,,,,0.345,,
,98689A112,,Mcmaster-Carr,28,,US2601210000006;LSQ,,,,WASHER-D3.2-A2,,,,,,
,A2A5328-22G5MBAS,,Basler,8,,US2602180000021;SLS03,,,,"Camera, alignment",,,,2850.32,,
,A54SX32A-3FG484I,,Microchip Technology Inc,341,,US2601140000021;q14,,,,"IC, FPGA, A54SX32",,,,75,,
,AA104-73LF,,Skyworks,3000,,US2602130000002;STOCK,,,,EOL IC ATTENUATOR DIGITAL 32DB 2.5GHZ PB,,,,5.94589,,
,ACE23450001,,Not Known Yet,12,,US2601150000029;DSQR1,,,,"CABLE ASSY, ELECTRICAL INTERFACE, ELECTR",,,,,,
,AHE2815D/CHSB,,Infineon,30,,US2602240000017;QC INSPECT,,,,AHE2815D/CHSB,,,,1725,,
,AS186-302LF,,"Skyworks Solutions, Inc.",49,,US2512020000017;MRR,,,,RF Switch ICs DC-6GHz IL,,,,5.89,,
,B07ZK56C7B,,Factored Manufacturer,540,,US2601290000052;F04F02,,,,LOCKPORT 4 INCH BLACK GAFFERS TAPE - 30,,,,0.2369,,
,B-250-130-62G,,Boyd CORP,1500,,US2603050000025;QC INSPECT,,,,HEATSINK WASHER,,,,1.32,,
,B32021A3472K000,,Epcos,1007,,US2502190000041;F04C01,,,,CAP FILM Y2 4700pF ±20% 300V,,,,,,
,BAS321-Q,,Nexperia,27000,,US2511050000023;F05D04,,,,DIODE STANDARD 200V 250MA SOD323,,,,2,,
,BAS32L,,Nexperia,99998,,US2601220000013;F07D01,,,,SOD-80: Bas32L 75V 200mA,,,,0.049,,
,BAS32L,,Nexperia,67497,,US2602090000028;F07D01,,,,SOD-80: Bas32L 75V 200mA,,,,0.01,,
,BAT54WS-7-F,,Diodes Inc,33,,US2512080000044;DSQR1,,,,Rectifier Diode Schottky 30V 0.2A 5ns 2-,,,,0.064,,
,BAT54WS-7-F,,Diodes Inc,55,,US2601290000027;DSQR3,,,,Rectifier Diode Schottky 30V 0.2A 5ns 2-,,,,0.064,,
,"BAV70,215",,Nexperia,450000,,US2511060000018;F05F01,,,,DIODE ARR GP 100V 215MA TO-236AB,,,,0.012,,
,BB-406020-B,,Astute Assembled,2295,,US2505140000008;ATX41R,,,,BB-406020-B,,,,0.07273,,
,BC807-25-QR,,Nexperia,369000,,US2510290000006;F05C02,,,,TRANS PNP 45V 0.5A TO-236AB,,,,0.29,,
,"BC807-40,215",,Nexperia,150000,,US2510290000004;F05B01,,,,Bc807-40/Sot23/To-236Ab |Nexperia BC807-,,,,0.04,,
,BC817-40-Q,,Nexperia,20000,,US2510270000026;SLS04,,,,TRANS NPN 45V 0.8A SOT23-3,,,,0.78,,
,BQ34Z100PWR-G1,,Texas Instruments,10000,,US2507280000008;A03B01,,,,IC BATT MON MULTI-CHEM 14TSSOP,,,,0.903,,
,"BSS138p,215",,Nexperia,9000,,US2510300000007;Q11,,,,N-CHANNEL ENHANCEMENT FET,,,,0.14,,
,BUK7M9R9-60EX,,Nexperia,390,,US2512290000019;QC INSPECT,,,,MOSFET N-CH 60V MLFPAK,,,,,,
,"BUK9Y29-40E,115",,Nexperia,24000,,US2511060000015;F05C02,,,,MOSFET N-CH 40V 25A LFPAK56,,,,11.43,,
,"BUK9Y29-40E,115",,Nexperia,4500,,US2511060000016;F05C02,,,,MOSFET N-CH 40V 25A LFPAK56,,,,11.12,,
,BZX384-C15-Q,,Nexperia,78000,,US2511060000025;F05D04,,,,DIODE ZENER 14.7V 300MW,,,,0.232,,
,BZX585-C5V1,,Nexperia,90000,,US2511030000057;F05E04,,,,DIODE ZENER 5.1V 300MW,,,,0.145,,
,BZX585-C5V1,,Nexperia,51000,,US2511030000058;F05E04,,,,DIODE ZENER 5.1V 300MW,,,,0.51,,
,BZX585-C5V1,,Nexperia,9000,,US2511030000059;F05E04,,,,DIODE ZENER 5.1V 300MW,,,,0.51,,
,"BZX585-C5V1,115",,Nexperia,33000,,US2510270000025;F05B01,,,,DIODE ZENER 5.1V 300MW SOD523,,,,0.2,,
,BZX84C18LT1G,,On Semiconductor,27000,,US2510240000016;SLS04,,,,DIODE ZENER 18V 250MW SOT23-3,,,,0.01347,,
,BZX84C18LT1G,,On Semiconductor,201000,,US2511060000026;F05D03,,,,DIODE ZENER 18V 250MW SOT23-3,,,,0.0093,,
,BZX84C18LT1G,,On Semiconductor,81000,,US2511100000045;F05C02,,,,DIODE ZENER 18V 250MW SOT23-3,,,,0.01,,
,C3225X7R1E475K200AA,,TDK Corp,2000,,US2508250000041;DSQR1,,,,"CAPACITOR CERAMIC, X7R, 4.7",,,,0.10254,,
,CA91C860B-50CQ,,Tundra Semiconductor Corp,105,,US2602270000045;STOCK,,,,"IC, PCI TO MOTOROLA PROCESSOR BRIDGE",,,,10.5,,
,CAB-ETH-X-M05,,Datalogic,12,,US2602050000026;SLS03,,,,"DATALOGIC CABLE 93A050124, ETHERNET, PVC",,,,144.9307,,
,CB3LV-3I-40M0000,,CTS Corp,1000,,US2506030000023;DSQR1,,,,"OSCILLATOR MODULE, SMD, 40MHz",,,,0.892,,
,CE437-457/02,,Cornelius,2000,,US2602260000013;F07C01,,,,CE437-457/02,,,,2.85456,,
,CF3111-002,,American Beryllia Inc,1000,,US2601020000016;SLS06,,,,Beryllium Oxide Ceramic,,,,1.32,,
,CF3111-002,,American Beryllia Inc,1500,,US2601020000017;SLS06,,,,Beryllium Oxide Ceramic,,,,1.32,,
,CM3440Z171R10,,Laird Technologies Inc,33000,,US2508150000020;ATX24L,,,,Common Mode Choke 8.5x10mm SMD,,,,0.27825,,
,CRA12E1603-330J,,Vishay Intertechnology Inc,5992,,US2510230000020;QC INSPECT,,,,"RESISTOR PACK, 33 OHM",,,,0.35,,
,CRCW04021K00FKED,,Vishay Dale,170000,,US2601120000052;DSQR,,,,"RESISTOR, SMT, THICK FILM, 1.0 K OHM, 0.",,,,0.0011,,
,CRCW04022K00FKED,,Vishay Dale,2380,,US2508250000028;DSQR1,,,,0402 2K0 OHMS1%100PPM0.063,,,,0.01126,,
,CRCW040233R2FKED,,Vishay Intertechnology Inc,110000,,US2512150000020;DSQR,,,,"RESISTOR, SMT, THICK FILM, 33.2",,,,0.0022,,
,CRCW040249R9FKED,,Vishay,120000,,US2511210000033;DSQR,,,,"Res,49.9 Ohm,1/16w,1%,0402",,,,0.0011,,
,CRCW040249R9FKED,,Vishay,50000,,US2512150000021;DSQR,,,,"Res,49.9 Ohm,1/16w,1%,0402",,,,0.0011,,
,CRCW2512470RJNEG,,Vishay Dale,50000,,US2503040000010;G01F01,,,,RES SMD 470 OHM 5% 1W 2512,,,,0.0337,,
,CY7B9950AXC,,Cypress Semiconductor Corp,3764,,US2602170000022;QC INSPECT,,,,"IC CLOCK DRIVER/SYNCHRONIZER, SURFACE MO",,,,22,,
,CY7B9950AXC,,Cypress Semiconductor Corp,2530,,US2602030000014;F07F01,,,,"IC CLOCK DRIVER/SYNCHRONIZER, SURFACE MO",,,,13.5,,
,CY7B9950AXC,,Cypress Semiconductor Corp,132,,US2602020000085;QC INSPECT,,,,"IC CLOCK DRIVER/SYNCHRONIZER, SURFACE MO",,,,8,,
,CY7B9950AXCT,,Cypress Semiconductor Corp,202,,US2602120000003;QC INSPECT,,,,"IC CLOCK DRIVER/SYNCHRONIZER, SURFACE MO",,,,12,,
