Item,ItemDescription,Name,Lot Quantity,Date Code,Lot Unit Cost,Currency,Warehouse Name,Location
0023-57074,STANDARD DOVE NUT IGS T2R2/ T3,Factored Manufacturer,100,,18.2,USD,Astute Electronics Inc.,QC INSPECT
0060-05798,"LABELS, CH B WRAP AROUND LARGE",Not Known Yet,10,,,USD,Astute Electronics Inc.,G02D02
0060-05803,"LABELS CH A WRAP AROUND MEDIUM, 300MM PR",Not Known Yet,10,,,USD,Astute Electronics Inc.,G02D02
0060-05805,"LABELS CH C WRAP AROUND MEDIUM, 300MM PR",Not Known Yet,10,,,USD,Astute Electronics Inc.,G02D02
00-8380-010-000-010,SHR HD LP 2X5PIN WIDTH 8.6MM RM2.54,KYOCERA AVX,27,,2.93118,EUR,Astute Electronics Inc.,G03E03
009180-14,009180-14,Not Known Yet,32,1947,,,Astute Electronics GEA Excess/Consignment,G07A03
009180-15,009180-15,Not Known Yet,30,2017,,,Astute Electronics GEA Excess/Consignment,G04C02
009180-17,009180-17,Not Known Yet,11,N/A,,,Astute Electronics GEA Excess/Consignment,G04C03
009237-2,009237-2,Bta Associates,14,2001,,,Astute Electronics GEA Excess/Consignment,G01A03
009330-1,009330-1,API Delevan,33,2119,,,Astute Electronics GEA Excess/Consignment,G05D02
009330-4,009330-4,API Delevan,30,N/A,,,Astute Electronics GEA Excess/Consignment,G02A01
009330-4,009330-4,API Delevan,78,N/A,,,Astute Electronics GEA Excess/Consignment,G02A01
009363-4,009363-4,GE Aviation Systems Ltd,674,,,,Astute Electronics Inc. ATX Excess,G08C01
009363-7,009363-7,Not Known Yet,536,,,,Astute Electronics GEA Excess/Consignment,G08E03
009465,"TRANSFORMER, BIAS",Not Known Yet,21,,,,Astute Electronics GEA Excess/Consignment,G05E03
009701-1,009701-1,Renco,68,2037,,,Astute Electronics GEA Excess/Consignment,G08F01
010062-2,"XTLOSC-4M HZ, FOX",Smiths,98,,,,Astute Electronics GEA Excess/Consignment,G05D03
010299-1,010299-1,On Semiconductor,5425,1627,,,Astute Electronics GEA Excess/Consignment,G07D01
010436-1,Microsemi Corp - 010436-1,Microsemi Corp,100,1236,,,Astute Electronics GEA Excess/Consignment,G01A03
010448-1,QUAD 12 BIT D/A,TE Connectivity Ltd,20,N/A,,,Astute Electronics GEA Excess/Consignment,G01A02
011024-1,Panel,Not Known Yet,121,,,,Astute Electronics GEA Excess/Consignment,A03D01
011152-1,011152-1,Not Known Yet,73,,,,Astute Electronics GEA Excess/Consignment,G06C03
