Item,,ItemDescription,Lot,Location,Lot Cost,Lot Quantity,Lot Unit Cost,Item Lot Revision,Non-Nettable Stock,,Qty WIP,Qty On Customer Orders,,Qty On Purchase Orders,Total On Hand,PO On Order 3PL,CO On Order 3PL,,Last Sales Date,Drawing Revision,Manufacturer,Name,Product Category,Warehouse,,Warehouse Name,NSN,,Expiration Date,Currency,Date Code,Price,Site,Shelf Life,Haz,,,Date Lot,,,,
203-00085-AST,,203-00085-AST,US2510230000011,BTX-Warehouse,850,1000,0.85,,,,,20000,,,19700,,,,46065,,M99995,Astute Assembled,,W116,,Astute Electronics Inc. - FLK BTX,,,,,,,USS site,,,,,45953,,,,
203-00085-AST,,203-00085-AST,US2510230000011,STOCK,4250,5000,0.85,,,,,20000,,,19700,,,,46065,,M99995,Astute Assembled,,W116,,Astute Electronics Inc. - FLK BTX,,,,,,,USS site,,,,,45953,,,,
OPA4191IPWR,,Precision Amplifiers Quad low-power 36,US2512170000032,HK-C05,4797.6,7996,0.6,,,,3992,8000,,,7998,,,,46084,,M05844,Texas Instruments,,W105,,Astute Electronics Inc,,,,USD,2429,0.6,USS site,,,,,46008,,,,
OPA4191IPWR,,Precision Amplifiers Quad low-power 36,US2512170000032,QC INSPECT,1.2,2,0.6,,,,3992,8000,,,7998,,,,46084,,M05844,Texas Instruments,,W105,,Astute Electronics Inc,,,,USD,2429,0.6,USS site,,,,,46008,,,,
R5F10BGECKFB#55,,IC MCU 16BIT 64KB FLASH 48LFQFP,US2601230000002,HK-E03,2400,2000,1.2,,,,,4000,,,4000,,,,45996,,M11394,RENESAS TECHNOLOGY EUROPE,,W105,,Astute Electronics Inc,,,,USD,2345,1.2,USS site,,,,,46045,,,,
R5F10BGECKFB#55,,IC MCU 16BIT 64KB FLASH 48LFQFP,US2601230000002,1018,2400,2000,1.2,,,,,4000,,,4000,,,,45996,,M11394,RENESAS TECHNOLOGY EUROPE,,W105,,Astute Electronics Inc,,,,USD,2345,1.2,USS site,,,,,46045,,,,
RC0402FR-071K37L,,"RES,0402,THKF,1/16W,1%,1.37K,ROHS",US2407100000007,LAM7.3.8,,9945,,,,,,,,,19945,,,,45932,,M06441,Yageo Corp,,W115,,Astute Electronics Inc. LAM STL,,,,USD,2426,0.00025,USS site,,,,,45483,,,,
RC0402FR-071K37L,,"RES,0402,THKF,1/16W,1%,1.37K,ROHS",US2407100000007,LAM7.2.18,,10000,,,,,,,,,19945,,,,45932,,M06441,Yageo Corp,,W115,,Astute Electronics Inc. LAM STL,,,,USD,2426,0.00025,USS site,,,,,45483,,,,
XC7Z010-1CLG400I,,IS-MICROCONTROL ZYNQ7010 CLG400 CORTEXA9,US2512100000029,HK-I02,24648,1896,13,,,,,9450,,900,8550,,,,,,M06426,Xilinx Inc,,W105,,Astute Electronics Inc,,,,USD,"2317, 2321",13,USS site,,,,,46001,,,,
XC7Z010-1CLG400I,,IS-MICROCONTROL ZYNQ7010 CLG400 CORTEXA9,US2512100000029,1018,28002,2154,13,,,,,9450,,900,8550,,,,,,M06426,Xilinx Inc,,W105,,Astute Electronics Inc,,,,USD,"2317, 2321",13,USS site,,,,,46001,,,,
