Item,,ItemDescription,Lot,Location,Lot Cost,Lot Quantity,Lot Unit Cost,Item Lot Revision,Non-Nettable Stock,,Qty WIP,Qty On Customer Orders,,Qty On Purchase Orders,Total On Hand,PO On Order 3PL,CO On Order 3PL,,Last Sales Date,Drawing Revision,Manufacturer,Name,Product Category,Warehouse,,Warehouse Name,NSN,,Expiration Date,Currency,Date Code,Price,Site,Shelf Life,Haz,,,Date Lot,,,,
0023-57074,,STANDARD DOVE NUT IGS T2R2/ T3,US2602160000006,QC INSPECT,1820,100,18.2,,,,,100,,,100,,,,,,M99998,Factored Manufacturer,,MAIN,,Astute Electronics Inc.,,,,USD,,18.2,USS site,,,,,46069,,,,
0060-05798,,"LABELS, CH B WRAP AROUND LARGE",US2412170000007,G02D02,,10,,,,,,,,,10,,,,,,M99999,Not Known Yet,,MAIN,,Astute Electronics Inc.,,,,USD,,17.5,USS site,,,,,45643,,,,
0060-05803,,"LABELS CH A WRAP AROUND MEDIUM, 300MM PR",US2412170000009,G02D02,,10,,,,,,,,,10,,,,,,M99999,Not Known Yet,,MAIN,,Astute Electronics Inc.,,,,USD,,18.5,USS site,,,,,45643,,,,
0060-05805,,"LABELS CH C WRAP AROUND MEDIUM, 300MM PR",US2412170000010,G02D02,,10,,,,,,,,,10,,,,,,M99999,Not Known Yet,,MAIN,,Astute Electronics Inc.,,,,USD,,18.5,USS site,,,,,45643,,,,
00-8380-010-000-010,,SHR HD LP 2X5PIN WIDTH 8.6MM RM2.54,US2509110000005,G03E03,79.14175,27,2.93118,,,,,,,,27,,,,45939,,M11871,KYOCERA AVX,,MAIN,,Astute Electronics Inc.,,,,EUR,,2.5,USS site,,,,,45911,,,,
009180-14,,009180-14,LI2207290000023,G07A03,,32,,,,,,,,,32,,,,,,M99999,Not Known Yet,,W103,,Astute Electronics GEA Excess/Consignment,,,,,1947,,USS site,,,,,44771,,,,
009180-15,,009180-15,LI2207290000024,G04C02,,30,,,,,,,,,30,,,,,,M99999,Not Known Yet,,W103,,Astute Electronics GEA Excess/Consignment,,,,,2017,,USS site,,,,,44771,,,,
009180-17,,009180-17,LI2207290000025,G04C03,,11,,,,,,,,,11,,,,,,M99999,Not Known Yet,,W103,,Astute Electronics GEA Excess/Consignment,,,,,N/A,,USS site,,,,,44771,,,,
009237-2,,009237-2,LI2207290000027,G01A03,,14,,,,,,,,,14,,,,,,M00903,Bta Associates,,W103,,Astute Electronics GEA Excess/Consignment,,,,,2001,,USS site,,,,,44771,,,,
009330-1,,009330-1,LI2207290000029,G05D02,,33,,,,,,,,,33,,,,,,M00407,API Delevan,,W103,,Astute Electronics GEA Excess/Consignment,,,,,2119,,USS site,,,,,44771,,,,
