Chuboe_Offer_ID[Value],Chuboe_MPN,Chuboe_MFR_ID[Value],Chuboe_MFR_Text,Qty,Chuboe_Lead_Time,Chuboe_Package_Desc,C_Country_ID[Name],Chuboe_Date_Code,C_Currency_ID[ISO_Code],Description,IsActive,Chuboe_MPN_Clean,Chuboe_CPC,PriceEntered,Chuboe_MOQ,Chuboe_SPQ
,A1082-5-0-0,,Positronic,178.000,,US2105270000029;G07A02,,,,"GND-SPACER,HEX,.112-40X0.156",,,,0.00000,,
,A1082-7-0-0,,Positronic,218.000,,US2105270000030;G07A02,,,,"GND-SPACER,HEX,.112-40X.500",,,,0.00000,,
,D9/370000V50,,Positronic,20.000,,US3004190000002;G07E02,,1917,,"CONN, LOCKING TABS-FIT 9-44 CONNECTORS",,,,0.00000,,
,FC112N2/AA,,Positronic,116.000,,US2108180000008;G05C02,,1830,,Power Contacts,,,,0.00000,,
,FC112N2/AA,,Positronic,9853.000,,US1508180000020;G05C02,,1824,,Power Contacts,,,,0.00000,,
,GFSH02F1H/AA,,Positronic,88.000,,US2707180000022;SLS03,,1828,,Goldfish,,,,0.00000,,
,GFSH02F3N/AA,,Positronic,100.000,,US3007180000028;G07A03,,1828,,Goldfish,,,,0.00000,,
,GFSH109F182/AA,,Positronic,100.000,,US3107180000034;G07A01,,1827,,Goldfish,,,,0.00000,,
,GFSH109F1H/AA,,Positronic,100.000,,US2707180000023;G07A03,,1828,,Goldfish,,,,0.00000,,
,GFSH624F4LN/AA,,Positronic,100.000,,US2707180000018;G07A01,,1827,,Goldfish,,,,0.00000,,
,GFSH624M3H/AA,,Positronic,100.000,,US3107180000037;G07A01,,1827,,Goldfish,,,,0.00000,,
,GFSH89F3H/AA,,Positronic,75.000,,US3107180000031;G07F03,,1820,,Goldfish,,,,0.00000,,
,GFSH89F4B/AA,,Positronic,100.000,,US3107180000033;G07F03,,1826,,Goldfish,,,,0.00000,,
,GFSH89F4LN/AA,,Positronic,25.000,,US3107180000018;G06C02,,1826,,Goldfish,,,,0.00000,,
,GFSH89F93H/AA,,Positronic,100.000,,US3107180000035;G07A01,,1827,,Goldfish,,,,0.00000,,
,GFSH89M3N/AA,,Positronic,35.000,,US2407180000021;G07C01,,1827,,Goldfish,,,,0.00000,,
,GFSH928F1H/AA,,Positronic,40.000,,US3107180000038;G05F03,,1825,,Goldfish,,,,0.00000,,
,GFSH928M3H/AA,,Positronic,50.000,,US3107180000036;G07F02,,1826,,Goldfish,,,,0.00000,,
,HDC37F36F00S,,Positronic,27.000,,US2003060000010;G07E04,,2009,,"CONNECTOR, ELECTRICAL",,,,0.00000,,
,HDC9M3S60T0,,Positronic,100.000,,US2103170000019;G06E04,,,,"CONN POSITRONICS HDC9M3S6OTO, LEADED",,,,0.00000,,
,M24308/25-6F,,Positronic,137.000,,US1912230000006;G06D04,,1951,,"MOUNTING ACCESSORY, SCREW LOCKS, MICRO-D",,,,0.00000,,
,M24308/25-6F,,Positronic,150.000,,US2003260000006;G06D04,,,,"MOUNTING ACCESSORY, SCREW LOCKS, MICRO-D",,,,0.00000,,
,MC112N/AA,,Positronic,2065.000,,US1408180000007;QC INSPECT,,1831,,Power Contacts,,,,0.00000,,
,MC116N/AA,,Positronic,1629.000,,US2008180000009;G07B01,,1834,,16 Crimp Contacts,,,,0.00000,,
,MC116N/AA,,Positronic,1371.000,,US3008180000028;G07B01,,1832,,16 Crimp Contacts,,,,0.00000,,
,ODD15M4R700X,,Positronic,20.000,,US2002200000022;G07E01,,2007,,"15 PIN CONNECTOR,3 ROWS",,,,0.00000,,
,ODD26F98S000,,Positronic,6.000,,US2105110000006;G07E02,,,,"CONN,RCPT,26S,D-SUB",,,,0.00000,,
,ODD44F98S000,,Positronic,19.000,,US2105110000004;G07D02,,,,"CONN,RCPT,44S,D-SUB",,,,0.00000,,
,ODD44M4R700X,,Positronic,24.000,,US1912230000004;G06D03,,1950,,"44 PIN CONNECTOR,3 ROWS",,,,0.00000,,
,ODD44M4R700X,,Positronic,52.000,,US2105060000011;G06D03,,2115,,"44 PIN CONNECTOR,3 ROWS",,,,0.00000,,
,PCIA60W36M400A1/AA,,Positronic,100.000,,US0608180000010;G07F01,,1827,,Compact Power,,,,0.00000,,
,PCIB26W11F300A1/AA,,Positronic,56.000,,US3107180000023;G07A01,,1827,,Compact Power,,,,0.00000,,
,PCIB26W11M400A1/AA,,Positronic,100.000,,US0308180000010;G07B01,,1827,,Compact Power,,,,0.00000,,
,PCIC16W7F300A1/AA,,Positronic,100.000,,US0208180000035;G07F02,,1827,,Compact Power,,,,0.00000,,
,PCIC16W7F400A1/AA,,Positronic,65.000,,US3107180000025;G07A01,,1827,,Compact Power,,,,0.00000,,
,PCIC16W7M400A1/AA,,Positronic,100.000,,US2007180000017;G07F03,,1825,,Compact Power,,,,0.00000,,
,PCIH38F300A1/AA,,Positronic,92.000,,US1408180000015;A01E01,,1827,,Compact Power,,,,0.00000,,
,PCIH38M300A1/AA,,Positronic,100.000,,US0208180000027;G07A03,,1827,,Compact Power,,,,0.00000,,
,PCIH38M400A1/AA,,Positronic,100.000,,US0808180000020;G07A01,,1827,,Compact Power,,,,0.00000,,
,PCIH47F300A1/AA-246.0,,Positronic,31.000,,US2110190000029;G07A02,,,,Compact Power,,,,0.00000,,
,PCIH47F300A1/AA-246.0,,Positronic,50.000,,US2111010000016;G07A02,,,,Compact Power,,,,0.00000,,
,PCIH47M400A1/AA,,Positronic,75.000,,US3107180000043;G07B01,,1820,,Compact Power,,,,0.00000,,
,PCIH47RM400C1,,Positronic,50.000,,US1912270000003;G08E01,,1950,,"RECEPTACLE, PCI, POWER",,,,0.00000,,
,PCIH47RM400C1,,Positronic,50.000,,US2004210000012;G08E01,,,,"RECEPTACLE, PCI, POWER",,,,0.00000,,
,PCIH47RM400C1,,Positronic,84.000,,US2005300000010;G08E01,,2015,,"RECEPTACLE, PCI, POWER",,,,0.00000,,
,PCIM30W15F300A1/AA,,Positronic,82.000,,US3007180000012;G07A01,,1827,,Compact Power,,,,0.00000,,
,PCIM30W15M400A1/AA,,Positronic,100.000,,US0908180000037;G07F03,,1827,,Compact Power,,,,0.00000,,
,PCIM33W18F300A1/AA,,Positronic,100.000,,US1608180000009;G05F04,,1827,,Compact Power,,,,0.00000,,
,PCIM37W16F300A1/AA,,Positronic,4.000,,US1708180000037;G07A02,,1827,,Compact Power,,,,0.00000,,
,PLA03F0050,,Positronic,29.000,,US2107230000011;G07D04,,,,"PLUG, FEMALE, 3 POLE",,,,0.00000,,
,PLA03M300A1/AA,,Positronic,100.000,,US1707180000034;G04F04,,1820,,Power Connector System,,,,0.00000,,
,PLA03M4BN0A1/AA,,Positronic,40.000,,US1907180000019;G06F03,,1825,,Power Connector System,,,,0.00000,,
,PLA04F0000/AA,,Positronic,100.000,,US2407180000023;G06E04,,1827,,Power Connector System,,,,0.00000,,
,PLA04F300A1/AA,,Positronic,65.000,,US3007180000007;G07C02,,1827,,Power Connector System,,,,0.00000,,
,PLA04M0000/AA,,Positronic,100.000,,US2707180000024;G04F04,,1828,,Power Connector System,,,,0.00000,,
,PLA04M300A1/AA,,Positronic,100.000,,US0208180000029;G06E04,,1828,,Power Connector System,,,,0.00000,,
,PLA04M3N0A1/AA,,Positronic,100.000,,US3107180000020;G07A01,,1828,,Power Connector System,,,,0.00000,,
,PLA06M0050,,Positronic,18.000,,US2107230000012;G07D04,,,,"6 Pin Plug, male with hoo",,,,0.00000,,
,PLA06M300A1/AA,,Positronic,100.000,,US3107180000010;G05F03,,1828,,Power Connector System,,,,0.00000,,
,PLA08F300A1/AA,,Positronic,100.000,,US0208180000034;G05F03,,1828,,Power Connector System,,,,0.00000,,
,PLB06M0000/AA,,Positronic,15.000,,US2607180000011;G07E02,,1828,,Power Connector System,,,,0.00000,,
,PLB06M300A1/AA,,Positronic,20.000,,US0208180000028;G07E02,,1828,,Power Connector System,,,,0.00000,,
,PLB08F0000/AA,,Positronic,30.000,,US2007180000001;G06D02,,1828,,Power Connector System,,,,0.00000,,
,PLB08F300A1/AA,,Positronic,100.000,,US0208180000032;G05F03,,1828,,Power Connector System,,,,0.00000,,
,PLB12F300A1/AA,,Positronic,100.000,,US2708180000003;G06E04,,1828,,Power Connector System,,,,0.00000,,
,PLB12F93ST30C1,,Positronic,2.000,,US2105170000021;G07F02,,2117,,"GND-CONN,RCPT,12POS,RECT,2-ROW,STR,SELF-",,,,0.00000,,
,PLB12M300A1/AA,,Positronic,90.000,,US2208180000005;G07C02,,1828,,Power Connector System,,,,0.00000,,
,PLB12M4BN0A1/AA,,Positronic,100.000,,US0608180000008;G05F03,,1828,,Power Connector System,,,,0.00000,,
,PLB16F300A1/AA,,Positronic,90.000,,US3107180000028;G07C02,,1828,,Power Connector System,,,,0.00000,,
,PLB3W3M4BN0A1/AA,,Positronic,100.000,,US0308180000017;G06E04,,1828,,Power Connector System,,,,0.00000,,
,PLC2400050/AA,,Positronic,50.000,,US3107180000017;F04C02,,1828,,Power Connector System,,,,0.00000,,
