Chuboe_Offer_ID[Value],Chuboe_MPN,Chuboe_MFR_ID[Value],Chuboe_MFR_Text,Qty,Chuboe_Lead_Time,Chuboe_Package_Desc,C_Country_ID[Name],Chuboe_Date_Code,C_Currency_ID[ISO_Code],Description,IsActive,Chuboe_MPN_Clean,Chuboe_CPC,PriceEntered,Chuboe_MOQ,Chuboe_SPQ
,009363-4,,GE Aviation Systems Ltd,674.000,,US2501290000014;G08C01,,,,009363-4,,,,0.00000,,
,01348,,Winchester Electronics,10.000,,US2002110000007;G06D04,,1839,,"CONNECTOR, POWER SNAP",,,,0.00000,,
,0201ZC103KAT2A,,AVX Corporation,8400.000,,US2305180000004;G07C02,,,,0201ZC103KAT2A,,,,0.00000,,
,030-9205-007,,ITT Cannon,31.000,,US2011190000018;G05D04,,,,26482 II CON 16 PIN,,,,0.00000,,
,04026D474MAT2A,,AVX Corporation,10000.000,,US0911180000029;G02C03,,,,04026D474MAT2A,,,,0.00000,,
,0603LS-103XJLC,,Coilcraft Inc,2000.000,,US0811180000003;G02C03,,,,"IND, PWR, 10uH, 0.18A, 0603, SMD",,,,0.00000,,
,0751AB03M686400,,,29.000,,US0000000023242;G02C02,,,,OSCILLATOR  3.6,,,,0.00000,,
,0751AB03M686400,,,50.000,,US0000000023243;G02C02,,,,OSCILLATOR  3.6,,,,0.00000,,
,08055C473JAT2A,,AVX Corporation,48000.000,,US1206180000018;G02C03,,"1710,1745",,"Capacitors, chip",,,,0.00000,,
,0805L010YR,,Littelfuse Inc,4000.000,,US1708180000007;G02C03,,,,"FUS, PTC RST, 15V, 0.1A, 0805, SMD",,,,0.00000,,
,10028916-4554P00LF,,Fci,600.000,,US0000000015010;G04B03,,,,TRANSFORMER  SM,,,,0.00000,,
,1008CS-472EGTS,,Delta Electronics,1326.000,,US0000000020579;G02C03,,,,FIXED IND 47NH 1A 160 MOHM SMD,,,,0.00000,,
,1008HS-181TGLC,,Coilcraft Inc,1900.000,,US0000000008790;G02C03,,,,"RF inductor, ceramic core, 2% tol, SMT,",,,,0.00000,,
,100B-4011,,Pulse Power & Measurement,250.000,,US2304180000013;G02A02,,1751-C,,SMT Transformer 10/100BASE-TX,,,,0.00000,,
,10-40450-10,,Amphenol ICC,200.000,,US2404230000008;F03C01,,,,GASKET,,,,0.00000,,
,10-497630-125,,Amphenol Corp,60.000,,US2409170000016;G08E04,,,,CONTACT PIN - ELECTRICAL CONNECTOR SIZE,,,,0.00000,,
,1053002100,,Molex LLC,150.000,,US2502140000023;G03A03,,,,1053002100,,,,0.00000,,
,1053071203,,Molex LLC,50.000,,US2502140000024;G03A03,,,,1053071203,,,,0.00000,,
,10-565997-562A,,Amphenol Corp,21.000,,US2006250000002;G05D02,,2025,,"CONNECTOR-CIRCULAR, WALL MOUNT RECEPTACL",,,,0.00000,,
,10-565997-562A,,Amphenol Corp,14.000,,US2010150000001;G05D02,,,,"CONNECTOR-CIRCULAR, WALL MOUNT RECEPTACL",,,,0.00000,,
,1-1337482-0,,TE Connectivity Ltd,74.000,,US0907180000013;BULK2,,,,"CON, RF, SMB, 500hm, M, 4Hz, THT",,,,0.00000,,
,1-1554653-1,,TE Connectivity Ltd,30.000,,US0000000020421;G02D02,,,,CONN SOCKET LGA 2011POS GOLD,,,,0.00000,,
,12065C104KAT4A,,Kyocera Connector Products Corp,60000.000,,US0000000026376;G02C02,,,,CAP CER 0.1UF 50V X7R 1206,,,,0.00000,,
,12079,,,2.000,,US0000000023681;G02A02,,,,CAPACITORS  CHIP,,,,0.00000,,
,1210GC222KAT1A,,AVX Corporation,18000.000,,US1601190000011;G03D02,,,,"CAP,X7R,2200pF,10%,2000V,1210",,,,0.00000,,
,140-1028-02-01-00,,Cambion,1600.000,,US2501290000006;G08E04,,,,Terminal,,,,0.00000,,
,14040HS625MOD,,Accurate Screw,1015.000,,US2604180000021;G05F02,,,,14040HS625MOD,,,,0.00000,,
,14302019T0,,Awc Wire,87.500,,US2502180000019;G03A03,,,,1430-20-19T-0,,,,0.00000,,
,14302019T5,,Awc Wire,87.500,,US2502180000020;G03A03,,,,1430-20-19T-5,,,,0.00000,,
,14302019T9,,Awc Wire,87.500,,US2502180000018;G03A03,,,,1430-20-19T-9,,,,0.00000,,
,1553019,,Phoenix Contact,400.000,,US1906030000002;ATX31R,,,,RCPT CONN;5-POSN M12 SHLD STR PCB MT-CON,,,,0.00000,,
,1553019,,Phoenix Contact,700.000,,US1906030000003;ATX31R,,,,RCPT CONN;5-POSN M12 SHLD STR PCB MT-CON,,,,0.00000,,
,1553019,,Phoenix Contact,300.000,,US1906030000004;ATX31R,,,,RCPT CONN;5-POSN M12 SHLD STR PCB MT-CON,,,,0.00000,,
,1553019,,Phoenix Contact,400.000,,US1906030000005;ATX31R,,,,RCPT CONN;5-POSN M12 SHLD STR PCB MT-CON,,,,0.00000,,
,1565917-4,,TE Connectivity Ltd,4050.000,,US0106180000027;ATX23L,,1816,,"CON,MEM,200P,RA,SMD",,,,0.00000,,
,1586134-1,,Tyco,700.000,,US1902190000010;G07E02,,,,"CONN,5P,1R,F,VER,THT",,,,0.00000,,
,175657-08,,Not Known Yet,45.000,,US0000000024031;G02A02,,,,LEAD FORMING NRE,,,,0.00000,,
,1825N473J101NT,,Novacap,400.000,,US0000000023321;G02C01,,,,1825N473J101NT,,,,0.00000,,
,186B24,,Hammond Manufacturing,100.000,,US2101210000009;G05F02,,,,PWR XFMR LAMINATED 6VA CHAS MT,,,,0.00000,,
,1881545,,Phoenix Contact,450.000,,US0000000025651;G05F01,,,,CONN:HDRWR/BDM12R/A2.5MMSM,,,,0.00000,,
,1N4148UR-1,,Microsemi Corp,64.000,,US1906060000006;G07E04,,1806,,Semiconductor Device,,,,0.00000,,
,1N4476US,,Microsemi Corp,124.000,,US1008180000013;G07D02,,"1535,1719",,Semiconductor Device,,,,0.00000,,
,1N5806US,,Microsemi Corp,25.000,,US3105180000010;G07D02,,"1746,1802,1808",,Semiconductor device,,,,0.00000,,
,1N5806US,,Microsemi Corp,25.000,,US2704180000010;G07D02,,1802,,Semiconductor device,,,,0.00000,,
,1SMB5931BT3G,,On Semiconductor,1900.000,,US0000000024679;G02C02,,1643,,DIODE ZENER 18V 550MW SMB,,,,0.00000,,
,1SMB5931BT3G,,On Semiconductor,2500.000,,US0000000024495;G02C02,,1641,,DIODE ZENER 18V 550MW SMB,,,,0.00000,,
