Chuboe_Offer_ID[Value],Chuboe_MPN,Chuboe_MFR_ID[Value],Chuboe_MFR_Text,Qty,Chuboe_Lead_Time,Chuboe_Package_Desc,C_Country_ID[Name],Chuboe_Date_Code,C_Currency_ID[ISO_Code],Description,IsActive,Chuboe_MPN_Clean,Chuboe_CPC,PriceEntered,Chuboe_MOQ,Chuboe_SPQ
,009180-14,,Not Known Yet,32.000,,LI2207290000023;G07A03,,1947,,009180-14,,,,,,
,009180-15,,Not Known Yet,30.000,,LI2207290000024;G04C02,,2017,,009180-15,,,,,,
,009180-17,,Not Known Yet,11.000,,LI2207290000025;G04C03,,N/A,,009180-17,,,,,,
,009237-2,,Bta Associates,14.000,,LI2207290000027;G01A03,,2001,,009237-2,,,,,,
,009330-1,,API Delevan,33.000,,LI2207290000029;G05D02,,2119,,009330-1,,,,,,
,009330-4,,API Delevan,78.000,,LA2206280000022;G02A01,,N/A,,009330-4,,,,,,
,009330-4,,API Delevan,30.000,,LI2207290000030;G02A01,,N/A,,009330-4,,,,,,
,009363-7,,Not Known Yet,536.000,,LI2402200000024;G08E03,,,,009363-7,,,,,,
,009465,,Not Known Yet,21.000,,LI2402200000030;G05E03,,,,"TRANSFORMER, BIAS",,,,,,
,009701-1,,Renco,68.000,,CL2209060000045;G08F01,,2037,,009701-1,,,,,,
,010062-2,,Smiths,98.000,,LI2402200000032;G05D03,,,,"XTLOSC-4M HZ, FOX",,,,,,
,010299-1,,On Semiconductor,5425.000,,LI2208150000024;G07D01,,1627,,010299-1,,,,,,
,010436-1,,Microsemi Corp,100.000,,LI2207150000009;G01A03,,1236,,Microsemi Corp - 010436-1,,,,,,
,010448-1,,TE Connectivity Ltd,20.000,,LI2208150000026;G01A02,,N/A,,QUAD 12 BIT D/A,,,,,,
,011024-1,,Not Known Yet,121.000,,LI2402200000070;A03D01,,,,Panel,,,,,,
,011152-1,,Not Known Yet,73.000,,LI2402200000069;G06C03,,,,011152-1,,,,,,
