Chuboe_Offer_ID[Value],Chuboe_MPN,Chuboe_MFR_ID[Value],Chuboe_MFR_Text,Qty,Chuboe_Lead_Time,Chuboe_Package_Desc,C_Country_ID[Name],Chuboe_Date_Code,C_Currency_ID[ISO_Code],Description,IsActive,Chuboe_MPN_Clean,Chuboe_CPC,PriceEntered,Chuboe_MOQ,Chuboe_SPQ
,043801.5WR,,Littelfuse Inc,24000.000,,US2601230000009;HK-C05,,"2540, 2543",,FUSE BRD MT 1.5A 32VAC 63VDC,,,,0.02200,,
,0734151004,,Molex LLC,5600.000,,US2503050000025;HK-F01,,2506,,"Conn,RF RA SMA MMCX",,,,1.57000,,
,1.5TB-USD-HIGH ENDURANCE-FS,,Phison,2.000,,US2408280000049;RMA,,,,1.5TB-USD-HIGH ENDURANCE-FS,,,,133.00000,,
,1.5TB-USD-HIGH ENDURANCE-FS,,Phison,176.000,,US2506110000009;HK-C01,,,,1.5TB-USD-HIGH ENDURANCE-FS,,,,99.00000,,
,1.5TB-USD-HIGH ENDURANCE-FS,,Phison,860.000,,US2509190000001;HK-E03,,NA,,1.5TB-USD-HIGH ENDURANCE-FS,,,,103.00000,,
,10AX090H4F34E3SG,,Intel Corp,120.000,,US2601180000026;QC INSPECT,,,,IC FPGA 10AX090 FBGA1152 R,,,,365.00000,,
,10CL040YF484C8G,,Intel Corp,239.000,,US2506030000006;HK-E02,,2507,,IC PROG CYCLONE 10LP FPGA484 R,,,,22.80000,,
,1-179960-2,,TE Connectivity Ltd,539.000,,US2510130000035;HK-I01,,2344,,CON-6P-M-ST-10.16mm-HDR,,,,3.17630,,
,1206L050/15YR,,Littelfuse Inc,16000.000,,US2511260000007;HK-A05,,2526 / 2530,,FUS PTC RST 15V 0.5A 1206 SMD,,,,0.03000,,
,1206L050/15YR,,Littelfuse Inc,40000.000,,US2512180000006;QC INSPECT,,,,FUS PTC RST 15V 0.5A 1206 SMD,,,,0.03000,,
,1206L050/15YR,,Littelfuse Inc,52000.000,,US2601120000022;HK-F01,,2533,,FUS PTC RST 15V 0.5A 1206 SMD,,,,0.03000,,
,121-14204-01-260,,Winchester Interconnect,4719.000,,US2602110000006;QC INSPECT,,,,"TERM,PCB,PWR,W-INSULATOR,6-32,10P ROHS",,,,5.50000,,
,178.6165.0001,,Littlefuse Inc,3000.000,,US2502250000009;HK-B01,,2503,,"Blade Fuse Holder,80V",,,,0.75000,,
,20685-001-XTD,,Onsemi,573.000,,US2502050000007;HK-HOLDLOT,,,,20685-001-XTD,,,,0.00000,,
,2171790001,,Molex LLC,10800.000,,US2512170000042;HK-I01,,2538,,"USB CONN, 2.0 TYPE C, RCPT, 16POS, SMT",,,,0.20000,,
,25PK470MEFC8X11.5,,Rubycon,2000.000,,US2412090000005;HK-A03,,,,"CAP, 470F, 25V, 20%",,,,0.03390,,
,2603.2221,,Mentor,30.000,,US2508310000004;HK-F04,,NA,,2603.2221,,,,2.28728,,
,2SA1492,,Inchange Semiconductor,240.000,,US2602050000036;HK-B04,,,,TRANS PNP 180V 15A TO3P,,,,1.08000,,
,2SA1837,,Inchange Semiconductor,2000.000,,US2511030000061;HK-D03,,2541,,TRANS PNP 230V 1A TO220NIS,,,,0.25000,,
,2SC3856-P,,Inchange Semiconductor,4800.000,,US2602090000043;HK-I01,,2606,,TRANS NPN 180V 15A TO3P,,,,0.90000,,
,45MQ15B,,ECO Frequency Technology,4000.000,,US2511210000016;HK-A05,,2546,,"FLTR,XTAL,45MHz",,,,2.25000,,
,5CSXFC6C6U23I7N,,Altera,34.000,,US2506220000002;HK-G03,,,,BGA FPGA CYCLONE-V 110KLE 6XVR 100C FBGA,,,,80.34648,,
,5CSXFC6C6U23I7N,,Altera,61.000,,US2506200000002;HK-G03,,,,BGA FPGA CYCLONE-V 110KLE 6XVR 100C FBGA,,,,77.48508,,
,5CSXFC6C6U23I7N,,Altera,1660.000,,US2507070000004;HK-G04,,2443,,BGA FPGA CYCLONE-V 110KLE 6XVR 100C FBGA,,,,36.11979,,
,5CSXFC6C6U23I7N,,Altera,135.000,,US2506040000012;HK-D01,,,,BGA FPGA CYCLONE-V 110KLE 6XVR 100C FBGA,,,,44.33333,,
,5CSXFC6C6U23I7N,,Altera,300.000,,US2505070000006;HK-D01,,,,BGA FPGA CYCLONE-V 110KLE 6XVR 100C FBGA,,,,35.00000,,
,5CSXFC6C6U23I7N,,Altera,60.000,,US2505070000005;HK-D01,,,,BGA FPGA CYCLONE-V 110KLE 6XVR 100C FBGA,,,,35.00000,,
,5CSXFC6C6U23I7N,,Altera,120.000,,US2505070000004;HK-D01,,,,BGA FPGA CYCLONE-V 110KLE 6XVR 100C FBGA,,,,35.00000,,
,5CSXFC6C6U23I7N,,Altera,180.000,,US2503310000031;HK-D01,,,,BGA FPGA CYCLONE-V 110KLE 6XVR 100C FBGA,,,,35.00000,,
,5CSXFC6C6U23I7N,,Altera,150.000,,US2503310000030;HK-D01,,,,BGA FPGA CYCLONE-V 110KLE 6XVR 100C FBGA,,,,35.00000,,
,5CSXFC6C6U23I7N,,Altera,642.000,,US2502260000015;HK-H02,,2443,,BGA FPGA CYCLONE-V 110KLE 6XVR 100C FBGA,,,,36.56250,,
,"74HC541PW,118",,Nexperia,2500.000,,US2512100000031;HK-A02,,,,"IC,BUFFER,NON-INVERT,6V,20TSSOP",,,,0.12000,,
,80HCPS1616CHMGI,,Renesas Electronics Corp,60.000,,US2601190000221;QC INSPECT,,,,IC SERIAL IO SW 16PORT 16LANE,,,,95.00000,,
,80HCPS1616CHMGI,,Renesas Electronics Corp,61.000,,US2601190000222;QC INSPECT,,,,IC SERIAL IO SW 16PORT 16LANE,,,,95.00000,,
,878321206,,Molex LLC,10000.000,,US2511260000008;HK-I03,,2544,,CONN HEADER SMD 12POS 2MM,,,,0.45000,,
,88E1510A0NNB2I000,,Marvell Semiconductor Inc,255.000,,US2501200000002;HK-G02,,2241,,IC TXRX FULL/HALF 4/4 48QFN,,,,9.78482,,
