Chuboe_Offer_ID[Value],Chuboe_MPN,Chuboe_MFR_ID[Value],Chuboe_MFR_Text,Qty,Chuboe_Lead_Time,Chuboe_Package_Desc,C_Country_ID[Name],Chuboe_Date_Code,C_Currency_ID[ISO_Code],Description,IsActive,Chuboe_MPN_Clean,Chuboe_CPC,PriceEntered,Chuboe_MOQ,Chuboe_SPQ
,09552156612741,,Harting Electronics GmBH & Co KG,139.000,,US2409240000028;LAM13.10.2,,2416,,"CONN,RCPT,D-SUB,SIZE 2,15POSN,5A,STR,SMD",,,,3.47000,,
,1.5SMC18A,,"Littelfuse, Inc.",100.000,,US2601190000028;LAMBLK.4.2,,,,"DIODE,TVS,18V ,1.5KW,SMC,ROHS",,,,0.32200,,
,1.5SMC30A,,"Littelfuse, Inc.",2254.000,,US2407310000025;LAM13.6.7,,2352,,TVS Diode Single Uni-Dir 25.6V 1.5KW 2-P,,,,0.18000,,
,101247-001,,Smiths Interconnect,48.000,,US2409200000015;LAMBLK.13.18,,2427,,"CONT,SPR PROBE,20A,17.93MM OA LG",,,,3.54000,,
,142-0701-501,,Norcomp Inc,183.000,,US2407080000003;LAMBLK.2.9,,2352,,"CONN,COAX,SMA,RTANG,18GHZ,PCB MT, GOLD",,,,4.30670,,
,1424241,,Phoenix Contact,49.000,,US2409240000016;LAMTY.7.7,,,,"CONN,RCPT,M8,B,5P,STRAIGHT,THRU HOLE",,,,12.88000,,
,164A17359X,,CONEC Elektronische Bauelemente GmbH,13.000,,US2505200000022;LAMBLK.3.11,,,,"CONN,RCPT,D-SUB,H DENSITY,15POSN,3A,60V",,,,8.21140,,
,164A17369X,,CONEC Elektronische Bauelemente GmbH,56.000,,US2503030000025;LAMBLK.10.12,,Inconclusive,,"CONN,RCPT,D-SUB,H DENSITY,26POSN,3A,60V",,,,10.04000,,
,164A17379X,,CONEC Elektronische Bauelemente GmbH,52.000,,US2408200000017;LAMBLK.11.21,,2425,,"CONN,RCPT,D-SUB,H DENSITY,44POSN,3A,60V",,,,9.28000,,
,1-770178-1,,TE Connectivity Ltd,147.000,,US2504170000012;LAMBLK.8.14,,Inconclusive,,"CONN,HDR,PCB,ST,MINI-U M-N-LOK,6P,ROHS",,,,1.31900,,
,1-770182-1,,TE Connectivity Ltd,200.000,,US2601190000031;LAMBLK.8.10,,,,"CONN,HDR,PCB,ST,MINI-U M-N-LOK,9P,ROHS",,,,1.64000,,
,1-770182-1,,TE Connectivity Ltd,187.000,,US2509190000014;LAMBLK.8.10,,2305,,"CONN,HDR,PCB,ST,MINI-U M-N-LOK,9P,ROHS",,,,2.24300,,
,178-009-313R571,,Norcomp Inc,60.000,,US2407150000009;LAMTY.7.1,,,,"CONN,DSUB,DUAL PORT,F/M,9P/9P ROHS",,,,7.01000,,
,1N4148W-TP,,Micro Commercial Components,2190.000,,US2407100000023;LAM7.1.24,,2323,,"DIO,SMD,1N4148W,FASTSW,200MW,SOD123,ROHS",,,,0.00617,,
,206509-1,,TE Connectivity Ltd,2.000,,28269;LAMBLK.10.2,,22485,,"KEYING PLUG,D CONN",,,,0.24500,,
,24FC512-I/SN,,Microchip Technology Inc,40.000,,US2408060000014;LAMTB.7.4,,2235,,"IC,SMD,EEPROM,512KBIT,1MHZ,8SOIC",,,,2.15000,,
,2920L050DR,,Littlefuse Inc,931.000,,US2408280000022;LAM7.11.23,,2404,,"PTC Resettable Fuse, 1.4ohm, Surface Mou",,,,0.09019,,
,2920L075DR,,"Littelfuse, Inc.",1150.000,,US2407080000021;LAM7.10.18,,2350,,"FUSE,SMD,2920,RESETABLE,30V,0.75A,ROHS",,,,0.14189,,
,2SA1416S-TD-E,,On Semiconductor,708.000,,US2408120000022;LAM7.9.15,,2346,,"XSTR,SMD,PNP,100V,1A,500MW,SOT-89,ROHS",,,,0.07900,,
,302W2CPXX51E40X,,CONEC Elektronische Bauelemente GmbH,41.000,,US2408010000018;LAMBLK.6.23,,2223,,"CONN,PLUG,COMBO-D,2W2C,30A,SHL SIZE 1",,,,9.12000,,
,302W2CPXX71E40X,,CONEC Elektronische Bauelemente GmbH,24.000,,US2505300000008;LAMBLK.11.20,,2515,,"CONN, PLUG, COMBO DSUB, M/F 30A, ST",,,,7.54000,,
,302W2CSXX56N40X,,Conec,20.000,,US2408120000024;LAMBLK.10.11,,2430,,D Type Connector 2 Contact Fem,,,,10.34000,,
