Chuboe_Offer_ID[Value],Chuboe_MPN,Chuboe_MFR_ID[Value],Chuboe_MFR_Text,Qty,Chuboe_Lead_Time,Chuboe_Package_Desc,C_Country_ID[Name],Chuboe_Date_Code,C_Currency_ID[ISO_Code],Description,IsActive,Chuboe_MPN_Clean,Chuboe_CPC,PriceEntered,Chuboe_MOQ,Chuboe_SPQ
,0452001.NRL,,Littelfuse Inc,4244.000,,US2602220000008;QC INSPECT,,,,(CE/) FUSE 125V 1A SLOBLO NANO,,,,,,
,100E680JMN3600XT,,American Technical Ceramics Corp,271.000,,US2602180000037;QC INSPECT,,,,(CE/) CAP 68PF CM 3600V 5% SMD,,,,,,
,104M06QC22,,Cornell Dubilier,734.000,,US2602190000053;QC INSPECT,,,,(/C4) CAP 0.10UF 22OHMS 600V S,,,,,,
,1410-L110-L1F1-S01-4A,,E-T-A Elektrotechnische Apparate GmbH,523.000,,US2602180000035;QC INSPECT,,,,(CE/C4) CKT BREAKER 250V 4A TH,,,,,,
,2056-440-N,,RAF Electronic Hardware,2271.000,,US2602190000052;QC INSPECT,,,,(/) STDF FEM 3/16 HEX  4-40THD,,,,,,
,208721-1,,TE Connectivity,109.000,,US2602220000003;QC INSPECT,,,,(CE/) CONN 5POS RCPT CPC FEMAL,,,,,,
,2970442,,Phoenix Contact,786.000,,US2602230000007;QC INSPECT,,,,SIDE ELEM 11.25MM W W/O MKR GR,,,,,,
,34.81.7.024.9024,,Finder,52.000,,US2602220000011;QC INSPECT,,,,"RLY,SSR,1 NO,24VDC INPUT,24VDC,6A,SIP-4",,,,,,
,350428-4,,TE Connectivity,3597.000,,US2602190000051;QC INSPECT,,,,(CE/) CONN  2POS MALE PC MATE,,,,,,
,350711-4,,TE Connectivity Ltd,6727.000,,US2602110000052;QC INSPECT,,,,"CONN,HDR,PCB,M-ST,UNV M-N-LOK,6P,ROHS",,,,,,
,39-28-1163,,Molex LLC,5845.000,,US2602190000049;QC INSPECT,,,,(CE/) CONN 16POS 2X8 MFJ HDR,,,,,,
,5055558-4,,TE Connectivity,5134.000,,US2602180000029;QC INSPECT,,,,(CE/) TERM PCB PWR W-INSULATOR,,,,,,
,561R10TCCT12,,Vishay Dale,4888.000,,US2602230000005;QC INSPECT,,,,CAP 120PF CM 1KV 5% C0G TH RAD,,,,,,
,5747845-4,,TE Connectivity,520.000,,US2602110000050;QC INSPECT,,,,(CE/) CONN 15-POS 2-ROW D-SUB,,,,,,
,66461-9,,TE Connectivity,3490.000,,US2602190000034;QC INSPECT,,,,(CE/) SCKT WIRE WRAP 0.066D,,,,,,
,747840-4,,TE Connectivity,748.000,,US2602220000010;QC INSPECT,,,,(CE/) CONN 9-POS 2-ROW D-SUB M,,,,,,
,747842-4,,TE Connectivity,650.000,,US2602190000036;QC INSPECT,,,,(CE/) CONN 25-POS 2-ROW D-SUB,,,,,,
,AGN20024,,Panasonic Corp,4662.000,,US2602190000046;QC INSPECT,,,,(CE/) RELAY DPDT 24VDC 1A SLIM,,,,,,
,BFC237042103,,Vishay Dale,2009.000,,US2602230000006;QC INSPECT,,,,(CE/) CAP 0.01UF 250V 5% MF,,,,,,
,BIFILAR1.16E-3MH,,Not Known Yet,104.000,,US2602180000036;QC INSPECT,,,,(CE/C1) INDUCTOR 1.16E-3MH AIR,,,,,,
,CBD7W2F37S600X,,Amphenol Corp,944.000,,US2602110000049;QC INSPECT,,,,(CE/) SKCT 7 POS ST,,,,,,
,DIN-096CSC-S3L-HM,,3M,1063.000,,US2602230000003;QC INSPECT,,,,(CE/) CONN 96POS 3ROW STRT,,,,,,
,EP3C120F484I7N,,Altera,1193.000,,US2602110000047;QC INSPECT,,,,EP3C120F484I7N,,,,,,
,EPCS64SI16N,,Altera,4257.000,,US2602110000048;QC INSPECT,,,,"Configuration Memory, 64MX1, Serial, CMO",,,,,,
,FAN73611MX,,On Semiconductor,31952.000,,US2602180000033;QC INSPECT,,,,(CE/) IC HI-SIDE DRVR SOIC8 60,,,,,,
,IRFB4321PBF,,Infineon,3492.000,,US2602190000048;QC INSPECT,,,,MOSFET N-CH 150V 85A TO220AB,,,,,,
,LM311N/NOPB,,Texas Instruments,1067.000,,US2602110000060;QC INSPECT,,,,(CE/C4) IC VOLT COMP LM311N PD,,,,,,
