Chuboe_Offer_ID[Value],Chuboe_MPN,Chuboe_MFR_ID[Value],Chuboe_MFR_Text,Qty,Chuboe_Lead_Time,Chuboe_Package_Desc,C_Country_ID[Name],Chuboe_Date_Code,C_Currency_ID[ISO_Code],Description,IsActive,Chuboe_MPN_Clean,Chuboe_CPC,PriceEntered,Chuboe_MOQ,Chuboe_SPQ
,08055C102KAT2A,,Kemet Electronics Corp,2891.000,,US2210070000005;G06E01,,1902,,"CAP,SMD,CER,1000PF,0805,10%,X7R,50V,ROHS",,,,,,
,10-407552-15,,Amphenol Corp,379.000,,BR2507300000008;G03E03,,,,CONTACT PIN ELECTRICAL CONNECTOR SIZE 22,,,,,,
,5962-8606302XA,,Milspec Proucts Inc,45.000,,US2404220000005;G03C01,,,,EPROM UV 256K-bit 32K x 8 250ns 28-Pin C,,,,,,
,5962-8606302XA,,Milspec Proucts Inc,14.000,,US2404150000003;G03C01,,,,EPROM UV 256K-bit 32K x 8 250ns 28-Pin C,,,,,,
,AD5305BRMZ-REEL7,,Analog Devices Inc,812.000,,BR2212120000008;G08B02,,1743,,IC DAC QUAD 8 BIT 2 WIRE INTERFACE,,,,,,
,AD8170AR,,Analog Devices Inc,240.000,,BR2212120000009;G08B02,,1223,,IC INTERFACE SPECIALIZED 8SOIC,,,,,,
,AD8674ARU,,Analog Devices Inc,1540.000,,BR2212120000010;G08C03,,1533,,Precision Amplifiers Prec Low Noise Low,,,,,,
,ADG794BRQZ-REEL7,,Analog Devices Inc,830.000,,BR2212120000012;G08B02,,1346,,IC ANALOG VIDEO SWITCH,,,,,,
,B12J10RE,,Ohmite,5.000,,US2210070000006;G06E01,,1912,,ROHS RES 10 OHM 12W 5% AX,,,,,,
,bq2012SN-D107TR,,Texas Instruments,120.000,,US2210070000007;G06E01,,1828,,"ROHS IC, Gas Gauge, 16-Pi",,,,,,
,BSS138LT1G,,On Semiconductor,3000.000,,BR2212120000043;G08B02,,2030,,"MOSFET Transistor, N-Channel, SOT-23",,,,,,
,C3216JB1E476M160AC,,TDK Corp,938.000,,US2508260015-02;G03E03,,,,CAP 47UF 25V CER JB 20% 1206,,,,,,
,CD74HCT241M96,,Texas Instruments,1966.000,,BR2212120000013;G08C03,,1431,,IC BUF NON-INVERT 5.5V 20SOIC,,,,,,
,CD74HCT273M96,,Texas Instruments,1902.000,,BR2212120000014;G08C03,,1349,,IC FF D-TYPE SNGL 8BIT 20SOIC,,,,,,
,CS5340-CZZR,,Cirrus Logic,3819.000,,BR2212120000015;G08B02,,"2049, 2109",,"IC, A/D CONVERTER, 24BIT, 192KHZ",,,,,,
,D25K10RE,,Ohmite,6.000,,US2210070000008;G06E01,,2033,,ROHS RESISTOR POWER ADJ 1,,,,,,
,EPM7032STI44-7,,Altera,33.000,,US2504230000007;G02B03,,,,Test Dots,,,,,,
,EPM7032STI44-7N,,Altera,19.000,,BR2212120000016;G02B03,,"1043, 0325",,IC EPLD 7032 W/ISP,,,,,,
,H1164NLT,,Pulse Electronics Corp,243.000,,BR2212120000046;G08B02,,"1643, 1322",,Telecom Transformer 40Term. Gull Wing SM,,,,,,
,HMC5983-TR,,Honeywell Sensing And Control,3868.000,,US2402130000003;G08C01,,11/03/2017,,SENSOR MR I2C/SPI 16LPCC,,,,,,
,KD-A1N,,Leach International,1.000,,US2408210000007;F02D04,,,,RELAY 25A 3PST W/AU,,,,,,
,LM219DT,,STMicroelectronics,1623.000,,BR2212120000047;G08B02,,N/A,,IC COMPARATOR HS DUAL 14-SOIC,,,,,,
,LM4040BIM3-5.0,,Texas Instruments,497.000,,BR2212120000018;G08B02,,0824,,IC VREF SHUNT 5V SOT23-3,,,,,,
,LMV321IDCKR,,Texas Instruments,1807.000,,BR2212120000019;G08B02,,0601,,IC OPAMP GP 1 CIRCUIT SC70-5,,,,,,
,LMV751M5/NOPB,,Texas Instruments,762.000,,BR2212120000049;G08B02,,2124,,Operational Amplifiers - Op Amps Ultra L,,,,,,
,LT1120IS8#TR,,Linear Technology Corp,725.000,,BR2212120000020;G08C03,,1007,,MC REGULATOR MICROP,,,,,,
,LT1339ISW,,Linear Technology Corp,411.000,,BR2212120000051;G08C03,,"0930, 0921",,IC REG CTLR BST/FWRD CONV 20SOIC,,,,,,
,LT1963AEST-3.3,,Linear Technology Corp,947.000,,BR2212120000021;G08C03,,0924,,Fixed Positive LDO Regulator 3,,,,,,
,LT2178IS8,,Linear Technology Corp,542.000,,BR2212120000022;G08B02,,0921,,Op Amp Dual Precision Amplifier �22V/44V,,,,,,
,LTC1150CN8,,Linear Technology Corp,387.000,,BR2212120000023;G08B02,,0951,,"IC, CHOPPER AMP;",,,,,,
,LTC1444IS#PBF,,Linear Technology Corp,291.000,,BR2212120000052;F03D02,,0731,,IC COMP W/REF LOWPWR QUAD 16SOIC,,,,,,
,LTC6906IS6#TRM,,Linear Technology Corp,234.000,,BR2212120000053;G08B02,,1238,,LTC6906 - 10KHZ TO 1MHZ RESISTOR,,,,,,
,M25P64-VMF6TP,,Micron Technology Inc,375.000,,BR2212120000024;G08C03,,1444,,INTGRATED CIRCUIT FLASH 64MBIT 50 MHZ 16,,,,,,
,MAX835EUK+T,,Maxim Integrated Products Inc,1758.000,,US2210070000009;G06E01,,1824,,"ROHS IC, Micropower Latch",,,,,,
,MC68HC705C8ACFNE,,NXP Semiconductors,8.000,,BR2212120000025;G08C03,,2116,,"Microcontroller, 8-Bit, OTPROM, 6805 CPU",,,,,,
,MIC5219-3.3YML-TR,,Microchip Technology Inc,1186.000,,BR2212120000027;G08B02,,2052,,IC REG LINEAR 3.3V 500MA 6MLF,,,,,,
,PC24LC16BT-E/SN,,Microchip Technology Inc,1912.000,,BR2212120000007;G08B02,,1846,,IC EEPROM 16KBIT I2C 8SOIC,,,,,,
,PS2801-4-F3-A,,Nec,858.000,,BR2212120000048;G08B02,,2021,,"Transistor Output Optocoupler, 4-Element",,,,,,
,RM10J104CT,,Cal-Chip Electronics Inc,4640.000,,US2210070000014;G06E01,,1813,,RES SMD 100K OHM 5% 1/8W 0805,,,,,,
,S-812C33AMC-C2NT2G,,Seiko,1940.000,,US2210070000010;G06E01,,N/A,,"ROHS IC, LDO Voltage Regu",,,,,,
,SDA203-1,,Solid State Devices Inc,5.000,,US2408020000014;OSQ,,,,SEMI-CONDUCTOR,,,,,,
,SN74LV166APWR,,Texas Instruments,5630.000,,BR2212120000028;G08C03,,2032,,"IC, 8-BIT PARALLEL-LOAD SHIFT REGISTER",,,,,,
,SN74LVC2G53DCUR,,Texas Instruments,1512.000,,BR2212120000029;G08B02,,1319,,Analogue Switch ICs Dual Analog,,,,,,
,SN74LVTH162374KR,,Texas Instruments,486.000,,BR2212120000030;G08C03,,0944,,IC FF D-TYPE DUAL 8BIT 56BGA,,,,,,
,SN74LVTH16500GQLR,,Texas Instruments,878.000,,BR2212120000031;G08C03,,0831,,IC UNIV BUS TXRX 18BIT 56BGA,,,,,,
,SN74LVTH244AQDBREP,,Texas Instruments,1758.000,,BR2212120000032;G08C03,,1236,,IC BUF NON-INVERT 3.6V 20SSOP,,,,,,
,SPP17N80C3XKSA1,,Infineon Technologies,557.000,,BR2212120000055;G08B02,,N/A,,MOSFET N-Ch 800V 17A TO220-3 CoolMOS C3,,,,,,
,STTH1210D,,STMicroelectronics,681.000,,US2401120000016;G02A02,,DC 1909 (2019 week 09),,DIODE 12A 1000V TO-220AC,,,,,,
,TAJA106M010RNJ,,AVX Corporation,2118.000,,US2210070000011;G06E01,,1843,,"ROHS CAPACITOR, 10uF, 10V",,,,,,
,TAP226K016SCS,,AVX Corporation,57.000,,US2210070000012;G06E01,,N/A,,ROHS 22uF +-10% Conformal,,,,,,
,TC1185-5.0VCT713,,Microchip Technology Inc,4333.000,,BR2212120000036;G08B02,,2126,,IC REG LINEAR 5V 150MA SOT23-5,,,,,,
,TDKC2012X5R1E226M125AC,,TDK Corp,1480.000,,BR2212120000054;G08B02,,1718,,CAP CER 22UF 25V X5R 0805,,,,,,
,TLC3704IDR,,Texas Instruments,1675.000,,BR2212120000037;G08C03,,1214,,IC MICROPWR COMP QUAD 14-SOIC,,,,,,
,TLV2451CDBVT,,Texas Instruments,2250.000,,BR2212120000038;G08B02,,2203,,IC OP AMP TLV2451CDBV,,,,,,
,TMS320C31PQA40,,Texas Instruments,30.000,,BR2212120000039;G08B02,,"1231, 1214",,IC DSP 132-BQFP,,,,,,
,TNPW1206100KBEEA,,Vishay Semiconductors,5143.000,,US2210070000013;G06E01,,1827,,"ROHS RESISTOR, 100K Ohm",,,,,,
,TS8FCFSTD25ISI2,,Transcend,30.000,,BR2212120000040;G08B02,,N/A,,CARD COMPACTFLASH 8GB,,,,,,
,XC7A15T-1FTG256I,,Xilinx Inc,28.000,,BR2212120000041;G08C03,,"1933, 2025",,IC FPGA 170 I/O 256FTBGA,,,,,,
,XCR3512XL-12FT256I,,Xilinx Inc,8.000,,BR2212120000042;G08C03,,"1921, 1807",,IC CPLD 512MC 10.8NS 256BGA,,,,,,
