Chuboe_Offer_ID[Value],Chuboe_MPN,Chuboe_MFR_ID[Value],Chuboe_MFR_Text,Qty,Chuboe_Lead_Time,Chuboe_Package_Desc,C_Country_ID[Name],Chuboe_Date_Code,C_Currency_ID[ISO_Code],Description,IsActive,Chuboe_MPN_Clean,Chuboe_CPC,PriceEntered,Chuboe_MOQ,Chuboe_SPQ
,06035A221KAT2A,,AVX Corporation,4000.000,,US2203070000037;G01C02,,2010,,CAP CER 220PF 50V C0G/NP0 0603,,,,,,
,06035A221KAT2A,,AVX Corporation,4339.000,,US2203110000022;G06A01,,"1848, 1811, 1841",,CAP CER 220PF 50V C0G/NP0 0603,,,,,,
,0603F224Z500CT,,AVX Corporation,180000.000,,US2205120000052;G06B03,,N/A,,"CAP, 0.22F, 50V, Y5V, 0603, REEL",,,,,,
,08053C105KAT2A,,AVX Corporation,135.000,,US2205250000037;G06A01,,1814,,Cap 1uF +/-10% 25V X7R 0805,,,,,,
,08055A102FAT2A,,AVX Corporation,2796.000,,US2204250000059;G07D01,,1914,,08055A102FAT2A,,,,,,
,08055A331KAT2A,,AVX Corporation,13777.000,,US2204120000021;G01B02,,"1911, 1839",,CAP CER 330PF 50V C0G/NP0 0805,,,,,,
,08055C104KAT2A,,KYOCERA AVX,425.000,,US2203220000009;G01B03,,1839,,Ceramic Capacitor Multilayer 5,,,,,,
,0KLK005.T,,Littlefuse Inc,4900.000,,US2203300000014;A02A01,,"L9C26F*, 100219*, 091019*, L9C23F*, 081319*",,FUSE CARTRIDGE 5A 600VAC/500VDC,,,,,,
,0KLK005.T,,Littlefuse Inc,830.000,,US2112170000028;A01B01,,n/a,,FUSE CARTRIDGE 5A 600VAC/500VDC,,,,,,
,0KLK005.T,,Littlefuse Inc,70.000,,US2112160000014;G04B01,,19974,,FUSE CARTRIDGE 5A 600VAC/500VDC,,,,,,
,0KLK005.T,,Littlefuse Inc,100.000,,US2112160000012;G04B01,,19973,,FUSE CARTRIDGE 5A 600VAC/500VDC,,,,,,
,101S43W105KV4E,,Johanson,28273.000,,US2203240000025;ATX22L,,"1922, 1916, 1937, 2015, 1937, 1845",,Cap Ceramic 1uF 100V X7R 10% Pad SMD 181,,,,,,
,103JG1G,,Littlefuse Inc,1000.000,,US2202230000004;G07E04,,2002,,,,,,,,
,103JG1G,,Littlefuse Inc,1261.000,,US2205020000019;G07E04,,1923,,,,,,,,
,111CG04-01,,Not Known Yet,1000.000,,US2210210000008;G07D04,,,,111CG04-01 Rev. B,,,,,,
,112CL04-01,,Elfab,11380.000,,US2209060000037;G05D04,,,,112CL04-01 Rev. B,,,,,,
,112CL04-01,,Elfab,1000.000,,US2210240000017;G05D04,,,,112CL04-01 Rev. B,,,,,,
,1-1761608-5,,TE Connectivity Ltd,28.000,,US2202140000015;G06A02,,18325M,,CONN HEADER VERT 14POS 2.54MM,,,,,,
,12-050-154-00R,,Not Known Yet,1398.000,,US2207120000011;G07A03,,,,12-050-154-00R Rev. A,,,,,,
,12061A330JAT2A,,AVX Corporation,6817.000,,US2204250000047;G01B01,,"1901, 1907",,CAP CER 33PF 100V C0G/NP0 1206,,,,,,
,12061A472JAT2A,,AVX Corporation,500.000,,US2205110000030;G06A01,,2018,,CAP CER 4700PF 100V C0G/NP0 1206,,,,,,
,12063C105JAT2A,,AVX Corporation,37300.000,,US2205020000001;G06A01,,"2014, 1932, 1952, 1946, 1929",,CAP CER 1UF 25V X7R 1206,,,,,,
,12065C152KAT2A,,AVX Corporation,8216.000,,US2203210000001;G01B01,,"1838, 1932, 1702",,CAP CER 1500PF 50V X7R 1206,,,,,,
,12065C681KAT2A,,AVX Corporation,3943.000,,US2204250000049;G01B01,,1916,,CAP CER 680PF 50V X7R 1206,,,,,,
,1206GA330JAT1A,,AVX Corporation,4040.000,,US2204250000054;G07C03,,"1902, 1911",,CAP CER 33PF 2KV C0G/NP0 1206,,,,,,
,1206YC105KAT2A,,Kyocera Connector Products Corp,30.000,,US2205230000038;G07E04,,1727,,Cap 1uF 10% 16V Cer 1206,,,,,,
,1206ZG106ZAT2A,,AVX Corporation,4000.000,,US2203210000007;G01B03,,1739,,CAP CER 10UF 10V Y5V 1206,,,,,,
,12105C475MAT2A,,AVX Corporation,1242.000,,US2201190000023;G07D03,,"1914, 1840",,CAP CER 4.7UF 50V X7R 1210,,,,,,
,12105C475MAT2A,,AVX Corporation,13000.000,,US2205200000027;G07D03,,2007,,CAP CER 4.7UF 50V X7R 1210,,,,,,
,1210AC103KAZ1A,,AVX Corporation,18000.000,,US2204290000021;G06B03,,"2002, 1939",,CAP CER 10000PF 1KV X7R 1210,,,,,,
,1210AC103KAZ1A,,AVX Corporation,1775.000,,US2205020000002;G06B03,,1911,,CAP CER 10000PF 1KV X7R 1210,,,,,,
,1210AC222KAZ1A,,AVX Corporation,1938.000,,US2203140000035;G04E03,,1917,,CAP CER SMD,,,,,,
,1210AC222KAZ1A,,AVX Corporation,2000.000,,US2204080000048;G04E03,,N/A,,CAP CER SMD,,,,,,
,1210CC333KAZ1A,,AVX Corporation,460.000,,US2208240000008;G04E03,,,,Multilayer Ceramic Capacitors MLCC - SMD,,,,,,
,1287-ST,,Keystone,5000.000,,US2201240000041;G05D02,,N/A,,"MALE .250"" QUICK FIT TERMINAL ST",,,,,,
,1287-ST,,Keystone,773.000,,US2201250000015;G05D02,,N/A,,"MALE .250"" QUICK FIT TERMINAL ST",,,,,,
,1336G1,,Anderson Power,2000.000,,US2204070000010;A01E01,,"1849, 1945",,45A HORIZ. (BOT) RA LP CONTACT,,,,,,
,1336G1,,Anderson Power,260.000,,US2112150000033;A01E01,,1847,,45A HORIZ. (BOT) RA LP CONTACT,,,,,,
,1336G1,,Anderson Power,4137.000,,US2204060000016;A01D01,,1849,,45A HORIZ. (BOT) RA LP CONTACT,,,,,,
,1399G2,,Anderson Power,840.000,,US2204040000018;G06A03,,1819 1743,,SPACER KEY-LONG-RED,,,,,,
,1399G2,,Anderson Power,5038.000,,US2204050000013;G06A03,,1743,,SPACER KEY-LONG-RED,,,,,,
,1399G9,,Anderson Power,7115.000,,US2202230000014;A01D01,,1722,,PP10/45 MOUNTING WING RED,,,,,,
,150105J250JE,,Cornell Dubilier,2077.000,,US2204280000020;G04B01,,"1814, 1835, 1844",,CAP FILM 1UF 5% 250VDC AXIAL,,,,,,
,150105J250JE,,Cornell Dubilier,20.000,,US2205200000037;G04B01,,1814,,CAP FILM 1UF 5% 250VDC AXIAL,,,,,,
,150105J250JE,,Cornell Dubilier,56.000,,US2205250000025;G04B01,,N/A,,CAP FILM 1UF 5% 250VDC AXIAL,,,,,,
,15401,,Mec,1000.000,,US2205230000033;G06C02,,1907,,15401(RA1540109) RoHS,,,,,,
,15401,,Mec,184.000,,US2205240000017;G06C02,,1917,,15401(RA1540109) RoHS,,,,,,
,15401,,Mec,390.000,,US2205240000052;G01A01,,N/A,,15401(RA1540109) RoHS,,,,,,
,15451,,Mec,708.000,,US2205230000034;G06C02,,1907,,15451(RA1545109) RoHS,,,,,,
,1577-2,,Keystone,23955.000,,US2205240000048;A02D01,,N/A,,Terminal Turret Connector,,,,,,
,160-101-JTW,,Rcd,1691.000,,US2202020000008;A02C01,,n/a,,160-101-JTW,,,,,,
,160-101-JTW,,Rcd,144.000,,US2202030000002;A02C01,,N/A,,160-101-JTW,,,,,,
,160-101-JTW,,Rcd,4500.000,,US2202040000008;A02C01,,N/A,,160-101-JTW,,,,,,
,171814-1004,,Molex LLC,2800.000,,US2204080000032;G05F04,,2005,,CONN HEADER R/A 4POS 3.96MM,,,,,,
,1761608-5,,TE Connectivity Ltd,20.000,,US2202140000013;G07C01,,1933M,,CONN HEADER VERT 14POS 2.54MM,,,,,,
,1761608-6,,TE Connectivity Ltd,20.000,,US2202140000014;G06A02,,19175M,,CONN HEADER VERT 16POS 2.54MM,,,,,,
,1761608-7,,TE Connectivity Ltd,4336.000,,US2203090000015;ATX31L,,"19456M, 19456D, 19142M",,CONN HEADER VERT 20POS 2.54MM,,,,,,
,1761608-7,,TE Connectivity Ltd,24.000,,US2205200000041;ATX31L,,"1904, 1909",,CONN HEADER VERT 20POS 2.54MM,,,,,,
,1761608-9,,TE Connectivity Ltd,164.000,,US2204290000019;A02F01,,1924,,CONN HEADER VERT 26POS 2.54MM,,,,,,
,1761608-9,,TE Connectivity Ltd,585.000,,US2203290000021;G03F02,,20011,,CONN HEADER VERT 26POS 2.54MM,,,,,,
,1761608-9,,TE Connectivity Ltd,25.000,,US2205200000032;G01A01,,1924,,CONN HEADER VERT 26POS 2.54MM,,,,,,
,1761608-9,,TE Connectivity Ltd,585.000,,US2203290000020;G03F01,,20011,,CONN HEADER VERT 26POS 2.54MM,,,,,,
,1761608-9,,TE Connectivity Ltd,585.000,,US2203290000022;G03F02,,20011,,CONN HEADER VERT 26POS 2.54MM,,,,,,
,1761608-9,,TE Connectivity Ltd,585.000,,US2203290000017;G03F02,,19242,,CONN HEADER VERT 26POS 2.54MM,,,,,,
,1761608-9,,TE Connectivity Ltd,3031.000,,US2203240000017;G03F01,,"1906, 1924, 1945, 1941, 1934, 1936",,CONN HEADER VERT 26POS 2.54MM,,,,,,
,1761608-9,,TE Connectivity Ltd,585.000,,US2203290000019;G03F01,,19242,,CONN HEADER VERT 26POS 2.54MM,,,,,,
,1761608-9,,TE Connectivity Ltd,585.000,,US2112160000009;G03F02,,19454,,CONN HEADER VERT 26POS 2.54MM,,,,,,
,1761608-9,,TE Connectivity Ltd,120.000,,US2112160000007;G03A03,,20094,,CONN HEADER VERT 26POS 2.54MM,,,,,,
,18125C474KAT2A,,AVX Corporation,1152.000,,US2205090000007;G07E03,,1812,,CAP CER 0.47UF 50V X7R 1812,,,,,,
,1812AA102JAT3A,,AVX Corporation,1921.000,,US2204250000051;G07D02,,1830,,CAP CER 1000PF 1KV C0G/NP0 1812,,,,,,
,1812AA102JAT3A,,AVX Corporation,2000.000,,US2204250000053;G07D02,,1830,,CAP CER 1000PF 1KV C0G/NP0 1812,,,,,,
,1812AC103KAT1A,,AVX Corporation,3000.000,,US2204060000055;G04D04,,2004,,Ceramic Cap,,,,,,
,1812AC103KAT1A,,AVX Corporation,3000.000,,US2203010000008;G04D04,,1948,,Ceramic Cap,,,,,,
,1812AC103KAT1A,,AVX Corporation,6000.000,,US2201210000042;G04D04,,1939,,Ceramic Cap,,,,,,
,1812AC103KAT1A,,AVX Corporation,847.000,,US2201210000038;G04D04,,1937,,Ceramic Cap,,,,,,
,1812AC103KAT1A,,AVX Corporation,2859.000,,US2201210000039;G04D04,,"1138, 1936, 1939",,Ceramic Cap,,,,,,
,1812AC103KAT1A,,AVX Corporation,8000.000,,US2201210000041;G04D04,,1939,,Ceramic Cap,,,,,,
,1812AC103KAZ1A,,AVX Corporation,76352.000,,US2205240000018;A02F01,,"1843, 1829, 1938",,CAP CER 10000PF 1KV X7R 1812,,,,,,
,1812CC104KAT1A,,AVX Corporation,3441.000,,US2203180000013;A01F01,,"1912, 1851, 1939, 1922, 1838, 1932, 1702",,CAP CER 0.1UF 630V X7R 1812,,,,,,
,1812CC104KAT1A,,AVX Corporation,1500.000,,US2204080000054;G07E03,,"1950, 2020, 2002",,CAP CER 0.1UF 630V X7R 1812,,,,,,
,19705-4301,,Molex LLC,8000.000,,US2204080000031;A01C01,,n/,,CONN QC TAB 0.250 SOLDER,,,,,,
,19705-4301,,Molex LLC,5785.000,,US2204210000026;A01C01,,1922,,CONN QC TAB 0.250 SOLDER,,,,,,
,19705-4301,,Molex LLC,500.000,,US2204220000008;A01C01,,1909,,CONN QC TAB 0.250 SOLDER,,,,,,
,1N4735ATR,,Vishay Intertechnology Inc,4981.000,,US2204250000024;A01D01,,1651,,Diode Zener Single 6.2V 5% 1W 2-Pin DO-4,,,,,,
,206-4,,CTS Corp,360.000,,US2203310000038;G06A02,,N/A,,Switch DIP OFF ON SPST 4 Raised Slide 0.,,,,,,
,206-4,,CTS Corp,135.000,,US2204060000059;G06A02,,1901,,Switch DIP OFF ON SPST 4 Raised Slide 0.,,,,,,
,2065-440-B-12,,Raf Electronics Hardware,2950.000,,US2203300000005;A03C01,,20200109,,HEX STANDOFFCLEAR ZINC3/16 HEX X,,,,,,
,2065-440-B-12,,Raf Electronics Hardware,285.000,,US2203070000066;A03C01,,N/A,,HEX STANDOFFCLEAR ZINC3/16 HEX X,,,,,,
,2065-440-B-12,,Raf Electronics Hardware,2950.000,,US2203290000026;A03C01,,20200109,,HEX STANDOFFCLEAR ZINC3/16 HEX X,,,,,,
,2065-440-B-12,,Raf Electronics Hardware,4100.000,,US2203300000006;A03C01,,20200109,,HEX STANDOFFCLEAR ZINC3/16 HEX X,,,,,,
,2102-632-B-12,,Raf Electronics Hardware,1000.000,,US2204060000021;G05D01,,N/A,,1/4 HEX X 3/8 LENGTH,,,,,,
,2-1419108-9,,TE Connectivity Ltd,775.000,,US2205020000004;A01D01,,"1445, 1433",,Power Relay 12VDC 16A SPDT(29x12.7x15.7),,,,,,
,22-11-2022,,Molex LLC,411.000,,US2201260000038;G04C03,,1702,,Conn Wire to Board HDR 2 POS 2.54mm Sold,,,,,,
,22-11-2022,,Molex LLC,73.000,,US2201260000039;G04C03,,N/A,,Conn Wire to Board HDR 2 POS 2.54mm Sold,,,,,,
,22-11-2022,,Molex LLC,3000.000,,US2201260000043;G04C03,,1927,,Conn Wire to Board HDR 2 POS 2.54mm Sold,,,,,,
,22-11-2022,,Molex LLC,6000.000,,US2208220000029;G04C03,,,,Conn Wire to Board HDR 2 POS 2.54mm Sold,,,,,,
,22-12-2044,,Molex LLC,11375.000,,US2205240000019;A02B01,,1904,,HDR Lock 0.025SQ,,,,,,
,22-28-4023,,Molex LLC,9750.000,,US2204250000022;G01F01,,1911,,Conn Unshrouded Header HDR 2 POS 2.54mm,,,,,,
,22-28-4033,,Molex LLC,3750.000,,US2203300000016;G05F02,,1919,,Conn Unshrouded Header HDR 3 POS 2.54mm,,,,,,
,22-28-4033,,Molex LLC,3750.000,,US2203300000017;G05F02,,1919,,Conn Unshrouded Header HDR 3 POS 2.54mm,,,,,,
,22-28-4033,,Molex LLC,3750.000,,US2205100000029;G05F02,,1919,,Conn Unshrouded Header HDR 3 POS 2.54mm,,,,,,
,22-28-4033,,Molex LLC,18575.000,,US2210200000003;G05F02,,,,Conn Unshrouded Header HDR 3 POS 2.54mm,,,,,,
,293D105X9035B2TE3,,Vishay Sprague,8568.000,,US2201170000021;G01D03,,"1805, 1840, 1844",,CAP TANT 1UF 10% 35V 1411,,,,,,
,293D105X9035B2TE3,,Vishay Sprague,2000.000,,US2205250000029;G01D03,,1822,,CAP TANT 1UF 10% 35V 1411,,,,,,
,293D475X0035D2TE3,,Vishay Sprague,1500.000,,US2204060000062;G01B01,,1944,,CAP TANT 4.7UF 20% 35V 2917,,,,,,
,293D475X0035D2TE3,,Vishay Sprague,500.000,,US2204250000033;G01B01,,1909,,CAP TANT 4.7UF 20% 35V 2917,,,,,,
,2N2222A,,Microchip Technology Inc,1758.000,,US2201260000032;G05D01,,2006,,Transistor Bipolar,,,,,,
,2N7002,,NXP Semiconductors,44338.000,,US2205030000027;G01C02,,"1937, 1940, 1903, 1905",,"Mosfet,N-Ch,60v,300ma,Sot-23",,,,,,
,2N7002,,NXP Semiconductors,3234.000,,US2205110000014;G01C02,,"1844, 1832",,"Mosfet,N-Ch,60v,300ma,Sot-23",,,,,,
,2N7002LT1G,,On Semiconductor,12000.000,,US2204250000028;G01B01,,1909,,MOSFET N-CH 60V 115MA SOT23-3,,,,,,
,3045A-B-632-B-14,,Raf Electronics Hardware,158.000,,US2204060000023;G05D01,,N/A,,ROUND SWAGE STANDOFFBRIGHT TIN O,,,,,,
,3051-B-632-B-16,,Raf Electronics Hardware,1514.000,,US2204060000022;G05D01,,20191226,,ROUND SWAGE STANDOFFELECTRO TIN1,,,,,,
,3051-B-632-B-16,,Raf Electronics Hardware,153.000,,US2204060000020;G05D01,,N/A,,ROUND SWAGE STANDOFFELECTRO TIN1,,,,,,
,30J27RE,,Ohmite,2584.000,,US2204290000020;A02F01,,"2008, 1929, 1813",,RES 27 OHM 5% 10W AXIAL,,,,,,
,310-83-105-41-105101,,Precidip,4322.000,,US2202080000011;G05D01,,"180723, 171110, 190206",,CONN SOCKET 5POS 0.1 GOLD SMD,,,,,,
,310-83-105-41-105191,,Precidip,5725.000,,US2204280000013;A02F01,,N/A,,CONN SOCKET 5POS 0.1 GOLD SMD,,,,,,
,310-83-120-41-001101,,Precidip,2694.000,,US2202080000012;G05C02,,N/A,,CONN SOCKET 20POS 0.1 GOLD PCB,,,,,,
