Item,ItemDescription,Name,Lot Quantity,Date Code,Lot Unit Cost,Currency,Warehouse Name,Location
0023-57074,STANDARD DOVE NUT IGS T2R2/ T3,Factored Manufacturer,100.000,,18.20000,USD,Astute Electronics Inc.,QC INSPECT
0060-05798,"LABELS, CH B WRAP AROUND LARGE",Not Known Yet,10.000,,0.00000,USD,Astute Electronics Inc.,G02D02
0060-05803,"LABELS CH A WRAP AROUND MEDIUM, 300MM PR",Not Known Yet,10.000,,0.00000,USD,Astute Electronics Inc.,G02D02
0060-05805,"LABELS CH C WRAP AROUND MEDIUM, 300MM PR",Not Known Yet,10.000,,0.00000,USD,Astute Electronics Inc.,G02D02
00-8380-010-000-010,SHR HD LP 2X5PIN WIDTH 8.6MM RM2.54,KYOCERA AVX,27.000,,2.93118,EUR,Astute Electronics Inc.,G03E03
009180-14,009180-14,Not Known Yet,32.000,1947,0.00000,,Astute Electronics GEA Excess/Consignment,G07A03
009180-15,009180-15,Not Known Yet,30.000,2017,0.00000,,Astute Electronics GEA Excess/Consignment,G04C02
009180-17,009180-17,Not Known Yet,11.000,N/A,0.00000,,Astute Electronics GEA Excess/Consignment,G04C03
009237-2,009237-2,Bta Associates,14.000,2001,0.00000,,Astute Electronics GEA Excess/Consignment,G01A03
009330-1,009330-1,API Delevan,33.000,2119,0.00000,,Astute Electronics GEA Excess/Consignment,G05D02
009330-4,009330-4,API Delevan,78.000,N/A,0.00000,,Astute Electronics GEA Excess/Consignment,G02A01
009330-4,009330-4,API Delevan,30.000,N/A,0.00000,,Astute Electronics GEA Excess/Consignment,G02A01
009363-4,009363-4,GE Aviation Systems Ltd,674.000,,0.00000,,Astute Electronics Inc. ATX Excess,G08C01
009363-7,009363-7,Not Known Yet,536.000,,0.00000,,Astute Electronics GEA Excess/Consignment,G08E03
009465,"TRANSFORMER, BIAS",Not Known Yet,21.000,,0.00000,,Astute Electronics GEA Excess/Consignment,G05E03
009701-1,009701-1,Renco,68.000,2037,0.00000,,Astute Electronics GEA Excess/Consignment,G08F01
010062-2,"XTLOSC-4M HZ, FOX",Smiths,98.000,,0.00000,,Astute Electronics GEA Excess/Consignment,G05D03
010299-1,010299-1,On Semiconductor,5425.000,1627,0.00000,,Astute Electronics GEA Excess/Consignment,G07D01
010436-1,Microsemi Corp - 010436-1,Microsemi Corp,100.000,1236,0.00000,,Astute Electronics GEA Excess/Consignment,G01A03
010448-1,QUAD 12 BIT D/A,TE Connectivity Ltd,20.000,N/A,0.00000,,Astute Electronics GEA Excess/Consignment,G01A02
011024-1,Panel,Not Known Yet,121.000,,0.00000,,Astute Electronics GEA Excess/Consignment,A03D01
011152-1,011152-1,Not Known Yet,73.000,,0.00000,,Astute Electronics GEA Excess/Consignment,G06C03
01348,"CONNECTOR, POWER SNAP",Winchester Electronics,10.000,1839,0.00000,USD,Astute Electronics Inc. ATX Excess,G06D04
019931-3000,019931-3000,Smiths Interconnect,8.000,1635,0.00000,,Astute Electronics GEA Excess/Consignment,G08F03
0201ZC103KAT2A,0201ZC103KAT2A,AVX Corporation,8400.000,,0.00000,,Astute Electronics Inc. ATX Excess,G07C02
020419-0038,JACK SCREWS,ITT Interconnect Solutions,896.000,,0.00000,,Astute Electronics GEA Excess/Consignment,F01C01
02-7036-0,Bobbin,Cosmo,28.000,,14.80000,USD,Astute Electronics Inc.,QC INSPECT
02-7036-0 - SET UP FEE,set up fee,Charge,1.000,,450.00000,USD,Astute Electronics Inc.,QC INSPECT
030-9205-007,26482 II CON 16 PIN,ITT Cannon,31.000,,0.00000,USD,Astute Electronics Inc. ATX Excess,G05D04
04026D474MAT2A,04026D474MAT2A,AVX Corporation,10000.000,,0.00000,,Astute Electronics Inc. ATX Excess,G02C03
