Item,,ItemDescription,Lot,Location,Lot Cost,Lot Quantity,Lot Unit Cost,Item Lot Revision,Non-Nettable Stock,,Qty WIP,Qty On Customer Orders,,Qty On Purchase Orders,Total On Hand,PO On Order 3PL,CO On Order 3PL,,Last Sales Date,Drawing Revision,Manufacturer,Name,Product Category,Warehouse,,Warehouse Name,NSN,,Expiration Date,Currency,Date Code,Price,Site,Shelf Life,Haz,,,Date Lot,,,,
0023-57074,,STANDARD DOVE NUT IGS T2R2/ T3,US2602160000006,QC INSPECT,"1,820.00000",100.000,18.20000,,0.000,,0.000,100.000,,0.000,100.000,0.00,0.00,,,,M99998,Factored Manufacturer,,MAIN,,Astute Electronics Inc.,,,,USD,,18.20,USS site,,0,,,16/02/2026,,,,
0060-05798,,"LABELS, CH B WRAP AROUND LARGE",US2412170000007,G02D02,0.00000,10.000,0.00000,,0.000,,0.000,0.000,,0.000,10.000,0.00,0.00,,,,M99999,Not Known Yet,,MAIN,,Astute Electronics Inc.,,,,USD,,17.50,USS site,,0,,,17/12/2024,,,,
0060-05803,,"LABELS CH A WRAP AROUND MEDIUM, 300MM PR",US2412170000009,G02D02,0.00000,10.000,0.00000,,0.000,,0.000,0.000,,0.000,10.000,0.00,0.00,,,,M99999,Not Known Yet,,MAIN,,Astute Electronics Inc.,,,,USD,,18.50,USS site,,0,,,17/12/2024,,,,
0060-05805,,"LABELS CH C WRAP AROUND MEDIUM, 300MM PR",US2412170000010,G02D02,0.00000,10.000,0.00000,,0.000,,0.000,0.000,,0.000,10.000,0.00,0.00,,,,M99999,Not Known Yet,,MAIN,,Astute Electronics Inc.,,,,USD,,18.50,USS site,,0,,,17/12/2024,,,,
00-8380-010-000-010,,SHR HD LP 2X5PIN WIDTH 8.6MM RM2.54,US2509110000005,G03E03,79.14175,27.000,2.93118,,0.000,,0.000,0.000,,0.000,27.000,0.00,0.00,,09/10/2025,,M11871,KYOCERA AVX,,MAIN,,Astute Electronics Inc.,,,,EUR,,2.50,USS site,,0,,,11/09/2025,,,,
009180-14,,009180-14,LI2207290000023,G07A03,0.00000,32.000,0.00000,,0.000,,0.000,0.000,,0.000,32.000,0.00,0.00,,,,M99999,Not Known Yet,,W103,,Astute Electronics GEA Excess/Consignment,,,,,1947,,USS site,,0,,,29/07/2022,,,,
009180-15,,009180-15,LI2207290000024,G04C02,0.00000,30.000,0.00000,,0.000,,0.000,0.000,,0.000,30.000,0.00,0.00,,,,M99999,Not Known Yet,,W103,,Astute Electronics GEA Excess/Consignment,,,,,2017,,USS site,,0,,,29/07/2022,,,,
009180-17,,009180-17,LI2207290000025,G04C03,0.00000,11.000,0.00000,,0.000,,0.000,0.000,,0.000,11.000,0.00,0.00,,,,M99999,Not Known Yet,,W103,,Astute Electronics GEA Excess/Consignment,,,,,N/A,,USS site,,0,,,29/07/2022,,,,
009237-2,,009237-2,LI2207290000027,G01A03,0.00000,14.000,0.00000,,0.000,,0.000,0.000,,0.000,14.000,0.00,0.00,,,,M00903,Bta Associates,,W103,,Astute Electronics GEA Excess/Consignment,,,,,2001,,USS site,,0,,,29/07/2022,,,,
009330-1,,009330-1,LI2207290000029,G05D02,0.00000,33.000,0.00000,,0.000,,0.000,0.000,,0.000,33.000,0.00,0.00,,,,M00407,API Delevan,,W103,,Astute Electronics GEA Excess/Consignment,,,,,2119,,USS site,,0,,,29/07/2022,,,,
