CPC,MPN,MFR,Description,MOQ,Lead_Time_Weeks,Base_Unit_Price,PO_Qty,Extended_Cost,Source_Email_Date
723-008848-003,9724-SS-7,AMATOM ELECTRONIC HARDWARE,"STDF,3/16 HEX,M/F,2-56, .250LG,ROHS",1,10,34.80,50,1740.00,2026-07-14
668-096777-009,DLS 1XP4AA35X,CONEC ELEKTRONISCHE BAUELEMENTE GMBH,"CONN,DSUB,9P,M,STR,BRD LCK,ROHS",500,14,5.62,500,2810.00,2026-07-14
723-A64642-001,YSMTSOB-81515-GN,PENN ENGINEERING,"SPCR,BRS,POGO",140,16,2.72,140,380.80,2026-07-14
615-A18150-001,HVCD3512Y1006FT-R294,MICROPEN TECHNOLOGIES CORPORATION,"RES,SMD,HV,THK,100MOHM,±1%,25PPM,3512",250,10,7.66,250,1915.00,2026-07-14
639-A21769-001,WCM6788,WEST COAST MAGNETICS,"XFMR,SMD,FORWARD,1.70:1",10,9,109.27,10,546.35,2026-07-14
673-060116-001,121-14204-01-260,WINCHESTER INTERCONNECT,"TERM,PCB,PWR,W-INSULATOR,6-32,10P ROHS",100,20,33.25,100,3325.00,2026-07-14
615-131264-001,HVC5020K1002FT,OHMITE MANUFACTURING COMPANY,"RES,SMD,THK FILM,10K,1%,100PPM,5020",250,13,9.36,250,2340.00,2026-07-14
615-131307-001,HVC5020E2005FT,OHMITE MANUFACTURING COMPANY,"RES,SMD,THK FILM,20M,1%,25PPM,5020",250,13,13.50,250,3375.00,2026-07-14
615-218819-001,HVC2512E2504FT,OHMITE MANUFACTURING COMPANY,"RES,SMD,2.5MEG,1%,25PPM,2W",500,13,7.45,500,3725.00,2026-07-14
622-A00763-001,HVD-W10-AE-1006-F-4,OHMITE MANUFACTURING COMPANY,"RES,NTWK,HV 1000:1 DIVDR,100 MOHM,±1.0%",50,15,22.77,50,1138.50,2026-07-14
630-059953-001,ADS8509IDW,TEXAS INSTRUMENTS (P),"IC,SMD,16 BIT SERIAL ADC,ROHS",20,10,23.54,20,470.80,2026-07-14
615-A19560-001,PTS120601B100R,VISHAY (P),"RES,SMD,THIN FILM,100OHM,CLASS F0.3,1206",100,31,6.81,100,680.56,2026-07-14
630-223436-001,553SCMGI,IDT (P),"IC,SMD,CLOCK BUFFER,1:4",150,34,1.78,150,266.67,2026-07-14
660-C06767-001,DQD6N-24-S24,CUI INC (P),"PS,DC-DC,24V INPUT,24V OUT,6W,PCB MT",40,20,21.17,40,846.67,2026-07-14
682-020782-002,2920L050,LITTELFUSE (P),"FUSE,SMD,2920,RESETABLE,500MA,ROHS",1500,13,0.26,1500,388.35,2026-07-14
682-020782-009,2920L200/24,LITTELFUSE (P),"FUSE,SMD,2920,RESETABLE,24V,2.0A,ROHS",1000,13,0.31,1000,305.60,2026-07-14
648-218817-020,3838C2R7AP722X,PASSIVE PLUS INC. (P),"CAP,SMD,+/-0.05PF,7200V,NPO,2.7PF",10,8,87.64,10,876.44,2026-07-14
630-223633-001,SN74LVC8T245MPWREP,TEXAS INSTRUMENTS (P),"IC,SMD,BUS TRANSCVR,8B,DUAL SPLY",30,18,9.80,30,293.85,2026-07-14
29-178970-00,ECEA1VKS470,PANASONIC (P),"CAP,47.0UF,35VDC,AL-EL,20%,RADIAL,PANASO",1000,52,0.45,1000,448.90,2026-07-14
630-272519-001,OPA2192IDGKT,TEXAS INSTRUMENTS (P),"IC,SMD,OPAMP,RRIO,E-TRIM,VSSOP8",250,14,5.34,250,1336.18,2026-07-14
630-341490-001,TPS26620DRCT,TEXAS INSTRUMENTS (P),"IC,SMD,EFUSE,60V,800MA,4.5-57V,10-VSON",250,6,2.61,250,652.08,2026-07-14
630-265677-001,LM2941SX/NOPB,TEXAS INSTRUMENTS (P),"IC,SMD,LINEAR VOLT REG,DDPAK/TO263-5",500,12,1.49,500,743.80,2026-07-14
648-130628-001,EMVH500ADA101MJA0G,NIPPON CHEMI-CON CORPORATION (P),"CAP,SMD,ALUM,100UF,20%,50V",1000,1,0.39,1000,390.00,2026-07-14
662-060106-012,555-2401F,DIALIGHT (P),"L.E.D., RT ANGLE, YLW 2.2V,RoHS",500,22,1.59,500,792.65,2026-07-14
630-096581-001,LT1013DS8#PBF,ANALOG DEVICES INC. (P),"IC,LT1013 DUAL OP AMP SO8, ROHS",100,21,6.98,100,697.91,2026-07-14
644-338613-001,CX480D5,CRYDOM (P),"RLY,SSR,DC,SPST-NO,48-660VAC,5A,SIP-4",40,10,31.31,80,2504.55,2026-07-14
615-068556-200,ERJ-3RQF2R0V,PANASONIC (P),"RES,0603,THKF,1%,1/10W,200PPM,2.0 ROHS",5000,24,0.11,5000,550.00,2026-07-14
668-132368-015,164A16579X,CONEC ELEKTRONISCHE BAUELEMENTE GMBH (P),"CONN,DSUB,RCPT,VERT PCB,SOLDER,15P,ROHS",50,15,9.80,50,490.12,2026-07-14
648-314833-001,C3216X7R1V475K160AB,TDK (P),"CAP,SMD,CER,4.7UF,35V,X7R,10%,1206,ROHS",2000,25,0.63,2000,1259.80,2026-07-14
615-224835-010,PATT0603E4991BGT1,VISHAY (P),"RES,0603,THIN FILM,.1%,25 PPM,.15W,4.99K",1000,31,0.89,1000,887.80,2026-07-14
639-B70524-101,SRR1208-101KL,BOURNS (P),"IDCTR,SMD,FERRITE,100UH,10%TOL,1.5A,SHLD",400,23,1.29,400,514.92,2026-07-14
648-162696-004,C1608X5R1V474K080AB,TDK (P),"CAP,0603,CER,X5R,10%,35V,0.47UF,ROHS",4000,24,0.15,4000,600.00,2026-07-14
671-084849-001,40.1151,SCHURTER (P),"TST JACK,PCB,RA,DUAL INPUT 6.3A BLK,ROHS",100,10,9.32,100,932.22,2026-07-14
