COV,Customer,Date,Lines,GP,CO Buyer (system)
COV0014247,2024-Plexus Corp. (N,1/16/2024,1,0.00,
COV0014514,2024-Plexus Corp. (N,3/20/2024,1,0.00,
COV0014587,2024-Plexus Corp. (N,4/25/2024,1,0.00,
COV0014597,2024-Plexus Corp. (N,3/28/2024,1,0.00,
COV0015459,2024-Plexus Corp. (N,9/23/2024,1,0.00,
COV0015498,2024-Plexus Corp. (N,9/4/2024,1,0.00,
COV0015636,2024-Plexus Corp. (N,10/17/2024,1,0.00,
COV0016527,LAM Plexus,1/22/2025,1,1630.20,vimal
COV0017084,LAM Plexus,5/20/2025,1,2600.00,vimal
COV0017384,LAM Plexus,5/30/2025,1,1844.90,vimal
COV0017599,VM Services,5/7/2025,10,15.25,bhuvan
COV0017918,VM Services,6/9/2025,1,1.99,bhuvan
COV0018276,LAM Plexus,7/31/2025,1,1768.00,vimal
COV0018345,LAM Plexus,12/2/2025,1,2670.87,vimal
COV0019924,Naprotek,12/10/2025,2,883.18,bhuvan
undefined,2024-Unknown,,2,0.00,
