COV,Customer,MPN,GP
COV0017599,VM Services,09552156612741,2.54
COV0016527,LAM Plexus,2534-36K,1630.20
COV0017084,LAM Plexus,RSTA 2-AMMO,2600.00
COV0017384,LAM Plexus,XC3S400-4PQ208I,1844.90
COV0018276,LAM Plexus,ADG201HSKR,1768.00
COV0018345,LAM Plexus,M28W160CT70N6E,2670.87
COV0019924,Naprotek,PMEG4020EPK,315,500.14
COV0019924,Naprotek,Tariff Charge(NI),383.04
COV0014247,2024,W1Y45A#BGJ,0.00
COV0014514,2024,LTC1858IG#PBF,0.00
COV0014597,2024,HWP-04-P,0.00
COV0014587,2024,IXFH26N50,0.00
COV0015498,2024,HWP-04-P,0.00
COV0015459,2024,JANTX1N4469US,0.00
COV0015636,2024,XCF01SVOG20C,0.00
