Part Number,Description,MPN Quoted,Lam Product,Consumable Y/N,Critical Y/N,Shelf Life (MSL),Lead time (wks),SPQ/MOQ,Base Unit Price,18% Markup,TOTAL VALUE,COO,HTS Code,Rate,Tariff
660-B26903-001,"PS,HV,DC-DC CONV,15W,24V,0TO -15KVDC,I10",PS,N/A,,17,60,773.62000,10189.14146,56606.34146,,,,
660-B26902-001,"PS,HV,DC-DC CONV,15W,24V,0TO +15KVDC,I10",PS,N/A,,17,60,773.62000,10189.14146,56606.34146,,,,
660-A23835-001,"PS,DC-DC CONV,HV,24V,4KV,ADJ",4AA24-N20-I10-M,PS,N/A,,23,51,879.29000,9843.75878,54687.54878,,,,
668-082689-003,"CONN,HD DSUB,DP R/A,26P/26P,F/F,ROHS",CONN,1,,31,3024,11.69000,7759.87902,43110.43902,,,,
630-337692-002,"IC,SMD,DUAL-ARM,CORTEX-A53,1.8MB,SFVC784",IC,4,,26,50,472.72437,5188.43821,28824.65671,,,,
630-337825-001,"IC,SMD,ADC,16BIT,250MSPS,72LFCSP",IC,3,,13,100,216.47232,4751.83141,26399.06341,,,,
644-270411-001,"RLY,SPDT,10KV,5A, 26.5V, PCB",RLY,1,,13,50,428.16151,4699.33369,26107.40939,,,,
630-120971-001,"IC,SMD,2G BITS,128MX16,DDR2 SRAM,ROHS",IC,3,,21,2000,10.12428,4444.80761,24693.37561,,,,
668-313612-037,"CONN,DSUB,F-F,37PIN,30V,2A,HTM,DUAL PORT",K42X-C37S/S-A4N,CONN,N/A,,27,1008,12.92000,2858.78634,15882.14634,,,,
668-014495-044,"CONN,RCPT,HIGH DENSITY DSUB,44 ROHS",CONN,1,,27,1015,11.35000,2528.83537,14049.08537,,,,
648-224783-049,"CAP,SMD,0603,C0G,5%,25V,.01UF | CE!",CAP,1,,3,4000,2.63483,2313.50488,12852.80488,,,,
630-337691-001,"IC,SMD,256 MEGX16,SDRAM-DDR4,96 PIN,FBGA",IC,3,,LTB,1080,9.37508,2222.57876,12347.65976,,,,
618-B36776-151,"RES,THK FILM,150 OHM,5%,200W,SOT227",RES,N/A,,22,150,47.91000,1577.52439,8764.02439,,,,
630-072603-001,"IC,SMD,-V HOT SWAP CNTLR,ROHS",IC,3,,25,2500,2.84529,1561.44073,8674.67073,,,,
