COV,CO Number,Invoice Date,Invoice Number,MPN,Customer Item,Description,Qty,Actual Unit Cost,Total Line Cost,Unit Sell Price,Line Total,Buyer,Contract Base (Unit),Contract Base (Total),Effective Revenue,Buyer GP,Billing Variance,Type
COV0020327,LamStaleInv123125,46022,IN0000025880,15A24-N15-I10-1,660-B26903-001,"PS,HV,DC-DC CONV,15W,24V,0TO -15KVDC,I10",60,590,35400,0,0,Tracy Xie,773.62,46417.2,46417.2,11017.2,-46417.2,NRE
COV0020327,LamStaleInv123125,46022,IN0000025880,15A24-P15-I10-1,660-B26902-001,"PS,HV,DC-DC CONV,15W,24V,0TO +15KVDC,I10",60,590,35400,0,0,Tracy Xie,773.62,46417.2,46417.2,11017.2,-46417.2,NRE
COV0020327,LamStaleInv123125,46022,IN0000025880,SDD-H26H26-2-95-FN,668-082689-003,"CONN,HD DSUB,DP R/A,26P/26P,F/F,ROHS",2984,8.59677,25652.76168,0,0,Jake Harris,11.69,34882.96,34882.96,9230.19832,-34882.96,NRE
COV0020327,LamStaleInv123125,46022,IN0000025880,K42XHT-C37S/S-A4N,668-313612-037,"CONN,DSUB,F-F,37PIN,30V,2A,HTM,DUAL PORT",1005,18.69,18783.45,0,0,Stephanie Hill,18.69,18783.45,18783.45,0,-18783.45,NRE
COV0019122,StaleInvQ32025,45930,IN0000024711,XCZU3CG-1SFVC784E,630-337692-002,"Dual ARM® Cortex®-A53 MPCore™ with CoreSight™, Dual ARM®Cor",29,482.3,13986.7,0,0,Jake Harris,472.72437,13709.00673,13709.00673,-277.69327,-13709.00673,NRE
COV0019122,StaleInvQ32025,45930,IN0000024711,C0603H103J3GAC7867,648-224783-049,"10000 pF ±5% 25V Ceramic Capacitor C0G, NP0 0603 (1608 Metri",4000,2.60126,10405.04,0,0,Danyel Martinez,2.634825,10539.3,10539.3,134.26,-10539.3,NRE
COV0020327,LamStaleInv123125,46022,IN0000025880,MT40A256M16LY-062E AUT:F,630-337691-001,"IC,SMD,256 MEGX16,SDRAM-DDR4,96 PIN,FBGA",1950,4.67277,9111.9015,0,0,Jake Harris,9.375075,18281.39625,18281.39625,9169.49475,-18281.39625,NRE
COV0019122,StaleInvQ32025,45930,IN0000024711,MAX5901NNEUT+,630-072603-001,"IC,SMD,-V HOT SWAP CNTLR,ROHS",2480,2.75,6820,0,0,Stephanie Hill,2.845292,7056.32416,7056.32416,236.32416,-7056.32416,NRE
COV0019122,StaleInvQ32025,45930,IN0000024711,K86X-BD-44S-BR,668-014495-044,"CONN,RCPT,HIGH DENSITY DSUB,44 ROHS",712,6.61892,4712.67104,0,0,Jake Harris,11.35,8081.2,8081.2,3368.52896,-8081.2,NRE
COV0019122,StaleInvQ32025,45930,IN0000024711,BWR-15/330-D48A-C,660-B20622-001,"PS,DC/DC,24/15V,ROHS",60,74.275,4456.5,0,0,Danyel Martinez,74.2752,4456.512,4456.512,0.012,-4456.512,NRE
COV0019122,StaleInvQ32025,45930,IN0000024711,FT2232HL-REEL,630-121758-001,IC USB HS DUAL UART/FIFO 64-LQFP,1000,4.32,4320,0,0,Jake Harris,4.4375,4437.5,4437.5,117.5,-4437.5,NRE
COV0019122,StaleInvQ32025,45930,IN0000024711,TGHLV10R0JE,618-B36776-100,"RES,THK FILM,10 OHM,5%,200W,SOT227",150,26.3,3945,0,0,Jake Harris,29.1954,4379.31,4379.31,434.31,-4379.31,NRE
