COV,CO Number,MPN Ordered,Customer Part Code,Description,Qty,Contract Base Price,Contract Resale,Expected Unit Profit,Contract Total Base,Contract Total Resale,Expected Total Profit,Actual Unit Cost,Actual Total Cost,Sell Price,Line Total,GP Profit,Purchased By,Actual Purchase Price,Base Price Variance,Resale vs Actual Variance,Matched
COV0020327,LamStaleInv123125,"15A24-N15-I10-1",660-B26903-001,"PS,HV,DC-DC CONV,15W,24V,0TO -15KVDC,I10",60,773.62,943.439024390244,169.81902439024395,46417.2,56606.34146341464,10189.141463414637,590,35400,0,0,-35400,Tracy Xie,590,-183.62,21206.34146341464,true
COV0020327,LamStaleInv123125,"15A24-P15-I10-1",660-B26902-001,"PS,HV,DC-DC CONV,15W,24V,0TO +15KVDC,I10",60,773.62,943.439024390244,169.81902439024395,46417.2,56606.34146341464,10189.141463414637,590,35400,0,0,-35400,Tracy Xie,590,-183.62,21206.34146341464,true
COV0020327,LamStaleInv123125,"SDD-H26H26-2-95-FN",668-082689-003,"CONN,HD DSUB,DP R/A,26P/26P,F/F,ROHS",2984,11.69,14.25609756097561,2.56609756097561,34882.96,42540.19512195122,7657.23512195122,8.59677,25652.76168,0,0,-25652.76168,Jake Harris,6.58,-3.09323,16887.43344195122,true
COV0020327,LamStaleInv123125,"K42XHT-C37S/S-A4N",668-313612-037,"CONN,DSUB,F-F,37PIN,30V,2A,HTM,DUAL PORT",1005,18.69,22.792682926829272,4.102682926829271,18783.45,22906.64634146342,4123.196341463417,18.69,18783.45,0,0,-18783.45,Stephanie Hill,18.69,,4123.196341463419,true
COV0019122,StaleInvQ32025,"XCZU3CG-1SFVC784E",630-337692-002,"Dual ARM® Cortex®-A53 MPCore™ with CoreSight™, Dual ARM®Cor",29,472.72437,576.4931341463415,103.76876414634148,13709.006730000001,16718.300890243903,3009.294160243903,482.3,13986.7,0,0,-13986.7,Jake Harris,482.3,9.57562999999999,2731.6008902439025,true
COV0019122,StaleInvQ32025,"C0603H103J3GAC7867",648-224783-049,"10000 pF ±5% 25V Ceramic Capacitor C0G, NP0 0603 (1608 Metri",4000,2.634825,3.2132012195121957,0.5783762195121955,10539.300000000001,12852.804878048782,2313.5048780487823,2.60126,10405.04,0,0,-10405.04,Danyel Martinez,2.60126,-0.03356500000000029,2447.7648780487816,true
COV0020327,LamStaleInv123125,"MT40A256M16LY-062E AUT:F",630-337691-001,"IC,SMD,256 MEGX16,SDRAM-DDR4,96 PIN,FBGA",1950,9.375075,11.43301829268293,2.0579432926829284,18281.39625,22294.385670731714,4012.98942073171,4.67277,9111.9015,0,0,-9111.9015,Jake Harris,4.5,-4.702305000000001,13182.484170731714,true
COV0019122,StaleInvQ32025,"MAX5901NNEUT+",630-072603-001,"IC,SMD,-V HOT SWAP CNTLR,ROHS",2480,2.845292,3.469868292682927,0.624576292682927,7056.32416,8605.27336585366,1548.9492058536591,2.75,6820,0,0,-6820,Stephanie Hill,2.75,-0.09529200000000015,1785.27336585366,true
COV0019122,StaleInvQ32025,"K86X-BD-44S-BR",668-014495-044,"CONN,RCPT,HIGH DENSITY DSUB,44 ROHS",712,11.35,13.841463414634147,2.491463414634147,8081.2,9855.121951219513,1773.9219512195127,6.61892,4712.67104,0,0,-4712.67104,Jake Harris,6.71,-4.7310799999999995,5142.450911219513,true
COV0019122,StaleInvQ32025,"BWR-15/330-D48A-C",660-B20622-001,"PS,DC/DC,24/15V,ROHS",60,74.2752,90.57951219512195,16.304312195121952,4456.512,5434.770731707317,978.2587317073171,74.275,4456.5,0,0,-4456.5,Danyel Martinez,74.2752,-0.00019999999999242846,978.2707317073173,true
