COV0019122 NRE Credit Adjustment

Original NRE Charged,$551,259.06
Adjusted NRE Charged,$504,184.94
Credit Amount,$43,822.11
Reason,Customer manufacturer consuming parts directly
Date Applied,2026-03-09
Status,Waiting on customer consumption confirmation

Parts Applied to Credit:
MPN,Contract Base,Buyer
K86X-BD-44S-BR,10430.65,Jake Harris
ATQR15,4835.88,Jake Harris
LT8645SHV-2#PBF,4719.89,Tracy Xie
747847-4,4441.70,Jake Harris
TGHLV10R0JE,4379.31,Jake Harris
REF5025AIDR,3982.88,Jake Harris
DAT72415-HR,3832.14,Jake Harris
MS310-10.0M-0.1%,3730.00,Jake Harris
FDMS8460,3469.66,Jake Harris
TOTAL,43822.11,

Buyer GP Impact:
Buyer,Adjustment
Jake Harris,-39102.22
Tracy Xie,-4719.89
TOTAL,-43822.11
