Lam PN,MPN,Buyer,Qty,Unit Cost,LAM Resale,Contract Resale,LAM Total Price,Price Status
"630-337692-002","XCZU3CG-1SFVC784E","Jake Harris",21,482.3000,472.7244,576.4931,9927.21,18.0% diff
"630-A32936-001","LM25085QMYX/NOPB","Jake Harris",1000,0.8070,1.1593,1.4138,1159.32,18.0% diff
"630-032532-001","LM555CMX/NOPB","Jake Harris",2500,0.3430,0.4730,0.5769,1182.61,18.0% diff
"630-232888-001","LMP8640MKX-T/NOPB","Jake Harris",1000,0.7670,1.2378,1.5095,1237.75,18.0% diff
"630-B04992-001","SN74ACT14DR","Jake Harris",2500,0.1000,0.1532,0.1868,382.97,18.0% diff
"635-121978-001","MC-306 32.7680K-A0: ROHS","SZ",3000,0.1120,0.4394,0.5358,1318.05,18.0% diff
"630-A73909-001","CY8C5468AXI-LP106","Jake Harris",450,7.2112,9.3874,11.4481,4224.35,18.0% diff
"630-251316-001","MAX15062BATA+T","Jake Harris",2500,1.1500,1.5809,1.9279,3952.24,18.0% diff
"668-B14968-001","5227161-7","Jake Harris",70,2.0720,4.4324,5.4054,310.27,18.0% diff
"39-425128-00","DM53744-25","Jake Harris",200,4.8875,6.4160,7.8244,1283.20,18.0% diff
"639-A32938-001","SER2918H-153KL","Stephanie Hill",250,3.9800,4.8775,5.9482,1219.37,18.0% diff
"667-A20844-002","10139085-124402LF","Jake Harris",399,4.3109,5.5421,6.7586,2211.28,18.0% diff
"668-A26901-078","180-078-213R001","Jake Harris",250,8.2000,9.1913,11.2088,2297.81,18.0% diff
"668-299108-001","5747846-6","Jake Harris",260,2.7004,5.7104,6.9640,1484.72,18.0% diff
"668-068181-001","901-144","Jake Harris",180,7.1538,9.0340,11.0171,1626.12,18.0% diff
"648-138818-123","C1206C123K5RACTU","Jake Harris",4000,0.0100,0.0495,0.0604,198.04,18.0% diff
"648-325822-007","CC0805FRNPO9BN820","Jake Harris",4000,0.0190,0.2304,0.2810,921.58,18.0% diff
"630-A87681-001","DAC7718SRGZR","Stephanie Hill",250,9.7140,14.9143,18.1882,3728.58,18.0% diff
"644-041045-001","G5V-1-DC24","Jake Harris",500,0.6600,2.6103,3.1833,1305.16,18.0% diff
"34-148402-00","G6D-1A-ASI-DC24","Jake Harris",499,1.0800,5.0858,6.2022,2537.83,18.0% diff
"668-A20990-044","ICD44S13E4GX00LF","Jake Harris",200,0.7450,2.9044,3.5420,580.89,18.0% diff
"644-270411-001","K81C335","Jake Harris",47,276.7600,428.1615,522.1482,20123.59,18.0% diff
"39-149057-25","L717SDBH25POL2RM8C309","Jake Harris",30,1.8500,23.6521,28.8441,709.56,18.0% diff
"630-122314-001","LM94022BIMGX/NOPB","Stephanie Hill",3000,0.3190,0.7071,0.8623,2121.34,18.0% diff
"639-257579-001","M2022-ASL","Stephanie Hill",600,1.5100,2.0343,2.4809,1220.60,18.0% diff
"28-00078-00","MCRC1/4G472JT-RH","Jake Harris",998,0.2820,0.8375,1.0214,835.86,18.0% diff
"639-066560-224","MSS1278-224KLD","Stephanie Hill",500,0.9300,1.1704,1.4273,585.18,18.0% diff
"639-066560-393","MSS1278-393MLD","Stephanie Hill",500,0.9300,1.1625,1.4177,581.25,18.0% diff
"639-066560-473","MSS1278-473MLD","Stephanie Hill",2000,2.2900,2.9200,3.5610,5840.00,18.0% diff
