Chuboe_RFQ_ID[Value],Chuboe_Buyer_ID[Name],C_BPartner_ID[Value],Chuboe_User_ID[Name],Chuboe_MPN,Chuboe_MFR_Text,Qty,Cost,C_Currency_ID[ISO_Code],Chuboe_Date_Code,Chuboe_MOQ,Chuboe_SPQ,Chuboe_Packaging_ID[Name],Chuboe_Lead_Time,C_Country_ID[Name],Chuboe_RoHS[Name],Chuboe_Note_User,_LOG_
1131217,Jake Harris,1001051,,XCZU4CG-1SFVC784E,Amd,5,925.82,,,1,1,TRAY,stock,,,Supplier SKU: 000000007006157353,<Chuboe_VQ_Line>: Inserted X_Chuboe_VQ_Line[1993343] / <Chuboe_VQ_Line>: Inserted X_Chuboe_VQ_Line[1993343] / 
1131217,Jake Harris,1002331,,LTC2986CLX#PBF,Analog Devices Inc.,235,22.62044,GBP,,250,1,TRAY,stock,,,Supplier SKU: 505-LTC2986CLX#PBF-ND,<Chuboe_VQ_Line>: Inserted X_Chuboe_VQ_Line[1993344] / <Chuboe_VQ_Line>: Inserted X_Chuboe_VQ_Line[1993344] / 
1131217,Jake Harris,1002331,,LP-CC-30,Eaton - Bussmann Electrical Division,90,36.4938,GBP,,100,1,BULK,stock,,,Supplier SKU: 2041-1091-ND,<Chuboe_VQ_Line>: Inserted X_Chuboe_VQ_Line[1993345] / <Chuboe_VQ_Line>: Inserted X_Chuboe_VQ_Line[1993345] / 
1131217,Jake Harris,1002331,,K86X-CD-62S-BR,"Kycon, Inc.",470,4.51496,GBP,,504,1,TRAY,stock,,,Supplier SKU: 2092-K86X-CD-62S-BR-ND,<Chuboe_VQ_Line>: Inserted X_Chuboe_VQ_Line[1993346] / <Chuboe_VQ_Line>: Inserted X_Chuboe_VQ_Line[1993346] / 
1131217,Jake Harris,1002331,,2841/1 GR005,ALPHA WIRE,25,61.6384,GBP,,50,1,BULK,stock,,,Supplier SKU: 2841/1GR005-ND,<Chuboe_VQ_Line>: Inserted X_Chuboe_VQ_Line[1993347] / <Chuboe_VQ_Line>: Inserted X_Chuboe_VQ_Line[1993347] / 
1131217,Jake Harris,1002331,,N3433-6303RB,3M,630,3.33357,GBP,,1050,1,BULK,stock,,Yes,Supplier SKU: MHS50B-ND,<Chuboe_VQ_Line>: Inserted X_Chuboe_VQ_Line[1993348] / <Chuboe_VQ_Line>: Inserted X_Chuboe_VQ_Line[1993348] / 
1131217,Jake Harris,1002338,,LMZ14202HTZE/NOPB,Texas Instruments,255,7.96,GBP,,500,1,CUSTOM REEL,stock,,Yes,Supplier SKU: 926-LMZ14202HTZXNOPB,<Chuboe_VQ_Line>: Chuboe_Packaging_ID[Name] not resolved = (CUSTOM REEL) / <Chuboe_VQ_Line>: Chuboe_Packaging_ID[Name] not resolved = (CUSTOM REEL) / 
1131217,Jake Harris,1002331,,2043650006,MOLEX,310,7.3448,GBP,,504,1,TRAY,stock,,,Supplier SKU: WM26927-ND,<Chuboe_VQ_Line>: Inserted X_Chuboe_VQ_Line[1993349] / <Chuboe_VQ_Line>: Inserted X_Chuboe_VQ_Line[1993349] / 
1131217,Jake Harris,1002409,,LR1200480D25,Sensata / Crydom,50,44.42,,,60,1,EACH,stock,Mexico,Yes,Supplier SKU: LR1200480D25,<Chuboe_VQ_Line>: Chuboe_Packaging_ID[Name] not resolved = (EACH) / <Chuboe_VQ_Line>: Chuboe_Packaging_ID[Name] not resolved = (EACH) / 
1131217,Jake Harris,1002409,,LR1200480D40,Sensata / Crydom,50,48.47,,,60,1,EACH,stock,Mexico,Yes,Supplier SKU: LR1200480D40,<Chuboe_VQ_Line>: Chuboe_Packaging_ID[Name] not resolved = (EACH) / <Chuboe_VQ_Line>: Chuboe_Packaging_ID[Name] not resolved = (EACH) / 
1131217,Jake Harris,1002331,,LTC2312HTS8-14#TRMPBF,Analog Devices Inc.,160,12.8499,GBP,,500,500,T&R,stock,,,Supplier SKU: LTC2312HTS8-14#TRMPBFTR-ND,<Chuboe_VQ_Line>: Chuboe_Packaging_ID[Name] not resolved = (T&R) / <Chuboe_VQ_Line>: Chuboe_Packaging_ID[Name] not resolved = (T&R) / 
1131217,Jake Harris,1002331,,XC6SLX100-3FGG484C,Amd,10,197.51,GBP,,1,1,TRAY,stock,,,Supplier SKU: 122-1759-ND,<Chuboe_VQ_Line>: Inserted X_Chuboe_VQ_Line[1993350] / <Chuboe_VQ_Line>: Inserted X_Chuboe_VQ_Line[1993350] / 
1131217,Jake Harris,1002331,,6560N112J103P,Knowles Novacap,60,24.19706,GBP,,500,500,T&R,stock,,No,Supplier SKU: 1763-6560N112J103PTTR-ND,<Chuboe_VQ_Line>: Chuboe_Packaging_ID[Name] not resolved = (T&R) / <Chuboe_VQ_Line>: Chuboe_Packaging_ID[Name] not resolved = (T&R) / 
1131217,Jake Harris,1002390,,MAX14915AFM+,MAXIM,235,6.54,,,2500,2500,T&R,stock,Taiwan,Yes,Supplier SKU: 1762_17868760,<Chuboe_VQ_Line>: Chuboe_Packaging_ID[Name] not resolved = (T&R) / <Chuboe_VQ_Line>: Chuboe_Packaging_ID[Name] not resolved = (T&R) / 
1131217,Jake Harris,1002331,,MAX5903NNETT+T,Analog Devices Inc./Maxim Integrated,425,3.00816,GBP,,2500,2500,T&R,stock,,,Supplier SKU: MAX5903NNETT+TTR-ND,<Chuboe_VQ_Line>: Chuboe_Packaging_ID[Name] not resolved = (T&R) / <Chuboe_VQ_Line>: Chuboe_Packaging_ID[Name] not resolved = (T&R) / 
1131217,Jake Harris,1002338,,22.11,WIMA,360,0.868,GBP,,500,500,T&R,stock,,Yes,Supplier SKU: 505-PPS22.1/100/10,<Chuboe_VQ_Line>: Chuboe_Packaging_ID[Name] not resolved = (T&R) / <Chuboe_VQ_Line>: Chuboe_Packaging_ID[Name] not resolved = (T&R) / 
1131217,Jake Harris,1002331,,EPM1270T144C4N,ALTERA,20,60.1672,GBP,,25,1,TRAY,stock,,Yes,Supplier SKU: 544-1334-ND,<Chuboe_VQ_Line>: Inserted X_Chuboe_VQ_Line[1993351] / <Chuboe_VQ_Line>: Inserted X_Chuboe_VQ_Line[1993351] / 
1131217,Jake Harris,1002394,,IP5-04-01-L-S-RA1-L-TR,SAMTEC,100,11.05,,,500,1,CUT TAPE,stock,,,Supplier SKU: 95AM9466,<Chuboe_VQ_Line>: Inserted X_Chuboe_VQ_Line[1993352] / <Chuboe_VQ_Line>: Inserted X_Chuboe_VQ_Line[1993352] / 
1131217,Jake Harris,1002338,,254124-E,TE Connectivity / ERNI,120,8.41,GBP,,252,1,BULK,stock,,Yes,Supplier SKU: 305-254124,<Chuboe_VQ_Line>: Inserted X_Chuboe_VQ_Line[1993353] / <Chuboe_VQ_Line>: Inserted X_Chuboe_VQ_Line[1993353] / 
1131217,Jake Harris,1002331,,RP-2406S,Recom Power,100,9.94588,GBP,,250,1,TUBE,stock,,,Supplier SKU: 945-3115-5-ND,<Chuboe_VQ_Line>: Chuboe_Packaging_ID[Name] not resolved = (TUBE) / <Chuboe_VQ_Line>: Chuboe_Packaging_ID[Name] not resolved = (TUBE) / 
1131217,Jake Harris,1002390,,LT1499CS#PBF,ANALOG DEVICES,80,8.95,,,55,55,DRY PACK,stock,Malaysia,Yes,Supplier SKU: 1762_00081807,<Chuboe_VQ_Line>: Chuboe_Packaging_ID[Name] not resolved = (DRY PACK) / <Chuboe_VQ_Line>: Chuboe_Packaging_ID[Name] not resolved = (DRY PACK) / 
1131217,Jake Harris,1002339,,KLKR006.T,Littelfuse Fuses,40,14.69,,,50,10,,stock,,Yes,Supplier SKU: 000000000007212798,<Chuboe_VQ_Line>: Inserted X_Chuboe_VQ_Line[1993354] / <Chuboe_VQ_Line>: Inserted X_Chuboe_VQ_Line[1993354] / 
1131217,Jake Harris,1002390,,0826-1X2T-23-F,BEL Stewart Connector,80,7.25,,,1,1,BULK,stock,China,,Supplier SKU: 1762_11475923,<Chuboe_VQ_Line>: Inserted X_Chuboe_VQ_Line[1993355] / <Chuboe_VQ_Line>: Inserted X_Chuboe_VQ_Line[1993355] / 
1131217,Jake Harris,1002331,,MOLC-150-31-L-Q-LC,Samtec Inc.,20,30.5036,GBP,,25,1,TUBE,stock,,,Supplier SKU: MOLC-150-31-L-Q-LC-ND,<Chuboe_VQ_Line>: Chuboe_Packaging_ID[Name] not resolved = (TUBE) / <Chuboe_VQ_Line>: Chuboe_Packaging_ID[Name] not resolved = (TUBE) / 
1131217,Jake Harris,1002409,,R-7315P,RECOM,20,25.18,,,30,1,TUBE,stock,Taiwan,Yes,Supplier SKU: R-7315P,<Chuboe_VQ_Line>: Chuboe_Packaging_ID[Name] not resolved = (TUBE) / <Chuboe_VQ_Line>: Chuboe_Packaging_ID[Name] not resolved = (TUBE) / 
1131217,Jake Harris,1002331,,10139781-122402LF,Amphenol ICC (FCI),105,3.13314,GBP,,800,400,T&R,stock,,,Supplier SKU: 609-6623-2-ND,<Chuboe_VQ_Line>: Chuboe_Packaging_ID[Name] not resolved = (T&R) / <Chuboe_VQ_Line>: Chuboe_Packaging_ID[Name] not resolved = (T&R) / 
1131217,Jake Harris,1001051,,535032-4,TE Connectivity,90,3.13235,,,1000,1,BOX,stock,,,Supplier SKU: 000000000005077069,<Chuboe_VQ_Line>: Inserted X_Chuboe_VQ_Line[1993356] / <Chuboe_VQ_Line>: Inserted X_Chuboe_VQ_Line[1993356] / 
1131217,Jake Harris,1002331,,IP5-04-05.0-L-S-1-L-TR,Samtec Inc.,40,6.66991,GBP,,750,150,T&R,stock,,,Supplier SKU: 612-IP5-04-05.0-L-S-1-L-TR-ND,<Chuboe_VQ_Line>: Chuboe_Packaging_ID[Name] not resolved = (T&R) / <Chuboe_VQ_Line>: Chuboe_Packaging_ID[Name] not resolved = (T&R) / 
1131217,Jake Harris,1001051,,142-4701-501,bel,45,8.2715,,,500,1,BULK,stock,,,Supplier SKU: 000000000001349570,<Chuboe_VQ_Line>: Inserted X_Chuboe_VQ_Line[1993357] / <Chuboe_VQ_Line>: Inserted X_Chuboe_VQ_Line[1993357] / 
1131217,Jake Harris,1002331,,MTFC64GBCAQTC-WT,Micron Technology Inc.,30,43.43,GBP,,25,1,TRAY,stock,,,Supplier SKU: 557-MTFC64GBCAQTC-WT-ND,<Chuboe_VQ_Line>: Inserted X_Chuboe_VQ_Line[1993358] / <Chuboe_VQ_Line>: Inserted X_Chuboe_VQ_Line[1993358] / 
1131217,Jake Harris,1002331,,UMPS-04-03.5-G-V-S-W-TR,Samtec Inc.,155,1.66623,GBP,,1150,575,T&R,stock,,,Supplier SKU: 612-UMPS-04-03.5-G-V-S-W-FRTR-ND,<Chuboe_VQ_Line>: Chuboe_Packaging_ID[Name] not resolved = (T&R) / <Chuboe_VQ_Line>: Chuboe_Packaging_ID[Name] not resolved = (T&R) / 
1131217,Jake Harris,1002409,,SM204035003JE,Ohmite,150,3.592,,,300,1,BULK,stock,Mexico,Yes,Supplier SKU: SM204035003JE,<Chuboe_VQ_Line>: Inserted X_Chuboe_VQ_Line[1993359] / <Chuboe_VQ_Line>: Inserted X_Chuboe_VQ_Line[1993359] / 
1131217,Jake Harris,1002331,,0505012.MXP,Littelfuse Inc.,160,2.02492,GBP,,250,1,BULK,stock,,,Supplier SKU: F1628-ND,<Chuboe_VQ_Line>: Inserted X_Chuboe_VQ_Line[1993360] / <Chuboe_VQ_Line>: Inserted X_Chuboe_VQ_Line[1993360] / 
1131217,Jake Harris,1002331,,L-1300SA1750-0340XF,ORBEL CORPORATION,60,6.6284,GBP,,100,1,BULK,stock,,,Supplier SKU: 2347-L-1300SA1750-0340XF-ND,<Chuboe_VQ_Line>: Inserted X_Chuboe_VQ_Line[1993361] / <Chuboe_VQ_Line>: Inserted X_Chuboe_VQ_Line[1993361] / 
1131217,Jake Harris,1002310,,TQ2SS-24V,AXICOM - TE CONNECTIVITY,220,1.66,GBP,,1000,1,CUT TAPE,stock,PT,,Supplier SKU: 1326154,<Chuboe_VQ_Line>: C_Country_ID[Name] not resolved = (PT) / <Chuboe_VQ_Line>: C_Country_ID[Name] not resolved = (PT) / 
1131217,Jake Harris,1002331,,L-1300CC1750-0340XC,ORBEL CORPORATION,60,5.7876,GBP,,100,1,BULK,stock,,,Supplier SKU: 2347-L-1300CC1750-0340XC-ND,<Chuboe_VQ_Line>: Inserted X_Chuboe_VQ_Line[1993362] / <Chuboe_VQ_Line>: Inserted X_Chuboe_VQ_Line[1993362] / 
1131217,Jake Harris,1002330,,Y14870R01000B9W,Vishay Precision Group Foil Resistors,40,5.1,,,50,1,T&R,stock,,Yes,Supplier SKU: Y14870R01000B0R,<Chuboe_VQ_Line>: Chuboe_Packaging_ID[Name] not resolved = (T&R) / <Chuboe_VQ_Line>: Chuboe_Packaging_ID[Name] not resolved = (T&R) / 
1131217,Jake Harris,1002331,,B43601B5477M,EPCOS - TDK Electronics,40,7.9332,GBP,,50,1,BULK,stock,,,Supplier SKU: 495-B43601B5477M000-ND,<Chuboe_VQ_Line>: Inserted X_Chuboe_VQ_Line[1993363] / <Chuboe_VQ_Line>: Inserted X_Chuboe_VQ_Line[1993363] / 
1131217,Jake Harris,1002331,,LMZ13610TZ/NOPB,Texas Instruments,20,18.93125,GBP,,32,1,TUBE,stock,,,Supplier SKU: LMZ13610TZ/NOPB-ND,<Chuboe_VQ_Line>: Chuboe_Packaging_ID[Name] not resolved = (TUBE) / <Chuboe_VQ_Line>: Chuboe_Packaging_ID[Name] not resolved = (TUBE) / 
1131217,Jake Harris,1002331,,1779205311,Würth Elektronik,120,1.71009,GBP,,215,1,TUBE,stock,,,Supplier SKU: 732-1779205311-ND,<Chuboe_VQ_Line>: Chuboe_Packaging_ID[Name] not resolved = (TUBE) / <Chuboe_VQ_Line>: Chuboe_Packaging_ID[Name] not resolved = (TUBE) / 
1131217,Jake Harris,1002331,,EPM240T100C4N,ALTERA,20,15.7852,GBP,,25,1,TRAY,stock,,Yes,Supplier SKU: 544-1963-ND,<Chuboe_VQ_Line>: Inserted X_Chuboe_VQ_Line[1993364] / <Chuboe_VQ_Line>: Inserted X_Chuboe_VQ_Line[1993364] / 
1131217,Jake Harris,1002331,,1410-L110-L1F1-S01-3.15A,E-T-A,40,6.5454,GBP,,50,1,BULK,stock,,,Supplier SKU: 302-1412-ND,<Chuboe_VQ_Line>: Inserted X_Chuboe_VQ_Line[1993365] / <Chuboe_VQ_Line>: Inserted X_Chuboe_VQ_Line[1993365] / 
1131217,Jake Harris,1002390,,350712-4,TE Connectivity,80,2.267,,,1,1,,stock,China,Yes,Supplier SKU: 350712-4,<Chuboe_VQ_Line>: Inserted X_Chuboe_VQ_Line[1993366] / <Chuboe_VQ_Line>: Inserted X_Chuboe_VQ_Line[1993366] / 
1131217,Jake Harris,1002331,,K86X-AD-26P-BR,"Kycon, Inc.",85,3.07937,GBP,,126,1,TRAY,stock,,,Supplier SKU: 2092-K86X-AD-26P-BR-ND,<Chuboe_VQ_Line>: Inserted X_Chuboe_VQ_Line[1993367] / <Chuboe_VQ_Line>: Inserted X_Chuboe_VQ_Line[1993367] / 
1131217,Jake Harris,1002409,,350714-4,TE Connectivity / AMP Brand,40,7.16,,,50,1,CARTON,stock,China,Yes,Supplier SKU: 350714-4,<Chuboe_VQ_Line>: Chuboe_Packaging_ID[Name] not resolved = (CARTON) / <Chuboe_VQ_Line>: Chuboe_Packaging_ID[Name] not resolved = (CARTON) / 
1131217,Jake Harris,1004515,,5M1270ZT144C5N,ALTERA CORPORATION,10,9.15,EUR,,30,1,,stock,,Yes,Supplier SKU: 5M1270ZT144C5N,<Chuboe_VQ_Line>: Inserted X_Chuboe_VQ_Line[1993368] / <Chuboe_VQ_Line>: Inserted X_Chuboe_VQ_Line[1993368] / 
1131217,Jake Harris,1002331,,RNCF0603TKY20K0,Stackpole Electronics Inc,265,0.73123,GBP,,2000,1000,T&R,stock,,,Supplier SKU: RNCF0603TKY20K0TR-ND,<Chuboe_VQ_Line>: Chuboe_Packaging_ID[Name] not resolved = (T&R) / <Chuboe_VQ_Line>: Chuboe_Packaging_ID[Name] not resolved = (T&R) / 
1131217,Jake Harris,1002331,,2086593240,MOLEX,120,1.97178,GBP,,135,1,TRAY,stock,,,Supplier SKU: 900-2086593240-ND,<Chuboe_VQ_Line>: Inserted X_Chuboe_VQ_Line[1993369] / <Chuboe_VQ_Line>: Inserted X_Chuboe_VQ_Line[1993369] / 
1131217,Jake Harris,1002331,,REG102UA-3.3,Texas Instruments,100,0.99958,GBP,,5000,2500,T&R,stock,,,Supplier SKU: REG102UA-3.3/2K5-ND,<Chuboe_VQ_Line>: Chuboe_Packaging_ID[Name] not resolved = (T&R) / <Chuboe_VQ_Line>: Chuboe_Packaging_ID[Name] not resolved = (T&R) / 
1131217,Jake Harris,1002331,,CSEG1010-150M,CODACA,50,3.37812,GBP,,600,300,T&R,stock,,,Supplier SKU: 4044-CSEG1010-150MTR-ND,<Chuboe_VQ_Line>: Chuboe_Packaging_ID[Name] not resolved = (T&R) / <Chuboe_VQ_Line>: Chuboe_Packaging_ID[Name] not resolved = (T&R) / 
1131217,Jake Harris,1002390,,1720420802,MOLEX,60,3.934,,,10,1,,stock,Mexico,Yes,Supplier SKU: 1720420802,<Chuboe_VQ_Line>: Inserted X_Chuboe_VQ_Line[1993370] / <Chuboe_VQ_Line>: Inserted X_Chuboe_VQ_Line[1993370] / 
1131217,Jake Harris,1002331,,ADA4891-2ARZ,Analog Devices Inc.,120,0.96658,GBP,,5000,2500,T&R,stock,,,Supplier SKU: ADA4891-2ARZ-RLTR-ND,<Chuboe_VQ_Line>: Chuboe_Packaging_ID[Name] not resolved = (T&R) / <Chuboe_VQ_Line>: Chuboe_Packaging_ID[Name] not resolved = (T&R) / 
1131217,Jake Harris,1002394,,MP9100-5.00-1%,CADDOCK,20,9.73,,,25,1,EACH,stock,,,Supplier SKU: 73K1970,<Chuboe_VQ_Line>: Chuboe_Packaging_ID[Name] not resolved = (EACH) / <Chuboe_VQ_Line>: Chuboe_Packaging_ID[Name] not resolved = (EACH) / 
