CPC,Awarded_MPN,BPA_MPN,Supplier,Qty,SIPOC_Price,BPA_Price,Savings_Pct,Total_Savings,SIPOC_LT,BPA_LT
"668-133934-120","FOLC-130-L4-L-Q-LC","FOLC-130-L4-L-Q-LC","Samtec",500,21.6975,10.3660,52.2%,5665.75,9w,2w
"630-337692-003","XCZU4CG-1SFVC784E","XCZU4CG-1SFVC784E","Avnet",5,1354.0000,925.8194,31.6%,2140.90,26w,22w
"670-346211-025","LP-CC-30","LP-CC-30","Avnet",50,60.6146,26.0381,57.0%,1728.82,31w,0w
"644-B50792-024","SHV24-1A85-78D3K","SHV24-1A85-78D3K","Arrow Americas",1000,9.6300,8.1910,14.9%,1439.01,21w,0w
"670-332664-018","KLKR007.T","KLKR007.T","Arrow Americas",80,25.7150,12.6430,50.8%,1045.76,13w,10w
"630-337692-004","XCZU5CG-1SFVC784E","XCZU5CG-1SFVC784E","Avnet",15,1532.5950,1464.8891,4.4%,1015.59,26w,22w
"668-092915-050","N3433-6303RB","N3433-6303RB","Arrow Americas",500,6.1730,4.2530,31.1%,960.00,19w,9w
"630-262333-001","LTC2986CLX#PBF","LTC2986CLX#PBF","MyArrow",200,29.6962,25.0300,15.7%,933.24,20w,10w
"668-014495-062","K86X-CD-62S-BR","K86X-CD-62S-BR","DigiKey",250,9.5900,6.3492,33.8%,810.19,25w,0w
"644-B57073-024","5503-24-1","5503-24-1","DigiKey",800,45.1560,44.1940,2.1%,769.61,36w,0w
"628-265744-001","SCT3022ALGC11","SCT3022ALGC11","DigiKey",50,49.8757,34.7138,30.4%,758.09,42w,27w
"670-332664-017","KLKR006.T","KLKR006.T","Arrow Americas",40,25.6600,10.9740,57.2%,587.44,18w,7w
"644-311222-001","LR1200480D40","LR1200480D40","Master Electronics",50,59.5342,48.9500,17.8%,529.21,14w,0w
"668-191568-160","254124-E","254124-E","MyArrow",120,12.4300,8.2102,33.9%,506.37,47w,3w
"644-311222-004","LR1200480D25","LR1200480D25","TTI",25,63.3000,44.6500,29.5%,466.25,17w,0w
"662-901562-001","550-1304F","550-1304F","Mouser",1000,1.0392,0.6067,41.6%,432.54,17w,12w
"669-801523-002","22.1100","22.1100","Newark",150,4.9476,2.0800,58.0%,430.14,20w,0w
"668-A06169-001","0826-1X2T-23-F","0826-1X2T-23-F","MyArrow",80,12.5652,7.2500,42.3%,425.22,27w,0w
"660-082847-015","R-7315P","R-7315P","Arrow Americas",20,43.3300,24.5800,43.3%,375.00,24w,17w
"668-242448-001","142-4701-501","142-4701-501","Avnet",45,17.0250,8.8125,48.2%,369.56,18w,0w
"668-091568-096","535032-4","535032-4","Master Electronics",90,9.0680,5.0200,44.6%,364.32,14w,0w
"668-B70303-004","IP5-04-05.0-L-S-1-L-TR","IP5-04-05.0-L-S-1-L-TR","Samtec",40,19.2065,10.3500,46.1%,354.26,13w,1w
"630-052043-001","LT1499CS#PBF","LT1499CS#PBF","Newark",50,15.5766,9.3000,40.3%,313.83,25w,0w
"667-A20843-002","10139781-122402LF","10139781-122402LF","DigiKey",105,7.8358,4.8586,38.0%,312.60,16w,0w
"668-007087-009","350712-4","350712-4","Newark",80,4.8138,1.1800,75.5%,290.70,22w,0w
"630-B51696-001","LMZ14202HTZE/NOPB","LMZ14202HTZE/NOPB","Arrow Americas",200,13.5669,12.2400,9.8%,265.38,10w,6w
"621-266358-001","3299Z-1-202LF","3299Z-1-202LF","Arrow Americas",175,1.6599,0.2490,85.0%,246.91,14w,0w
"668-B67633-004","IP5-04-01-L-S-RA1-L-TR","IP5-04-01-L-S-RA1-L-TR","Newark",50,16.4438,11.6100,29.4%,241.69,8w,0w
"615-217661-006","Y14870R01000B9W","Y14870R01000B9W","DigiKey",40,13.2230,7.7015,41.8%,220.86,29w,0w
"667-311329-002","UMPS-04-03.5-G-V-S-W-TR","UMPS-04-03.5-G-V-S-W-TR","Master Electronics",155,4.4624,3.0400,31.9%,220.47,13w,0w
"630-A92150-002","MTFC64GBCAQTC-WT","MTFC64GBCAQTC-WT","DigiKey",30,65.3800,58.1615,11.0%,216.56,33w,0w
"630-A59915-001","MAX14915AFM+","MAX14915AFM+","Newark",250,8.8840,8.0300,9.6%,213.50,20w,0w
"630-337161-001","5M1270ZT144C5N","5M1270ZT144C5N","Schukat",10,33.3372,12.1994,63.4%,211.38,22w,0w
"615-080142-198","TNPW1206198RBEEA","TNPW1206198RBEEA","Avnet",275,0.9300,0.1658,82.2%,210.15,14w,8w
"630-026177-001","MAX5917AESE+","MAX5917AESE+","Newark",40,6.8188,1.6900,75.2%,205.15,24w,0w
"648-243376-039","C0805C102JBRACTU","C0805C102JBRACTU","Arrow Americas",1000,0.2660,0.0627,76.4%,203.30,20w,0w
"615-041833-203","ERJ-12SF2002U","ERJ-12SF2002U","DigiKey",800,0.3286,0.0786,76.1%,200.01,26w,12w
"670-335085-004","0505012.MXP","0505012.MXP","DigiKey",160,4.1962,3.0196,28.0%,188.25,20w,0w
"668-230911-009","TSW-108-17-G-S","TSW-108-17-G-S","Newark",80,3.1345,0.8440,73.1%,183.24,7w,0w
"668-134411-200","MOLC-150-31-L-Q-LC","MOLC-150-31-L-Q-LC","Newark",20,49.7080,40.8100,17.9%,177.96,4w,4w
"615-B72620-005","FC4L90R005FER","FC4L90R005FER","Newark",160,1.6420,0.5840,64.4%,169.28,26w,0w
"630-204173-001","524MILF","524MILF","DigiKey",80,3.3100,1.1972,63.8%,169.02,16w,12w
"615-049171-274","RG2012P-2742-B-T5","RG2012P-2742-B-T5","Mouser",1250,0.2230,0.0884,60.4%,168.27,23w,0w
"618-B48352-503","SM204035003JE","SM204035003JE","Arrow Americas",150,4.5618,3.4410,24.6%,168.12,19w,10w
"660-B70650-004","RP-2406S","RP-2406S","Arrow Americas",100,13.9082,12.2570,11.9%,165.12,21w,16w
"670-A40551-025","0ADEC9250-BE","0ADEC9250-BE","MyArrow",70,3.6800,1.4200,61.4%,158.20,10w,10w
"615-A31517-001","PCAN0805E49R9BST5","PCAN0805E49R9BST5","DigiKey",160,1.5256,0.6230,59.2%,144.42,27w,13w
"660-B59124-003","1779205311","1779205311","DigiKey",120,3.7600,2.5719,31.6%,142.57,24w,0w
"631-123367-001","XC6SLX100-3FGG484C","XC6SLX100-3FGG484C","Avnet",10,256.0950,241.9199,5.5%,141.75,20w,16w
"644-A42857-480","CXE480D5","CXE480D5","Sager",150,25.2901,24.3800,3.6%,136.52,16w,16w
"648-082038-390","251R15S390JV4E","251R15S390JV4E","Arrow Americas",600,0.4220,0.2119,49.8%,126.06,14w,0w
"630-068465-004","REF5040AID","REF5040AID","DigiKey",50,5.5900,3.0842,44.8%,125.29,6w,0w
"615-122309-200","RNCF0805TTT20K0","RNCF0805TTT20K0","DigiKey",530,0.8140,0.5849,28.1%,121.42,17w,14w
"668-269583-002","09271326903","09271326903","MyArrow",40,6.6700,3.6413,45.4%,121.15,15w,1w
"668-035473-020","BBS-120-G-A","BBS-120-G-A","Newark",20,12.7820,6.7800,47.0%,120.04,7w,4w
"630-B70151-001","ADA4891-2ARZ","ADA4891-2ARZ","DigiKey",120,2.4972,1.5457,38.1%,114.18,19w,0w
"639-B45787-001","7443551280","7443551280","Newark",80,3.1850,1.7800,44.1%,112.40,28w,0w
"615-267477-001","CRCW2512160KJNEG","CRCW2512160KJNEG","DigiKey",2000,0.1472,0.0916,37.8%,111.20,17w,0w
"630-248896-001","IS25LP128-JBLE","IS25LP128-JBLE","MyArrow",130,2.1596,1.3300,38.4%,107.85,22w,12w
"626-A21861-001","IXFY26N30X3","IXFY26N30X3","Mouser",70,3.9668,2.5445,35.9%,99.56,49w,0w
"630-260287-001","LTC2313CTS8-12#TRMPBF","LTC2313CTS8-12#TRMPBF","DigiKey",30,10.6700,7.3865,30.8%,98.51,22w,0w
"630-039459-004","TPS3837K33DBVT","TPS3837K33DBVT","DigiKey",55,4.5765,2.7909,39.0%,98.21,17w,0w
"630-232484-001","LM5069MM-2/NOPB","LM5069MM-2/NOPB","DigiKey",155,3.0150,2.3862,20.9%,97.47,17w,12w
"630-339886-001","LMZM23600SILT","LMZM23600SILT","DigiKey",40,7.0800,4.6912,33.7%,95.55,6w,6w
"630-343681-001","AD5292BRUZ-20","AD5292BRUZ-20","MyArrow",40,6.3993,4.0800,36.2%,92.77,31w,0w
"608-096583-504","TS63Y504KR10","TS63Y504KR10","MyArrow",105,2.3850,1.5075,36.8%,92.13,25w,20w
"630-257348-001","LTC2312HTS8-14#TRMPBF","LTC2312HTS8-14#TRMPBF","Farnell",100,18.4892,17.5703,5.0%,91.89,18w,0w
"668-267052-004","428195223","428195223","AvnetAbacus",25,10.7365,7.2013,32.9%,88.38,26w,18w
"648-051878-224","NMC0603X7R224K50TRPF","NMC0603X7R224K50TRPF","Arrow Americas",13000,0.0199,0.0133,33.2%,85.80,21w,0w
"668-007087-012","350713-4","350713-4","Farnell",50,5.9990,4.2854,28.6%,85.68,25w,0w
"630-B06281-001","74HCT7541PW118","74HCT7541PW118","Mouser",400,0.6430,0.4299,33.1%,85.25,58w,0w
"630-121394-001","TLK110PTR","TLK110PTR","Arrow Americas",35,7.1955,4.7960,33.3%,83.98,6w,0w
"648-004248-471","100E471GW2500X","100E471GW2500X","Arrow Americas",10,47.5100,39.1700,17.6%,83.40,28w,16w
"667-281523-008","IPL1-112-02-L-D-K","IPL1-112-02-L-D-K","AvnetAbacus",55,4.8367,3.3629,30.5%,81.06,11w,4w
"668-B94693-003","172043-0302","172043-0302","Mouser",55,4.8060,3.3346,30.6%,80.93,21w,13w
"615-122309-612","RNCF0805TTT61K2","RNCF0805TTT61K2","DigiKey",350,0.8140,0.5849,28.1%,80.18,17w,14w
"668-089643-020","SL-120-G-10","SL-120-G-10","Farnell",35,7.5870,5.3300,29.7%,78.99,6w,0w
"630-323468-001","MAX5903NNETT+T","MAX5903NNETT+T","DigiKey",200,4.7610,4.3699,8.2%,78.22,14w,0w
"630-900073-001","AD586KRZ","AD586KRZ","MyArrow",25,11.2578,8.1300,27.8%,78.20,20w,10w
"645-313806-001","DRR7016C","DRR7016C","DigiKey",85,3.3820,2.5030,26.0%,74.72,15w,0w
"615-122309-100","RNCF0805TTT10K0","RNCF0805TTT10K0","DigiKey",310,0.8230,0.5849,28.9%,73.81,17w,14w
"668-311384-004","1720420802","1720420802","Arrow Americas",60,5.1532,3.9340,23.7%,73.15,22w,0w
"660-B00899-001","L-1300SA1750-0340XF","L-1300SA1750-0340XF","DigiKey",60,10.8491,9.6412,11.1%,72.48,5w,0w
"630-017595-001","REG102UA-3.3","REG102UA-3.3","Mouser",100,3.1385,2.4373,22.3%,70.12,6w,6w
"618-279508-001","MOX91022505FTE","MOX91022505FTE","DigiKey",40,21.1782,19.4438,8.2%,69.37,35w,32w
"648-C06198-303","C2220C303KHRLCAUTO","C2220C303KHRLCAUTO","DigiKey",80,3.2855,2.4569,25.2%,66.29,26w,0w
"632-275101-001","TQ2SS-24V","TQ2SS-24V","DigiKey",220,2.8150,2.5141,10.7%,66.20,25w,0w
"615-B53766-002","RA73F1J200RBTDF","RA73F1J200RBTDF","Farnell",165,1.5205,1.1222,26.2%,65.71,28w,0w
"660-B00902-001","L-1300CC1750-0340XC","L-1300CC1750-0340XC","DigiKey",60,9.5105,8.4343,11.3%,64.57,5w,0w
"615-099609-806","RK73H2HTTE80R6F","RK73H2HTTE80R6F","DigiKey",1500,0.1742,0.1312,24.7%,64.44,10w,0w
"616-052546-003","MP9100-20.0-1%","MP9100-20.0-1%","DigiKey",20,13.8520,10.6319,23.2%,64.40,17w,0w
"639-121560-001","SRU2013-2R2Y","SRU2013-2R2Y","DigiKey",350,0.7900,0.6160,22.0%,60.89,15w,0w
"616-052546-005","MP9100-5.00-1%","MP9100-5.00-1%","DigiKey",20,14.6318,11.6001,20.7%,60.63,20w,0w
"648-326249-001","EEEFK1V222SM","EEEFK1V222SM","Farnell",115,2.2300,1.7142,23.1%,59.32,31w,27w
"648-A42164-224","C1812C224J1RACTU","C1812C224J1RACTU","Mouser",300,0.8445,0.6522,22.8%,57.69,18w,0w
"667-281523-006","IPL1-108-02-L-D-K","IPL1-108-02-L-D-K","Master Electronics",100,2.8998,2.3300,19.6%,56.98,10w,0w
"630-017794-002","LT1376HVIS#PBF","LT1376HVIS#PBF","DigiKey",20,14.1100,11.2613,20.2%,56.97,20w,0w
"630-221563-003","TC74A2-3.3VAT","TC74A2-3.3VAT","MyArrow",150,1.6906,1.3200,21.9%,55.59,13w,7w
