CPC,Awarded_MPN,BPA_MPN,Supplier,Qty,SIPOC_Price,BPA_Price,Savings_Pct,Total_Savings,SIPOC_LT,BPA_LT
"681-198782-004","2841/1 GR005","2841/1 GR005","Farnell",25,162.9100,3.4297,97.9%,3987.01,21w,25w
"779-002694-001","QII-0.006-00-61","QII-0.006-00-61","Mouser",500,0.5500,0.0830,84.9%,233.49,3w,31w
"668-A21735-001","MTSW-104-23-G-S-255","MTSW-104-23-G-S-255","Avnet",150,1.9616,0.4155,78.8%,231.91,8w,N/A
"630-114967-001","LCMXO2280C-3FTN256C","LCMXO2280C-3FTN256C","DigiKey",40,37.9200,32.2967,14.8%,224.93,16w,40w
"668-A12469-004","SSW-104-06-G-S","SSW-104-06-G-S","Avnet",75,3.9311,1.2642,67.8%,200.02,7w,N/A
"668-096776-025","DLS3XS4AA35X","DLS3XS4AA35X","Arrow Americas",750,1.7897,1.5250,14.8%,198.53,16w,26w
"615-B36708-002","ERA2ARB2431X","ERA2ARB2431X","MyArrow",800,0.3310,0.1647,50.3%,133.07,12w,20w
"630-311294-001","LT8645SEV#PBF","LT8645SEV#PBF","MyArrow",25,11.7980,7.4800,36.6%,107.95,24w,26w
"669-C00309-007","203263-0066","203263-0066","Mouser",75,3.8000,3.0936,18.6%,52.98,5w,10w
"668-096776-037","DLS4XS4AA35X","DLS4XS4AA35X","Arrow Americas",355,2.1000,2.0710,1.4%,10.30,16w,26w
"648-051878-333","C0603T333K5RACTU","C0603T333K5RACTU","Mouser",550,0.4942,0.4942,0.0%,0.02,25w,52w
