RFQ Search Key,Buyer,Business Partner Search Key,Contact,MPN,MFR Text,Quoted Quantity,Cost,Currency,Date Code,MOQ,SPQ,Packaging,Lead Time,COO,RoHS,Vendor Notes
1131217,Jake Harris,1002331,,5503-24-1,COTO TECHNOLOGY,1775,33.00029,GBP,,105,1,TRAY,stock,,,Supplier SKU: 306-1442-ND
1131217,Jake Harris,1001051,,XCZU5CG-1SFVC784E,Amd,25,1464.89,,,1,1,TRAY,154,,,Supplier SKU: 000000007006157361
1131217,Jake Harris,1002689,,FOLC-130-L4-L-Q-LC,SAMTEC,850,10.366,,,1000,1,F-TUBE,11,,,Supplier SKU: FOLC-130-L4-L-Q-LC
1131217,Jake Harris,1002390,,SHV24-1A85-78D3K,StandexMeder Electronics,2190,8.191,,,1008,1,,stock,China,Yes,Supplier SKU: SHV24-1A85-78D3K
1131217,Jake Harris,1001051,,XCZU4CG-1SFVC784E,Amd,5,925.82,,,1,1,TRAY,154,,,Supplier SKU: 000000007000174317
1131217,Jake Harris,1002339,,CXE480D5,CRYDOM,310,24.38,,,277,1,,112,,Yes,Supplier SKU: 000000000000275530
1131217,Jake Harris,1002390,,LTC2986CLX#PBF,ANALOG DEVICES,235,25.03,,,250,250,TRAY,70,,Yes,Supplier SKU: 1762_10345957
1131217,Jake Harris,1001051,,LP-CC-30,EATON,90,26.03812,,,1,1,BULK,stock,,,Supplier SKU: 000000000102591520
1131217,Jake Harris,1002331,,SCT3022ALGC11,ROHM SEMICONDUCTOR,100,25.92133,GBP,,30,1,F-TUBE,189,,,Supplier SKU: SCT3022ALGC11-ND
1131217,Jake Harris,1002331,,K86X-CD-62S-BR,"Kycon, Inc.",470,4.74107,GBP,,252,1,TRAY,stock,,,Supplier SKU: 2092-K86X-CD-62S-BR-ND
1131217,Jake Harris,1002310,,2841/1 GR005,ALPHA WIRE,25,2.560984,GBP,,30.5,30.5,REEL,175,Mexico,,Supplier SKU: 2290998
1131217,Jake Harris,1002390,,N3433-6303RB,3M,630,4.253,,,600,1,,63,,Yes,Supplier SKU: N3433-6303RB
1131217,Jake Harris,1002390,,LMZ14202HTZE/NOPB,Texas Instruments,255,12.24,,,250,1,,42,,Yes,Supplier SKU: LMZ14202HTZE/NOPB
1131217,Jake Harris,1002331,,2043650006,MOLEX,310,8.06274,GBP,,252,1,TRAY,stock,,,Supplier SKU: WM26927-ND
1131217,Jake Harris,1002330,,LR1200480D25,CRYDOM,50,44.65,,,50,1,BULK,stock,,No,Supplier SKU: LR1200480D25
1131217,Jake Harris,1002409,,LR1200480D40,Sensata / Crydom,50,48.95,,,40,1,BULK,stock,Mexico,Yes,Supplier SKU: LR1200480D40
1131217,Jake Harris,1002310,,LTC2312HTS8-14#TRMPBF,ANALOG DEVICES,160,13.12,GBP,,100,1,,stock,Philippines,,Supplier SKU: 4387871RL
1131217,Jake Harris,1002331,,8L02-05-11,COTO TECHNOLOGY,585,3.61036,GBP,,500,1,F-TUBE,stock,,,Supplier SKU: 306-1034-ND
1131217,Jake Harris,1001051,,XC6SLX100-3FGG484C,Amd,10,241.92,,,1,1,TRAY,112,,,Supplier SKU: 000000000006440011
1131217,Jake Harris,1002331,,6560N112J103P,Knowles Novacap,60,28.43,GBP,,10,1,REEL,stock,,No,Supplier SKU: 1763-6560N112J103PTDKR-ND
1131217,Jake Harris,1002394,,MAX14915AFM+,ANALOG DEVICES,235,8.03,,,100,1,BULK,stock,,,Supplier SKU: 84AC1897
1131217,Jake Harris,1002390,,KLKR007.T,Littelfuse,80,12.643,,,50,1,,70,,,Supplier SKU: KLKR007.T
1131217,Jake Harris,1002331,,MAX5903NNETT+T,Analog Devices Inc./Maxim Integrated,425,3.26308,GBP,,250,1,CUT TAPE,stock,,,Supplier SKU: MAX5903NNETT+TCT-ND
