RFQ Search Key,Buyer,Business Partner Search Key,Contact,MPN,MFR Text,Quoted Quantity,Cost,Currency,Date Code,MOQ,SPQ,Packaging,Lead Time,COO,RoHS,Vendor Notes
1131217,Jake Harris,1002331,,5503-24-1,COTO TECHNOLOGY,DigiKey,44.193988,,,105,1,TRAY,stock,EAR99,,Supplier SKU: 306-1442-ND
1131217,Jake Harris,1001051,,XCZU5CG-1SFVC784E,Amd,AvnetAPI,1464.889104,,,1,1,TRAY,154,5A992.C,,Supplier SKU: 000000007006157361
1131217,Jake Harris,1002689,,FOLC-130-L4-L-Q-LC,SAMTEC,SamtecAPI,10.365993,,,1000,1,TUBE,11,EAR99,,Supplier SKU: FOLC-130-L4-L-Q-LC
1131217,Jake Harris,1002390,,SHV24-1A85-78D3K,StandexMeder Electronics,Arrow,8.190994,,,1008,1,,stock,EAR99,Yes,Supplier SKU: SHV24-1A85-78D3K
1131217,Jake Harris,1001051,,XCZU4CG-1SFVC784E,Amd,AvnetAPI,925.819433,,,1,1,TRAY,154,5A002.A.4,,Supplier SKU: 000000007000174317
1131217,Jake Harris,1002339,,CXE480D5,CRYDOM,Sager,24.379985,,,277,1,,112,,Yes,Supplier SKU: 000000000000275530
1131217,Jake Harris,1002390,,LTC2986CLX#PBF,ANALOG DEVICES,MyArrow EUR,25.029984,,,250,250,TRAY,70,EAR99,Yes,Supplier SKU: 1762_10345957
1131217,Jake Harris,1001051,,LP-CC-30,EATON,AvnetAPI,26.038104,,,1,1,BULK,stock,EAR99,,Supplier SKU: 000000000102591520
1131217,Jake Harris,1002331,,SCT3022ALGC11,ROHM SEMICONDUCTOR,DigiKey,34.713845,,,30,1,TUBE,189,EAR99,,Supplier SKU: SCT3022ALGC11-ND
1131217,Jake Harris,1002331,,K86X-CD-62S-BR,"Kycon, Inc.",DigiKey,6.349241,,,252,1,TRAY,stock,EAR99,,Supplier SKU: 2092-K86X-CD-62S-BR-ND
1131217,Jake Harris,1002310,,2841/1 GR005,ALPHA WIRE,Farnell,3.42967,,,30.5,30.5,T&R,175,,,Supplier SKU: 2290998
1131217,Jake Harris,1002390,,N3433-6303RB,3M,Arrow,4.252998,,,600,1,,63,EAR99,Yes,Supplier SKU: N3433-6303RB
1131217,Jake Harris,1002390,,LMZ14202HTZE/NOPB,Texas Instruments,Arrow,12.239992,,,250,1,,42,EAR99,Yes,Supplier SKU: LMZ14202HTZE/NOPB
1131217,Jake Harris,1002331,,2043650006,MOLEX,DigiKey,10.797621,,,252,1,TRAY,stock,EAR99,,Supplier SKU: WM26927-ND
1131217,Jake Harris,1002330,,LR1200480D25,CRYDOM,TTI,44.649973,,,50,1,EACH,stock,,No,Supplier SKU: LR1200480D25
1131217,Jake Harris,1002409,,LR1200480D40,Sensata / Crydom,Master Electronics,48.94997,,,40,1,EACH,stock,EAR99,Yes,Supplier SKU: LR1200480D40
1131217,Jake Harris,1002310,,LTC2312HTS8-14#TRMPBF,ANALOG DEVICES,Farnell,17.570304,,,100,1,Re-reel,stock,,,Supplier SKU: 4387871RL
1131217,Jake Harris,1002331,,8L02-05-11,COTO TECHNOLOGY,DigiKey,4.834994,,,500,1,TUBE,stock,EAR99,,Supplier SKU: 306-1034-ND
1131217,Jake Harris,1001051,,XC6SLX100-3FGG484C,Amd,AvnetAPI,241.919852,,,1,1,TRAY,112,3A991.D,,Supplier SKU: 000000000006440011
