RFQ Search Key,Buyer,Business Partner Search Key,Contact,MPN,MFR Text,Quoted Quantity,Cost,Currency,Date Code,MOQ,SPQ,Packaging,Lead Time,COO,RoHS,Vendor Notes
1131217,Jake Harris,1002338,,LMZ14202HTZE/NOPB,Texas Instruments,255,7.96,GBP,,500,1,REEL,stock,,Yes,Supplier SKU: 926-LMZ14202HTZXNOPB
1131217,Jake Harris,1002409,,LR1200480D25,Sensata / Crydom,50,44.42,,,60,1,BULK,stock,Mexico,Yes,Supplier SKU: LR1200480D25
1131217,Jake Harris,1002409,,LR1200480D40,Sensata / Crydom,50,48.47,,,60,1,BULK,stock,Mexico,Yes,Supplier SKU: LR1200480D40
1131217,Jake Harris,1002331,,LTC2312HTS8-14#TRMPBF,Analog Devices Inc.,160,12.8499,GBP,,500,500,REEL,stock,,,Supplier SKU: LTC2312HTS8-14#TRMPBFTR-ND
1131217,Jake Harris,1002331,,6560N112J103P,Knowles Novacap,60,24.19706,GBP,,500,500,REEL,stock,,No,Supplier SKU: 1763-6560N112J103PTTR-ND
1131217,Jake Harris,1002390,,MAX14915AFM+,MAXIM,235,6.54,,,2500,2500,REEL,stock,Taiwan,Yes,Supplier SKU: 1762_17868760
1131217,Jake Harris,1002331,,MAX5903NNETT+T,Analog Devices Inc./Maxim Integrated,425,3.00816,GBP,,2500,2500,REEL,stock,,,Supplier SKU: MAX5903NNETT+TTR-ND
1131217,Jake Harris,1002331,,RP-2406S,Recom Power,100,9.94588,GBP,,250,1,F-TUBE,stock,,,Supplier SKU: 945-3115-5-ND
1131217,Jake Harris,1002390,,LT1499CS#PBF,ANALOG DEVICES,80,8.95,,,55,55,BULK,stock,Malaysia,Yes,Supplier SKU: 1762_00081807
1131217,Jake Harris,1002331,,MOLC-150-31-L-Q-LC,Samtec Inc.,20,30.5036,GBP,,25,1,F-TUBE,stock,,,Supplier SKU: MOLC-150-31-L-Q-LC-ND
1131217,Jake Harris,1002409,,R-7315P,RECOM,20,25.18,,,30,1,F-TUBE,stock,Taiwan,Yes,Supplier SKU: R-7315P
1131217,Jake Harris,1002331,,10139781-122402LF,Amphenol ICC (FCI),105,3.13314,GBP,,800,400,REEL,stock,,,Supplier SKU: 609-6623-2-ND
1131217,Jake Harris,1002331,,IP5-04-05.0-L-S-1-L-TR,Samtec Inc.,40,6.66991,GBP,,750,150,REEL,stock,,,Supplier SKU: 612-IP5-04-05.0-L-S-1-L-TR-ND
1131217,Jake Harris,1002331,,UMPS-04-03.5-G-V-S-W-TR,Samtec Inc.,155,1.66623,GBP,,1150,575,REEL,stock,,,Supplier SKU: 612-UMPS-04-03.5-G-V-S-W-FRTR-ND
1131217,Jake Harris,1002310,,TQ2SS-24V,AXICOM - TE CONNECTIVITY,220,1.66,GBP,,1000,1,CUT TAPE,stock,PT,,Supplier SKU: 1326154
1131217,Jake Harris,1002330,,Y14870R01000B9W,Vishay Precision Group Foil Resistors,40,5.1,,,50,1,REEL,stock,,Yes,Supplier SKU: Y14870R01000B0R
1131217,Jake Harris,1002331,,LMZ13610TZ/NOPB,Texas Instruments,20,18.93125,GBP,,32,1,F-TUBE,stock,,,Supplier SKU: LMZ13610TZ/NOPB-ND
1131217,Jake Harris,1002331,,1779205311,Würth Elektronik,120,1.71009,GBP,,215,1,F-TUBE,stock,,,Supplier SKU: 732-1779205311-ND
1131217,Jake Harris,1002409,,350714-4,TE Connectivity / AMP Brand,40,7.16,,,50,1,BULK,stock,China,Yes,Supplier SKU: 350714-4
1131217,Jake Harris,1002331,,RNCF0603TKY20K0,Stackpole Electronics Inc,265,0.73123,GBP,,2000,1000,REEL,stock,,,Supplier SKU: RNCF0603TKY20K0TR-ND
1131217,Jake Harris,1002331,,REG102UA-3.3,Texas Instruments,100,0.99958,GBP,,5000,2500,REEL,stock,,,Supplier SKU: REG102UA-3.3/2K5-ND
1131217,Jake Harris,1002331,,CSEG1010-150M,CODACA,50,3.37812,GBP,,600,300,REEL,stock,,,Supplier SKU: 4044-CSEG1010-150MTR-ND
