RFQ Search Key,Buyer,Business Partner Search Key,Contact,MPN,MFR Text,Quoted Quantity,Cost,Currency,Date Code,MOQ,SPQ,Packaging,Lead Time,COO,RoHS,Vendor Notes
1131217,Jake Harris,1002390,,SMBJ12A,Vishay,15,0.030599,,,1,1,,stock,Taiwan,,Supplier SKU: SMBJ12A-M3/52
1131217,Jake Harris,1002390,,AGQ200A24Z,Panasonic Electric Works,10985,0.887122,,,21600,1800,T&R,stock,Japan,,Supplier SKU: 0323_02280880
1131217,Jake Harris,1001051,,XCZU4CG-1SFVC784E,Amd,5,925.819433,,,1,1,TRAY,stock,,,Supplier SKU: 000000007006157353
1131217,Jake Harris,1002331,,LTC2986CLX#PBF,Analog Devices Inc.,235,30.293293,,,250,1,TRAY,stock,,,Supplier SKU: 505-LTC2986CLX#PBF-ND
1131217,Jake Harris,1002409,,FNQ-R-30,EATON ELECTRICAL / COILTRONICS / BUSSMANN,60,52.349968,,,100,1,,stock,Mexico,Yes,Supplier SKU: FNQ-R-30
1131217,Jake Harris,1002331,,LP-CC-30,Eaton - Bussmann Electrical Division,90,48.872497,,,100,1,BULK,stock,,,Supplier SKU: 2041-1091-ND
1131217,Jake Harris,1002409,,DSP2A-DC24V,Panasonic Electronic Components,510,4.019997,,,1000,1,,stock,Japan,Yes,Supplier SKU: DSP2A-DC24V
1131217,Jake Harris,1002331,,K86X-CD-62S-BR,"Kycon, Inc.",470,6.046434,,,504,1,TRAY,stock,,,Supplier SKU: 2092-K86X-CD-62S-BR-ND
1131217,Jake Harris,1002331,,2841/1 GR005,ALPHA WIRE,25,82.546145,,,50,1,BULK,stock,,,Supplier SKU: 2841/1GR005-ND
1131217,Jake Harris,1002331,,N3433-6303RB,3M,630,4.464317,,,1050,1,BULK,stock,,Yes,Supplier SKU: MHS50B-ND
1131217,Jake Harris,1002331,,68552-5,Texas Instruments,445,1.261794,,,500,1,TUBE,stock,,,Supplier SKU: 296-8552-5-ND
1131217,Jake Harris,1002338,,LMZ14202HTZE/NOPB,Texas Instruments,255,10.660032,,,500,1,CUSTOM REEL,stock,,Yes,Supplier SKU: 926-LMZ14202HTZXNOPB
1131217,Jake Harris,1002331,,2043650006,MOLEX,310,9.836156,,,504,1,TRAY,stock,,,Supplier SKU: WM26927-ND
1131217,Jake Harris,1002409,,LR1200480D25,Sensata / Crydom,50,44.419973,,,60,1,EACH,stock,Mexico,Yes,Supplier SKU: LR1200480D25
1131217,Jake Harris,1002409,,LR1200480D40,Sensata / Crydom,50,48.469971,,,60,1,EACH,stock,Mexico,Yes,Supplier SKU: LR1200480D40
1131217,Jake Harris,1002331,,LTC2312HTS8-14#TRMPBF,Analog Devices Inc.,160,17.208586,,,500,500,T&R,stock,,,Supplier SKU: LTC2312HTS8-14#TRMPBFTR-ND
1131217,Jake Harris,1002331,,MAX306EUI+,Analog Devices Inc./Maxim Integrated,70,16.010672,,,100,1,TUBE,stock,,,Supplier SKU: MAX306EUI+-ND
1131217,Jake Harris,1002331,,CJT-T-P-HH-ST-TH1,Samtec Inc.,95,13.419989,,,100,1,TRAY,stock,,,Supplier SKU: SAM10418-ND
1131217,Jake Harris,1002331,,XC6SLX100-3FGG484C,Amd,10,264.505392,,,1,1,TRAY,stock,,,Supplier SKU: 122-1759-ND
1131217,Jake Harris,1002331,,6560N112J103P,Knowles Novacap,60,32.404703,,,500,500,T&R,stock,,No,Supplier SKU: 1763-6560N112J103PTTR-ND
1131217,Jake Harris,1002390,,MAX14915AFM+,MAXIM,235,6.539997,,,2500,2500,T&R,stock,Taiwan,Yes,Supplier SKU: 1762_17868760
1131217,Jake Harris,1002331,,MAX5903NNETT+T,Analog Devices Inc./Maxim Integrated,425,4.028528,,,2500,2500,T&R,stock,,,Supplier SKU: MAX5903NNETT+TTR-ND
1131217,Jake Harris,1002338,,22.1100,WIMA,360,1.162426,,,500,500,T&R,stock,,Yes,Supplier SKU: 505-PPS22.1/100/10
1131217,Jake Harris,1002331,,EPM1270T144C4N,ALTERA,20,80.575914,,,25,1,TRAY,stock,,Yes,Supplier SKU: 544-1334-ND
1131217,Jake Harris,1002394,,IP5-04-01-L-S-RA1-L-TR,SAMTEC,100,11.049994,,,500,1,CUT TAPE,stock,,,Supplier SKU: 95AM9466
1131217,Jake Harris,1002338,,254124-E,TE Connectivity / ERNI,120,11.262672,,,252,1,BULK,stock,,Yes,Supplier SKU: 305-254124
