CPC,MPN,MFR,Description,Qty,SIPOC_Price,SIPOC_LT,Reason,BPA_Price,BPA_Supplier,BPA_LT,Total_Value
"668-096776-009","K85X-ED-9S-CBR","KYCON, INC","CONN,DSUB,9P,F,STR,BRD LCK,ROHS",2000,3.5450,"26 weeks",NO_QUOTE,,"",,7090.00
"668-096776-015","K85X-AD-15S-CBR","KYCON, INC","CONN,DSUB,15P,F,STR,BRD LCK,ROHS",1000,2.8250,"26 weeks",NO_QUOTE,,"",,2825.00
"648-046808-112","6560N112J103P","NOVACAP","CAP,SMD,NPO,1.1NF,5%,10KV",60,36.0690,"20 weeks",BPA_MORE_EXPENSIVE,38.0735,"DigiKey",119,2164.14
"723-097621-068","18130B-S-0632-28","AMATOM ELECTRONIC HARDWARE","STDF,SWG,9/32 RND,F,6-32,.687",105,17.5000,"0 weeks",NO_QUOTE,,"",,1837.50
"723-008848-003","9724-SS-7","AMATOM ELECTRONIC HARDWARE","STDF,3/16 HEX,M/F,2-56, .250LG,ROHS",50,34.8000,"10 weeks",NO_QUOTE,,"",,1740.00
"668-096777-009","K85X-ED-9P-CBR","KYCON, INC","CONN,DSUB,9P,M,STR,BRD LCK,ROHS",300,5.6200,"5 weeks",NO_QUOTE,,"",,1686.00
"723-097621-043","18126B-S-0632-28","AMATOM ELECTRONIC HARDWARE","STDF,SWG,9/32 RND,F,6-32",85,19.7500,"0 weeks",NO_QUOTE,,"",,1678.75
"668-014495-026","K86X-AD-26S-CBR","KYCON, INC","CONN,RCPT,HIGH DENSITY DSUB,26 ROHS",200,8.0000,"22 weeks",NO_QUOTE,,"",,1600.00
"645-347340-001","E101J3AV2QE3","C&K COMPONENT","SW,ROCKER SPDT 0.4A,RA PC MT",105,9.1700,"13 weeks",NO_QUOTE,,"",,962.85
"668-B17515-004","T4041037041-001","TE CONNECTIVITY","CONN,RCPT,M8,SHLD,4POSN,3A,PCB/PNL MT",120,7.2000,"0 weeks",NO_QUOTE,,"",,864.00
"669-121789-001","172-978-100-201","ODU","CONT,SKT,40A",50,13.8700,"6 weeks",NO_QUOTE,,"",,693.50
"630-122646-001","LMZ13610TZ/NOPB","TEXAS INSTRUMENTS","IC,SMD,BUCK SYNC ADJ 10A TO-PMOD-11",20,25.7800,"6 weeks",BPA_MORE_EXPENSIVE,26.0595,"DigiKey",42,515.60
"671-096377-010","TP-105-01-00","COMPONENTS CORPORATION","TP LOOPED .035 HOLE,1 POS,BLK",2950,0.1500,"0 weeks",NO_QUOTE,,"",,442.50
"668-B17515-003","T4041037031-001","TE CONNECTIVITY","CONN,RCPT,M8,SHLD,3POSN,3A,PCB/PNL MT",55,7.2000,"0 weeks",NO_QUOTE,,"",,396.00
"630-223433-001","MAX7325ATG+","MAXIM INTEGRATED","IC,SMD,I2C IO EXPANDER,8B",150,2.3800,"14 weeks",BPA_MORE_EXPENSIVE,2.8619,"DigiKey",70,357.00
"615-049171-124","RG2012P-1242-B-T5","SUSUMU","RES,SMD,0805,12.4K OHMS,ROHS",2000,0.1607,"23 weeks",BPA_MORE_EXPENSIVE,0.1607,"Mouser",,321.40
