CPC,MPN,Description,W111_Qty,W115_Qty,Total_Qty,MIN_QTY,Shortfall,Shortfall_Pct,Lead_Time,Priority
31-10099-00,206509-1,"KEYING PLUG,D CONN",2,0,2,50,48,96.0%,9 Weeks,HIGH
668-A51501-015,164A17359X,"CONN,RCPT,D-SUB,H DENSITY,15POSN,3A,60V",4,0,4,25,21,84.0%,3 Weeks,HIGH
39-130655-25,2-747708-0,"CONN,DSUB,25F,PCB STRT,0.25""",0,5,5,25,20,80.0%,48 Weeks,HIGH
668-098496-003,5-104363-2,"CONN,HDR 3P VERT MTE,ROHS",8,0,8,25,17,68.0%,19 Weeks,MEDIUM
668-244954-004,GRF1-J-P-08-E-RA-TH1-E,"CONN,RA,JACK,RF,8POS",0,10,10,25,15,60.0%,12 Weeks,MEDIUM
668-326042-001,302W2CPXX71E40X,"CONN, PLUG, COMBO DSUB, M/F 30A, ST",11,0,11,25,14,56.0%,11 Weeks,MEDIUM
630-337825-001,AD9467BCPZ-250,"IC,SMD,ADC,16BIT,250MSPS,72LFCSP",11,0,11,25,14,56.0%,13 Weeks,MEDIUM
668-133361-001,CBD7W2M37S600X/AA,"CONN, PLUG HSG, DSUB 7W2, 30 A, ROHS",6,0,6,15,9,60.0%,17 Weeks,MEDIUM
635-225114-001,CCHD-957X-25-49.152,"OSC,SMD,LO NOISE,49.152 MHZ,CMOS OUT",16,0,16,25,9,36.0%,12 Weeks,LOW
668-342826-015,DAMZ-15S-N-A197,"CONN,D-SUB,SKT,15PIN,7.5A,PCB MT,BD LOCK",18,0,18,25,7,28.0%,20 Weeks,LOW
618-213909-001,MOX93021004FVE,"RES,METAL FILM,1M OHM",18,0,18,25,7,28.0%,48 Weeks,LOW
667-A00288-001,503398-1892,"CONN,SMD,MICRO SD,8PIN,PUSH-PUSH,.5A,10V",0,24,24,25,1,4.0%,3 Weeks,LOW
