Lam P/N,MPN,Manufacturer,Item Description,Lead Time,QTY ON HAND,Base Unit Price,Resale Price,MIN QTY,MOQ,Lam Owned Inventory?,Previous Supplier,Buyer,Historical Purchase Price,Last Purchase Date,Shortfall,Priority,In Stock Supplier,In Stock Price,In Stock Qty,In Stock Margin %,Lead Time Supplier,Lead Time Price,Lead Time (Weeks),Lead Time Margin %
668-131891-001,CJT-T-P-HH-RA-BH1,SAMTEC,"CONN,JACK,RF,BULKHEAD,THRU HOLE",3 Weeks,0,$62.16,$75.81,25,100,NO,Digi-Key Electronics,Gopalakrishnan,$48.06,2024-06-21,25,CRITICAL,Master,$50.03,100,34.0%,Master,$50.03,2 Week(s),34.0%
615-116029-191,RC1206FR-0719K1L,DALE/VISHAY,"RES,SMD,1206,1%,1/4W,19.1K ROHS",19 Weeks,0,$0.0122,$0.0148,25,5000,NO,Rutronik UK,Gopalakrishnan,$0.002210,2024-06-25,25,CRITICAL,Future,$0.004200,75000,71.7%,Future,$0.004200,18 Weeks,71.7%
615-252481-033,ERA-8AEB101V,PANASONIC,"RES,SMD,100,0.1%,1/4W,1206,ROHS",21 Weeks,0,$0.1077,$0.1314,25,5000,NO,Arrow Electronics,Mohan,$0.1000,2024-07-02,25,CRITICAL,Future,$0.0735,15000,44.1%,Future,$0.0735,12 Weeks,44.1%
668-188529-001,5-146280-3,TE CONNECTIVITY,"CONN,HDR,BREAKAWAY,SGL ROW,PCB MT,3POSN",12 Weeks,0,$0.2586,$0.3153,25,2000,NO,Avnet EM,Mohan,$0.0900,2024-07-02,25,CRITICAL,Arrow,$0.1178,418455,62.6%,Future,$0.2450,38 Weeks,22.3%
630-A52002-001,SN74LVC125ARGYR,TEXAS INSTRUMENTS,"IC,SMD,NON INV,BFR,1.65-3.6V,VQFN-14",3 Weeks,0,$0.1998,$0.2436,25,200,NO,Texas Instruments,Gopalakrishnan,$0.1700,2024-07-04,25,CRITICAL,Arrow,$0.1806,1502,25.9%,,,,
615-121726-059,RK73H1ETTP3901F,PANASONIC,"RES,SMD,3.9K,1/10W,1%,0402",11 Weeks,0,$0.003677,$0.004484,25,10000,NO,TTI Inc,Lathis,$0.002970,2024-07-31,25,CRITICAL,Arrow,$0.002900,840000,35.3%,,,,
669-116934-001,101628-000,INTERCONNECT DEVICES INC.,"CONT,PIN,SPRING PROBE",30 Weeks,0,$4.40,$5.37,25,216,NO,Mouser,Gopalakrishnan,$4.32,2024-07-05,25,CRITICAL,,,,,,,,
630-A08069-001,S25FL512SAGBHIA10,CYPRESS,"IC,SMD,MEM,FLASH-NOR,64MB,3.6V,BGA-24",3 Weeks,0,$7.46,$9.10,25,100,NO,Flip Electronics LLC,Mohan,$5.78,2024-07-09,25,CRITICAL,Future,$4.47,338,50.9%,Future,$4.47,16 Weeks,50.9%
641-254722-001,7447480102,WURTH ELEKTRONIK,"IDCTR,WOUND,RDL,1MH,800MA,1.15 OHM,THT",3 Weeks,0,$1.57,$1.91,25,100,NO,Chip 1 Stop,Mohan,$1.13,2024-07-02,25,CRITICAL,Arrow,$1.79,276,6.4%,,,,
630-B35278-001,MT40A512M16TB-062E:R,"MICRON TECHNOLOGY, INC.","IC,SMD,512 MEGX16,SDRAM-DDR4,96 PIN,FBGA",3 Weeks,0,$8.21,$10.01,25,50,NO,LEABON INDUSTRY TECHNOLOGY LIMITED,Mohan,$1.34,2024-11-19,25,CRITICAL,,,,,,,,
