Lam P/N,MPN,Manufacturer,Item Description,Lead Time,QTY ON HAND,Base Unit Price,Resale Price,MIN QTY,MOQ,Lam Owned Inventory?,Historical Buyer,OT Previous Supplier,OT Buyer,Historical Purchase Price,Last Purchase Date,Recent POV,Shortfall,Priority
668-326042-001,302W2CPXX71E40X,CONEC ELEKTRONISCHE BAUELEMENTE GMBH,"CONN, PLUG, COMBO DSUB, M/F 30A, ST",11 Weeks,0,8.92164,10.880048780487806,25,50,NO,Jake Harris,,,,,,25,CRITICAL
668-098496-003,5-104363-2,TE CONNECTIVITY,"CONN,HDR 3P VERT MTE,ROHS",19 Weeks,0,1.223613,1.4922109756097564,25,52,NO,Stephanie Hill,,,,,,25,CRITICAL
668-131891-001,CJT-T-P-HH-RA-BH1,SAMTEC,"CONN,JACK,RF,BULKHEAD,THRU HOLE",3 Weeks,0,62.160669,75.80569390243903,25,100,NO,Jake Harris,,,,,,25,CRITICAL
630-A52002-001,SN74LVC125ARGYR,TEXAS INSTRUMENTS,"IC,SMD,NON INV,BFR,1.65-3.6V,VQFN-14",3 Weeks,0,0.199757,0.24360609756097562,25,200,NO,Jake Harris,,,,,,25,CRITICAL
669-116934-001,101628-000,INTERCONNECT DEVICES INC.,"CONT,PIN,SPRING PROBE",30 Weeks,0,4.4,5.365853658536586,25,216,NO,Edgar Santana,,,,,,25,CRITICAL
630-A08069-001,S25FL512SAGBHIA10,CYPRESS,"IC,SMD,MEM,FLASH-NOR,64MB,3.6V,BGA-24",3 Weeks,0,7.462682,9.100831707317074,25,100,NO,Jake Harris,,,,,,25,CRITICAL
668-A51501-015,164A17359X,CONEC ELEKTRONISCHE BAUELEMENTE GMBH,"CONN,RCPT,D-SUB,H DENSITY,15POSN,3A,60V",3 Weeks,0,9.904491,12.078647560975611,25,50,NO,Edgar Santana,,,,,,25,CRITICAL
630-B35278-001,MT40A512M16TB-062E:R,"MICRON TECHNOLOGY, INC.","IC,SMD,512 MEGX16,SDRAM-DDR4,96 PIN,FBGA",3 Weeks,0,8.21085,10.013231707317075,25,50,NO,Jake Harris,,,,,,25,CRITICAL
660-345770-001,LTM8074EY#PBF,ANALOG DEVICES INC.,"PS,DC-DC UMODULE,3.2-40VIN,1.2A,25-BGA",3 Weeks,0,7.970199,9.71975487804878,25,80,NO,Tracy Xie,,,,,,25,CRITICAL
630-345769-001,MAX16029TG+,MAXIM INTEGRATED,"IC,SMD,QUAD-V MONITOR,2.2-28V,24-TQFN",12 Weeks,0,7.318686,8.925226829268293,25,75,NO,Tracy Xie,,,,,,25,CRITICAL
660-345766-001,LTM4632EV#PBF,ANALOG DEVICES INC.,"PS,UMODULE,0.6-2.5V,±3A,DDR-QDR4,25-LGA",14 Weeks,0,12.0099,14.646219512195122,25,80,NO,Tracy Xie,,,,,,25,CRITICAL
615-224835-001,PATT0603E2001BGT1,VISHAY,"RES,0603,THIN FILM,0.1%,25 PPM,0.15W,2K",70 Weeks,0,0.523485,0.6383963414634146,25,1000,NO,Edgar Santana (DM),,,,,,25,CRITICAL
39-433734-00,65100516121,WURTH ELECTRONICS,"CONN,USB,MINI-B TYPE SKT,5POS,SMT,30VAC,",3 Weeks,0,1.148294,1.400358536585366,15,60,NO,Jake Harris,,,,,,15,CRITICAL
668-A09548-015,9552156612741,HARTING TECHNOLOGY GROUP,"CONN,RCPT,D-SUB,SIZE 2,15POSN,5A,STR,SMD",3 Weeks,0,4.931057,6.013484146341463,15,140,NO,Stephanie Hill,,,,,,15,CRITICAL
668-133361-001,CBD7W2M37S600X/AA,POSITRONIC INDUSTRIES INC.,"CONN, PLUG HSG, DSUB 7W2, 30 A, ROHS",17 Weeks,0,22.716603,27.703174390243902,15,50,NO,Jake Harris,,,,,,15,CRITICAL
