Lam P/N,MPN,Historical Buyer,MIN QTY,Qty 3/17,Priority 3/17,Qty 3/23,Status
668-131891-001,CJT-T-P-HH-RA-BH1,,25,0,CRITICAL,80,REPLENISHED
615-116029-191,RC1206FR-0719K1L,,25,0,CRITICAL,5000,REPLENISHED
615-252481-033,ERA-8AEB101V,,25,0,CRITICAL,5000,REPLENISHED
668-188529-001,5-146280-3,,25,0,CRITICAL,2000,REPLENISHED
630-A52002-001,SN74LVC125ARGYR,,25,0,CRITICAL,150,REPLENISHED
615-121726-059,RK73H1ETTP3901F,,25,0,CRITICAL,10000,REPLENISHED
669-116934-001,101628-000,,25,0,CRITICAL,216,REPLENISHED
630-A08069-001,S25FL512SAGBHIA10,,25,0,CRITICAL,89,REPLENISHED
641-254722-001,7447480102,,25,0,CRITICAL,100,REPLENISHED
630-B35278-001,MT40A512M16TB-062E:R,,25,0,CRITICAL,50,REPLENISHED
660-345770-001,LTM8074EY#PBF,,25,0,CRITICAL,60,REPLENISHED
630-345769-001,MAX16029TG+,,25,0,CRITICAL,75,REPLENISHED
648-B09166-001,865060653010,,25,0,CRITICAL,500,REPLENISHED
615-224835-006,PATT0603E49R9BGT1,,25,0,CRITICAL,778,REPLENISHED
660-345766-001,LTM4632EV#PBF,,25,0,CRITICAL,80,REPLENISHED
615-224835-001,PATT0603E2001BGT1,,25,0,CRITICAL,1000,REPLENISHED
646-130453-008,76HPSB08GWRT,,15,0,CRITICAL,500,REPLENISHED
39-433734-00,65100516121,,15,0,CRITICAL,60,REPLENISHED
639-A20790-001,7443551130,,15,0,CRITICAL,400,REPLENISHED
668-A09548-009,9551156612741,,15,0,CRITICAL,140,REPLENISHED
668-A09548-025,9553156612741,,15,0,CRITICAL,140,REPLENISHED
31-10099-00,206509-1,,50,2,HIGH,2000,REPLENISHED
668-A51501-015,164A17359X,,25,4,HIGH,50,REPLENISHED
39-130655-25,2-747708-0,,25,5,HIGH,49,REPLENISHED
668-098496-003,5-104363-2,,25,8,MEDIUM,42,REPLENISHED
668-244954-004,GRF1-J-P-08-E-RA-TH1-E,,25,10,MEDIUM,55,REPLENISHED
630-337825-001,AD9467BCPZ-250,,25,11,MEDIUM,68,REPLENISHED
668-133361-001,CBD7W2M37S600X/AA,,15,6,MEDIUM,31,REPLENISHED
635-225114-001,CCHD-957X-25-49.152,,25,16,LOW,27,REPLENISHED
668-342826-015,DAMZ-15S-N-A197,,25,18,LOW,40,REPLENISHED
618-213909-001,MOX93021004FVE,,25,18,LOW,60,REPLENISHED
667-A00288-001,503398-1892,,25,24,LOW,100,REPLENISHED
