RFQ Search Key,Buyer,Business Partner Search Key,Contact,MPN,MFR Text,Quoted Quantity,Cost,Currency,Date Code,MOQ,SPQ,Packaging,Lead Time,COO,RoHS,Vendor Notes
1129918,Jake Harris,1002409,,68552-5,,125,7.92,USD,,125,1,,20 weeks,,,
1129918,Jake Harris,1002409,,68552-20,,178,7.92,USD,,125,1,,20 weeks,,,
1129918,Jake Harris,1002409,,68552-40,,178,7.92,USD,,125,1,,20 weeks,,,
1129918,Jake Harris,1002409,,68552-80,,178,7.92,USD,,125,1,,20 weeks,,,
1129918,Jake Harris,1002409,,68552-160,,178,7.92,USD,,125,1,,20 weeks,,,
1129918,Jake Harris,1002409,,68552-320,,178,7.92,USD,,125,1,,20 weeks,,,
1129918,Jake Harris,1002409,,T4041037041-001,,195,7.20,USD,,25,3,,16 weeks,,,
1129918,Jake Harris,1002409,,E101J3AV2QE3,,155,9.01,USD,,50,5,,8 weeks,,,
1129918,Jake Harris,1003158,,TP-105-01-00,,10000,0.1497,USD,,,1000,,99 days,,,5700 in stock
1129918,Jake Harris,1002409,,T4041037031-001,,200,7.20,USD,,25,25,,16 weeks,,,Price breaks: 50pc/$7.88 75pc/$7.35 100pc/$7.20
1129918,Jake Harris,1002409,,T4040034031-001,,275,5.50,USD,,25,25,,16 weeks,,,Price breaks: 100pc/$5.50 500pc/$5.22
