part_number,amat_offer_price,vq_date,vendor,vq_cost,qty,purchased
EN5322QI,1.89,2025-12-01,Mouser,22.2,8115,
EN5322QI,1.89,2025-12-01,Arrow Electronics,8.31,435540,
EN5322QI,1.89,2025-11-28,"CORERINE TECHNOLOGY CO., LIMITED",3.3,10000,
EN5322QI,1.89,2025-11-28,Fixchips Global Limited,3.22,10000,
EN5322QI,1.89,2025-11-28,Fixchips Global Limited,3.09,393,
EN5322QI,1.89,2025-11-28,A-Power Electronic Asia Ltd,5.8,10000,
EN5336QI,7.39,2026-02-09,SMARTEL ELECTRONICS (ASIA) CO LTD,12.980,290,
EN5364QI,15.00,2025-12-01,Arrow Electronics,59.54,5608,
EN5364QI,15.00,2025-11-28,Action (HK) Technology Ltd,65.475,1000,
EN5364QI,15.00,2025-11-28,"CORERINE TECHNOLOGY CO., LIMITED",22.5,390,
EN5364QI,15.00,2025-11-28,"CORERINE TECHNOLOGY CO., LIMITED",33,2000,
EN5364QI,15.00,2025-11-28,"CORERINE TECHNOLOGY CO., LIMITED",67.5,1000,
EN5364QI,15.00,2025-11-28,Ameya Holding Ltd,35,2500,
EN5364QI,15.00,2025-11-28,Ameya Holding Ltd,35,2500,
TPS54318RTET,0.90,2026-02-05,HUASHU TECHNOLOGIES PTE LIMITED,0.82,6000,
