decommit_mpn,decommit_qty,match_type,alternate_packaging,partner,offer_key,offer_date,offer_mpn,offer_qty,offer_price,date_code
AD5560JSVUZ-REEL,27,PACKAGING_VARIANT,AD5560JSVUZ,Great Solution Asia,1025814,2026-03-24,AD5560JSVUZ,500,0,
AD5560JSVUZ-REEL,27,PACKAGING_VARIANT,AD5560JSVUZ,Semihouse,1025465,2026-01-30,AD5560JSVUZ,500,36.85,25+
AD5560JSVUZ-REEL,27,PACKAGING_VARIANT,AD5560JSVUZ,Sing Sun Electronics Ltd,1024804,2025-11-04,AD5560JSVUZ,0,0,
AD706JRZ-REEL7,1,EXACT,,Great Solution Asia,1025814,2026-03-24,AD706JRZ-REEL7,1000,0,
AD706JRZ-REEL7,1,EXACT,,Semgoal Electronics Ltd,1024795,2025-11-04,AD706JRZ-REEL7,2000,0,
AD706JRZ-REEL7,1,PACKAGING_VARIANT,AD706JRZ-REEL,"VERY CHIP CO., LIMITED",1025806,2026-03-24,AD706JRZ-REEL,72,0,2215+
AD706JRZ-REEL7,1,PACKAGING_VARIANT,AD706JRZ-REEL,"Very Chip Co., Limited",1025692,2026-03-10,AD706JRZ-REEL,72,0,2215+
AD780BRZ-REEL7,1,EXACT,,Momntech Limited,1025811,2026-03-24,AD780BRZ-REEL7,2500,0,25+
AD780BRZ-REEL7,1,EXACT,,"Shenzhen Yuze Semiconductor Co., Ltd",1025595,2026-02-26,AD780BRZ-REEL7,3000,0,
AD780BRZ-REEL7,1,EXACT,,Hong Kong ShunChiu Industry Development Limited,1025473,2026-02-03,AD780BRZ-REEL7,3000,0,25+
AD780BRZ-REEL7,1,EXACT,,Semihouse,1025388,2026-01-22,AD780BRZ-REEL7�,3000,8.69,25+
AD797ARZ-REEL7,15,EXACT,,Cytech Systems Ltd,1025191,2025-12-23,AD797ARZ-REEL7,750,6.6,within 2 years
AD797ARZ-REEL7,15,EXACT,,Semihouse,1025082,2025-12-09,AD797ARZ-REEL7,2250,4.95,2YRS
AD8512ARMZ-REEL,1,EXACT,,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1025369,2026-01-21,AD8512ARMZ-REEL,3000,0,2532
AD8512ARMZ-REEL,1,EXACT,,Semihouse,1025183,2025-12-22,AD8512ARMZ-REEL�,3000,2.15,2YRS
AD8512ARMZ-REEL,1,EXACT,,Sing Sun Electronics Ltd,1024804,2025-11-04,AD8512ARMZ-REEL,0,0,
AD8512ARMZ-REEL,1,PACKAGING_VARIANT,AD8512ARMZ,Sing Sun Electronics Ltd,1024804,2025-11-04,AD8512ARMZ,0,0,
AD8675ARMZ-REEL,1,EXACT,,Sing Sun Electronics Ltd,1024804,2025-11-04,AD8675ARMZ-REEL,0,0,
AD8676ARMZ-REEL,2,EXACT,,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1025756,2026-03-16,AD8676ARMZ-REEL,29,0,24
AD8676BRZ-REEL7,1,EXACT,,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1025756,2026-03-16,AD8676BRZ-REEL7,270,0,24
ADA4522-2ARZ,1,EXACT,,Sing Sun Electronics Ltd,1024804,2025-11-04,ADA4522-2ARZ,0,0,
ADA4941-1YCPZ-R7,2,EXACT,,Semihouse,1025259,2026-01-06,ADA4941-1YCPZ-R7,9000,3.19,24+
ADG1206YRUZ-REEL7,4,EXACT,,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1025756,2026-03-16,ADG1206YRUZ-REEL7,1000,0,23
ADG1212YCPZ-REEL7,1,EXACT,,Sing Sun Electronics Ltd,1024804,2025-11-04,ADG1212YCPZ-REEL7,0,0,
