original_mpn,decommit_qty,match_type,alternate_packaging,partner,offer_key,offer_date,offer_mpn,qty,price,date_code
AD780BRZ-REEL7,1,EXACT,,Celestica,1025670,2026-03-05,AD780BRZ-REEL7,241,0,
AD780BRZ-REEL7,1,EXACT,,Celestica,1025531,2026-02-10,AD780BRZ-REEL7,187,0,
AD780BRZ-REEL7,1,EXACT,,Celestica,1025531,2026-02-10,AD780BRZ-REEL7,537,0,
AD780BRZ-REEL7,1,EXACT,,BENCHMARK ELECTRONICS,1024583,2025-10-06,AD780BRZ-REEL7,502,13.0985,
AD780BRZ-REEL7,1,PACKAGING_VARIANT,AD780BRZ-REEL,Celestica,1025670,2026-03-05,AD780BRZ-REEL,69,0,
AD780BRZ-REEL7,1,PACKAGING_VARIANT,AD780BRZ-REEL,Celestica,1025670,2026-03-05,AD780BRZ-REEL,56,0,
AD780BRZ-REEL7,1,PACKAGING_VARIANT,AD780BRZ-REEL,Celestica,1025531,2026-02-10,AD780BRZ-REEL,62,0,
AD780BRZ-REEL7,1,PACKAGING_VARIANT,AD780BRZ-REEL,Celestica,1025531,2026-02-10,AD780BRZ-REEL,90,0,
AD8512ARMZ-REEL,1,EXACT,,BENCHMARK ELECTRONICS,1024583,2025-10-06,AD8512ARMZ-REEL,3218,2.438,
AD8512ARMZ-REEL,1,EXACT,,BENCHMARK ELECTRONICS,1024583,2025-10-06,AD8512ARMZ-REEL,3218,2.438,
AD8512ARMZ-REEL,1,PACKAGING_VARIANT,AD8512ARMZ,Celestica,1025670,2026-03-05,AD8512ARMZ,1161,0,
AD8676ARMZ-REEL,2,EXACT,,Celestica,1025670,2026-03-05,AD8676ARMZ-REEL,2927,0,
AD8676ARMZ-REEL,2,EXACT,,Celestica,1025531,2026-02-10,AD8676ARMZ-REEL,2927,0,
ADG5206BCPZ-RL7,5,EXACT,,Schneider Electric,1025644,2026-03-03,ADG5206BCPZ-RL7,34556,0,
ADG5206BCPZ-RL7,5,EXACT,,Schneider Electric,1025390,2026-01-22,ADG5206BCPZ-RL7,65456,0,
ADP5052ACPZ-R7,1,EXACT,,Celestica,1025670,2026-03-05,ADP5052ACPZ-R7,363,0,
ADP5052ACPZ-R7,1,EXACT,,Celestica,1025531,2026-02-10,ADP5052ACPZ-R7,363,0,
ADR445BRZ-REEL7,6,EXACT,,Flex ,1024615,2025-10-13,ADR445BRZ-REEL7,77,0,2250
ADR445BRZ-REEL7,6,EXACT,,Flex ,1024615,2025-10-13,ADR445BRZ-REEL7,115,0,2252
LT1175CST-5#TRPBF,1,EXACT,,Celestica,1025670,2026-03-05,LT1175CST-5#TRPBF,2367,0,
LT1175CST-5#TRPBF,1,EXACT,,Celestica,1025531,2026-02-10,LT1175CST-5#TRPBF,2397,0,
LT1711CMS8#TRPBF,1,EXACT,,Celestica,1025670,2026-03-05,LT1711CMS8#TRPBF,1328,0,
LT1711CMS8#TRPBF,1,EXACT,,Celestica,1025531,2026-02-10,LT1711CMS8#TRPBF,1328,0,
LT1711CMS8#TRPBF,1,PACKAGING_VARIANT,LT1711CMS8-PBF,Applied Materials,1024567,2025-10-01,LT1711CMS8-PBF,18000,0,
LT1763CDE#TRPBF,1,EXACT,,Celestica,1025670,2026-03-05,LT1763CDE#TRPBF,2388,0,
LT1763CDE#TRPBF,1,EXACT,,Celestica,1025670,2026-03-05,LT1763CDE#TRPBF,1369,0,
LT1763CDE#TRPBF,1,EXACT,,Celestica,1025670,2026-03-05,LT1763CDE#TRPBF,410,0,
LT1763CDE#TRPBF,1,EXACT,,Celestica,1025531,2026-02-10,LT1763CDE#TRPBF,4301,0,
LT1763CDE#TRPBF,1,EXACT,,Celestica,1025531,2026-02-10,LT1763CDE#TRPBF,551,0,
LT1963AEQ#TRPBF,1,EXACT,,Celestica,1025670,2026-03-05,LT1963AEQ#TRPBF,571,0,
LT1963AEQ#TRPBF,1,EXACT,,Celestica,1025670,2026-03-05,LT1963AEQ#TRPBF,6155,0,
LT1963AEQ#TRPBF,1,EXACT,,Celestica,1025531,2026-02-10,LT1963AEQ#TRPBF,6155,0,
LT1963AEQ#TRPBF,1,PACKAGING_VARIANT,LT1963AEQ#TR,Celestica,1025670,2026-03-05,LT1963AEQ#TR,404,0,
LT1963AEQ#TRPBF,1,PACKAGING_VARIANT,LT1963AEQ#TR,Celestica,1025531,2026-02-10,LT1963AEQ#TR,406,0,
LT1963AES8#PBF,2,PACKAGING_VARIANT,LT1963AES8#TRPBF,Celestica,1025670,2026-03-05,LT1963AES8#TRPBF,1436,0,
LT1963AES8#PBF,2,PACKAGING_VARIANT,LT1963AES8#TRPBF,Celestica,1025670,2026-03-05,LT1963AES8#TRPBF,800,0,
LT1963AES8#PBF,2,PACKAGING_VARIANT,LT1963AES8#TRPBF,Celestica,1025531,2026-02-10,LT1963AES8#TRPBF,1451,0,
LT3094EDD#PBF,6,PACKAGING_VARIANT,LT3094EDD#TRPBF,Celestica,1025670,2026-03-05,LT3094EDD#TRPBF,209,0,
LTM4606EV#PBF,6,EXACT,,Celestica,1025670,2026-03-05,LTM4606EV#PBF,76,0,
LTM4606EV#PBF,6,EXACT,,Celestica,1025531,2026-02-10,LTM4606EV#PBF,53,0,
LTM4620AEV#PBF,1,EXACT,,Plexus Corp.,1024745,2025-10-28,LTM4620AEV#PBF,53,55.515264,202317
LTM8055EY#PBF,2,EXACT,,Celestica,1025670,2026-03-05,LTM8055EY#PBF,113,0,
MAX4648EUT+T,3,EXACT,,Celestica,1025670,2026-03-05,MAX4648EUT+T,738,0,
MAX8556ETE+T,2,EXACT,,Flex ,1024615,2025-10-13,MAX8556ETE+T,6297,0,2312
MAX8556ETE+T,2,EXACT,,Flex ,1024615,2025-10-13,MAX8556ETE+T,4029,0,2311
MAX8556ETE+T,2,EXACT,,Flex ,1024615,2025-10-13,MAX8556ETE+T,2500,0,2316
OP177GSZ-REEL7,1,EXACT,,Celestica,1025670,2026-03-05,OP177GSZ-REEL7,627,0,
OP177GSZ-REEL7,1,PACKAGING_VARIANT,OP177GSZ,Celestica,1025531,2026-02-10,OP177GSZ,5978,0,
OP177GSZ-REEL7,1,PACKAGING_VARIANT,OP177GSZ,SFO Technologies,1024541,2025-09-26,OP177GSZ,1305,0,
