decommit_mpn,offer_type,offer_partner,offer_key,offer_date,offer_mpn,offer_qty,offer_price,date_code,vq_count,avg_vq_cost,min_vq_cost,max_vq_cost,latest_vq_date
AD5560JSVUZ,Broker Stock Offer,Great Solution Asia,1025814,2026-03-24,AD5560JSVUZ,500,0,,,,,,
AD5560JSVUZ,Broker Stock Offer,Great Solution Asia,1025814,2026-03-24,AD5560JSVUZ,500,0,,,,,,
AD5560JSVUZ,Broker Stock Offer,Semihouse,1025465,2026-01-30,AD5560JSVUZ,500,36.85,25+,,,,,
AD5560JSVUZ,Broker Stock Offer,Sing Sun Electronics Ltd,1024804,2025-11-04,AD5560JSVUZ,0,0,,,,,,
AD706JRZ-REEL7,Broker Stock Offer,Great Solution Asia,1025814,2026-03-24,AD706JRZ-REEL7,1000,0,,,,,,
AD706JRZ-REEL7,Broker Stock Offer,Semgoal Electronics Ltd,1024795,2025-11-04,AD706JRZ-REEL7,2000,0,,,,,,
AD780BRZ-REEL7,Broker Stock Offer,Momntech Limited,1025811,2026-03-24,AD780BRZ-REEL7,2500,0,25+,3,18.3600,18.0000,19.0000,2025-10-08
AD780BRZ-REEL7,Broker Stock Offer,"Shenzhen Yuze Semiconductor Co., Ltd",1025595,2026-02-26,AD780BRZ-REEL7,3000,0,,3,18.3600,18.0000,19.0000,2025-10-08
AD780BRZ-REEL7,Broker Stock Offer,Hong Kong ShunChiu Industry Development Limited,1025473,2026-02-03,AD780BRZ-REEL7,3000,0,25+,3,18.3600,18.0000,19.0000,2025-10-08
AD780BRZ-REEL7,Broker Stock Offer,Semihouse,1025388,2026-01-22,AD780BRZ-REEL7�,3000,8.69,25+,3,18.3600,18.0000,19.0000,2025-10-08
AD780BRZ-REEL7,Broker Stock Offer,Semihouse,1025190,2025-12-23,AD780BRZ-REEL7,750,8.47,25+,3,18.3600,18.0000,19.0000,2025-10-08
AD780BRZ-REEL7,Broker Stock Offer,Semihouse,1025172,2025-12-19,AD780BRZ-REEL7,2250,8.47,25+,3,18.3600,18.0000,19.0000,2025-10-08
AD797ARZ-REEL7,Broker Stock Offer,Cytech Systems Ltd,1025191,2025-12-23,AD797ARZ-REEL7,750,6.6,within 2 years,7,7.0774,5.2800,10.0750,2026-03-16
AD797ARZ-REEL7,Broker Stock Offer,Semihouse,1025082,2025-12-09,AD797ARZ-REEL7,2250,4.95,2YRS,7,7.0774,5.2800,10.0750,2026-03-16
AD8512ARMZ-REEL,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1025369,2026-01-21,AD8512ARMZ-REEL,3000,0,2532,,,,,
AD8512ARMZ-REEL,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1025242,2026-01-04,AD8512ARMZ-REEL,3000,0,2532,,,,,
AD8512ARMZ-REEL,Broker Stock Offer,Semihouse,1025183,2025-12-22,AD8512ARMZ-REEL�,3000,2.15,2YRS,,,,,
AD8512ARMZ-REEL,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1025129,2025-12-15,AD8512ARMZ-REEL,3000,0,2532,,,,,
AD8512ARMZ-REEL,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1025023,2025-12-02,AD8512ARMZ-REEL,3000,0,2532,,,,,
AD8512ARMZ-REEL,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1024921,2025-11-18,AD8512ARMZ-REEL,3000,0,2532,,,,,
AD8512ARMZ-REEL,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1024818,2025-11-05,AD8512ARMZ-REEL,3000,0,2532,,,,,
AD8512ARMZ-REEL,Broker Stock Offer,Sing Sun Electronics Ltd,1024804,2025-11-04,AD8512ARMZ-REEL,0,0,,,,,,
AD8675ARMZ-REEL,Broker Stock Offer,Sing Sun Electronics Ltd,1024804,2025-11-04,AD8675ARMZ-REEL,0,0,,,,,,
AD8676ARMZ-REEL,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1025756,2026-03-16,AD8676ARMZ-REEL,29,0,24,,,,,
AD8676ARMZ-REEL,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1025615,2026-03-01,AD8676ARMZ-REEL,29,0,2405,,,,,
AD8676ARMZ-REEL,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1025369,2026-01-21,AD8676ARMZ-REEL,29,0,2405,,,,,
AD8676ARMZ-REEL,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1025242,2026-01-04,AD8676ARMZ-REEL,29,0,2405,,,,,
AD8676ARMZ-REEL,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1025129,2025-12-15,AD8676ARMZ-REEL,29,0,2405,,,,,
AD8676ARMZ-REEL,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1025023,2025-12-02,AD8676ARMZ-REEL,29,0,2405,,,,,
AD8676ARMZ-REEL,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1024921,2025-11-18,AD8676ARMZ-REEL,29,0,2405,,,,,
AD8676ARMZ-REEL,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1024818,2025-11-05,AD8676ARMZ-REEL,29,0,2405,,,,,
AD8676ARMZ-REEL,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1024680,2025-10-21,AD8676ARMZ-REEL,29,0,2405,,,,,
AD8676ARMZ-REEL,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1024563,2025-09-30,AD8676ARMZ-REEL,29,0,2405,,,,,
AD8676BRZ-REEL7,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1025756,2026-03-16,AD8676BRZ-REEL7,270,0,24,,,,,
AD8676BRZ-REEL7,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1025615,2026-03-01,AD8676BRZ-REEL7,270,0,2420,,,,,
AD8676BRZ-REEL7,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1025369,2026-01-21,AD8676BRZ-REEL7,580,0,2420,,,,,
AD8676BRZ-REEL7,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1025242,2026-01-04,AD8676BRZ-REEL7,580,0,2420,,,,,
AD8676BRZ-REEL7,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1025129,2025-12-15,AD8676BRZ-REEL7,580,0,2420,,,,,
AD8676BRZ-REEL7,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1025023,2025-12-02,AD8676BRZ-REEL7,580,0,2420,,,,,
AD8676BRZ-REEL7,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1024921,2025-11-18,AD8676BRZ-REEL7,580,0,2420,,,,,
AD8676BRZ-REEL7,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1024818,2025-11-05,AD8676BRZ-REEL7,580,0,2420,,,,,
AD8676BRZ-REEL7,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1024680,2025-10-21,AD8676BRZ-REEL7,580,0,2420,,,,,
AD8676BRZ-REEL7,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1024563,2025-09-30,AD8676BRZ-REEL7,580,0,2420,,,,,
ADA4522-2ARZ,Broker Stock Offer,Sing Sun Electronics Ltd,1024804,2025-11-04,ADA4522-2ARZ,0,0,,,,,,
ADA4941-1YCPZ-R7,Broker Stock Offer,Semihouse,1025259,2026-01-06,ADA4941-1YCPZ-R7,9000,3.19,24+,,,,,
ADG1206YRUZ-REEL7,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1025756,2026-03-16,ADG1206YRUZ-REEL7,1000,0,23,,,,,
ADG1206YRUZ-REEL7,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1025615,2026-03-01,ADG1206YRUZ-REEL7,1000,0,2322,,,,,
ADG1206YRUZ-REEL7,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1025369,2026-01-21,ADG1206YRUZ-REEL7,1000,0,2322,,,,,
ADG1206YRUZ-REEL7,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1025242,2026-01-04,ADG1206YRUZ-REEL7,1000,0,2322,,,,,
ADG1206YRUZ-REEL7,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1025129,2025-12-15,ADG1206YRUZ-REEL7,1000,0,2322,,,,,
ADG1206YRUZ-REEL7,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1025023,2025-12-02,ADG1206YRUZ-REEL7,1000,0,2322,,,,,
ADG1206YRUZ-REEL7,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1024921,2025-11-18,ADG1206YRUZ-REEL7,1000,0,2322,,,,,
ADG1206YRUZ-REEL7,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1024818,2025-11-05,ADG1206YRUZ-REEL7,1000,0,2322,,,,,
ADG1206YRUZ-REEL7,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1024680,2025-10-21,ADG1206YRUZ-REEL7,1000,0,2322,,,,,
ADG1206YRUZ-REEL7,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1024563,2025-09-30,ADG1206YRUZ-REEL7,1000,0,2322,,,,,
ADG1212YCPZ-REEL7,Broker Stock Offer,Sing Sun Electronics Ltd,1024804,2025-11-04,ADG1212YCPZ-REEL7,0,0,,,,,,
ADM7150ACPZ-3.3-R7,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1025756,2026-03-16,ADM7150ACPZ-3.3-R7,3,0,23,16,5.7616,4.1000,7.2000,2026-03-25
ADM7150ACPZ-3.3-R7,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1025615,2026-03-01,ADM7150ACPZ-3.3-R7,13,0,2347/2352,16,5.7616,4.1000,7.2000,2026-03-25
ADM7150ACPZ-3.3-R7,Broker Stock Offer,"Shenzhen Yuze Semiconductor Co., Ltd",1025595,2026-02-26,ADM7150ACPZ-3.3-R7,1500,0,,16,5.7616,4.1000,7.2000,2026-03-25
ADM7150ACPZ-3.3-R7,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1025369,2026-01-21,ADM7150ACPZ-3.3-R7,13,0,2347/2352,16,5.7616,4.1000,7.2000,2026-03-25
ADM7150ACPZ-3.3-R7,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1025242,2026-01-04,ADM7150ACPZ-3.3-R7,13,0,2347/2352,16,5.7616,4.1000,7.2000,2026-03-25
ADM7150ACPZ-3.3-R7,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1025129,2025-12-15,ADM7150ACPZ-3.3-R7,13,0,2347/2352,16,5.7616,4.1000,7.2000,2026-03-25
ADM7150ACPZ-3.3-R7,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1025023,2025-12-02,ADM7150ACPZ-3.3-R7,13,0,2347/2352,16,5.7616,4.1000,7.2000,2026-03-25
ADM7150ACPZ-3.3-R7,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1024921,2025-11-18,ADM7150ACPZ-3.3-R7,13,0,2347/2352,16,5.7616,4.1000,7.2000,2026-03-25
ADM7150ACPZ-3.3-R7,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1024818,2025-11-05,ADM7150ACPZ-3.3-R7,13,0,2347/2352,16,5.7616,4.1000,7.2000,2026-03-25
ADM7150ACPZ-3.3-R7,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1024680,2025-10-21,ADM7150ACPZ-3.3-R7,13,0,2347,16,5.7616,4.1000,7.2000,2026-03-25
ADM7150ACPZ-3.3-R7,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1024563,2025-09-30,ADM7150ACPZ-3.3-R7,13,0,2347/2352,16,5.7616,4.1000,7.2000,2026-03-25
ADM7154ACPZ-1.8-R7,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1025756,2026-03-16,ADM7154ACPZ-1.8-R7,996,0,25,,,,,
ADM7154ACPZ-1.8-R7,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1025615,2026-03-01,ADM7154ACPZ-1.8-R7,1125,0,2517,,,,,
ADM7154ACPZ-1.8-R7,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1025369,2026-01-21,ADM7154ACPZ-1.8-R7,1180,0,2517,,,,,
ADM7154ACPZ-1.8-R7,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1025242,2026-01-04,ADM7154ACPZ-1.8-R7,1180,0,2517,,,,,
ADM7154ACPZ-1.8-R7,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1025129,2025-12-15,ADM7154ACPZ-1.8-R7,1500,0,2517,,,,,
ADM7154ACPZ-1.8-R7,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1025023,2025-12-02,ADM7154ACPZ-1.8-R7,1500,0,2517,,,,,
ADM7154ACPZ-1.8-R7,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1024921,2025-11-18,ADM7154ACPZ-1.8-R7,1500,0,2517,,,,,
ADM7154ACPZ-1.8-R7,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1024818,2025-11-05,ADM7154ACPZ-1.8-R7,1500,0,2517,,,,,
ADM7154ACPZ-1.8-R7,Broker Stock Offer,Sing Sun Electronics Ltd,1024804,2025-11-04,ADM7154ACPZ-1.8-R7,0,0,,,,,,
ADM7154ACPZ-1.8-R7,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1024680,2025-10-21,ADM7154ACPZ-1.8-R7,1500,0,2517,,,,,
ADM7154ACPZ-1.8-R7,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1024563,2025-09-30,ADM7154ACPZ-1.8-R7,1500,0,2517,,,,,
ADP5052ACPZ-R7,Broker Stock Offer,Sourceability North America,1024559,2025-09-29,ADP5052ACPZ-R7,5711,0,,,,,,
