decommit_mpn,decommit_qty,vq_count,avg_vq_cost,min_vq_cost,max_vq_cost,latest_vq_date,vq_vendors
AD5791ARUZ,7,32,140.5383,61.4800,187.5700,2025-10-30,"Action (HK) Technology Ltd | Arrow Electronics | Digi-Key Electronics | Dragon Core Electronics (HK) Co., Limited | EQ INTERNATIONAL (HONG KONG) HOLDING GROUP LIMITED | Fixchips Global Limited | Guiyu Electronics Group (HK) Ltd | HD-KJ Group Electronic Co., Ltd | HK Firsttop Technology Ltd | Keming Electronics Development Co., Ltd | SMARTEL ELECTRONICS (ASIA) CO LTD | Southchip Limited | Unix Electronics Technology Co., Ltd | Xinshop Electronics Co., Ltd "
LT8648SEV#PBF,1,16,117.2338,86.0000,154.0000,2026-03-11,"EC Infinite Technology Co., Ltd | Fixchips Global Limited | HK Firsttop Technology Ltd | Hong Kong ShunChiu Industry Development Limited | Howeher Co.，Limited | Keming Electronics Development Co., Ltd | Momntech Limited | SMARTEL ELECTRONICS (ASIA) CO LTD | Southchip Limited | Sunshine Electronics (HK) Co.,Limited | Winking Semiconductor Co., Ltd"
LTC1668IG#PBF,9,4,53.0000,45.0000,68.0000,2026-03-17,"Ample Solutions Co., Ltd | HJC Electronic (HK) Ltd | Momntech Limited"
LTM4644EY#PBF,1,28,28.9006,24.9400,39.7900,2025-10-30,"Arrow Electronics | Digi-Key Electronics | Dragon Core Electronics (HK) Co., Limited | Fixchips Global Limited | HK Firsttop Technology Ltd | Hong Kong Duan Que Electronics Co., Limited | Keming Electronics Development Co., Ltd | Link Technologies Ltd"
AD780BRZ-REEL7,1,3,18.3600,18.0000,19.0000,2025-10-08,"Ample Solutions Co., Ltd | Fixchips Global Limited | PGC-IC Ltd"
AD797ARZ-REEL7,15,7,7.0774,5.2800,10.0750,2026-03-16,"Arrow Electronics | Digi-Key Electronics | Fixchips Global Limited | PGC-IC Ltd | Semgoal Electronics Ltd | Southchip Limited | Xin Jun Hong (HK) Industry Co., Ltd"
AD620BRZ,3,17,6.3641,4.5000,11.0500,2025-10-30,"A-Power Electronic Asia Ltd | Arrow Electronics | Digi-Key Electronics | EQ INTERNATIONAL (HONG KONG) HOLDING GROUP LIMITED | Fixchips Global Limited | HK Firsttop Technology Ltd | Keming Electronics Development Co., Ltd"
ADM7150ACPZ-3.3-R7,3,15,5.6723,4.1000,7.2000,2026-03-25,"Analog Devices | Arrow Electronics | CHIP ENERGY INTERNATIONAL CO.,LIMITED | Digi-Key Electronics | HK Firsttop Technology Ltd | Momntech Limited | Mouser | Newark in One (Element 14) | Richardson RFPD | Sing Sun Electronics Ltd | Skyeast International Group Ltd | Xin Jun Hong (HK) Industry Co., Ltd"
AD712KRZ-REEL7,1,15,3.7747,3.5100,4.5180,2025-10-13,"Action (HK) Technology Ltd | CHIP ENERGY INTERNATIONAL CO.,LIMITED | Dragon Core Electronics (HK) Co., Limited | EQ INTERNATIONAL (HONG KONG) HOLDING GROUP LIMITED | Fixchips Global Limited | HD-KJ Group Electronic Co., Ltd | HK Firsttop Technology Ltd | Keming Electronics Development Co., Ltd | SMARTEL ELECTRONICS (ASIA) CO LTD | Southchip Limited | Valley Electronics(HK) Limited | Xinshop Electronics Co., Ltd "
ADT7470ARQZ-REEL7,1,13,3.7014,2.0000,6.0000,2025-11-18,"A-Power Electronic Asia Ltd | Arrow Electronics | Digi-Key Electronics | Dragon Core Electronics (HK) Co., Limited | EC Infinite Technology Co., Ltd | EQ INTERNATIONAL (HONG KONG) HOLDING GROUP LIMITED | Skyeast International Group Ltd | Yagee Electronics Co., Ltd | Yuguang International (HK) Co., Ltd"
LT3045EDD#TRPBF,1,14,3.4646,3.0000,4.3220,2025-11-12,"Arrow Electronics | CHIP ENERGY INTERNATIONAL CO.,LIMITED | Digi-Key Electronics | Dragon Core Electronics (HK) Co., Limited | EQ INTERNATIONAL (HONG KONG) HOLDING GROUP LIMITED | HK Firsttop Technology Ltd | Hong Kong ShunChiu Industry Development Limited | Keming Electronics Development Co., Ltd | SMARTEL ELECTRONICS (ASIA) CO LTD | Sing Sun Electronics Ltd | Uni-innovation(HK)Technology Co.,Limited | Xin Jun Hong (HK) Industry Co., Ltd | Yagee Electronics Co., Ltd"
LT1763CDE#TRPBF,1,11,3.1963,2.3000,3.7320,2025-11-18,Arrow Electronics | Digi-Key Electronics | Fixchips Global Limited | HK Firsttop Technology Ltd | SMARTEL ELECTRONICS (ASIA) CO LTD | Skyeast International Group Ltd
LT1963AES8#PBF,2,5,2.5206,2.1800,2.8000,2026-03-24,"Fixchips Global Limited | Hong Kong Duan Que Electronics Co., Limited | PGC-IC Ltd | Xin Jun Hong (HK) Industry Co., Ltd"
