opportunity_tier,ge_mpn,ge_total_qty,ge_price,rfq_number,rfq_date,rfq_type,customer,rfq_mpn,rfq_qty,rfq_target_price,coverage_pct,vq_count,avg_vq_cost,min_vq_cost,max_vq_cost,latest_vq_date,est_opportunity_value,other_offer_count,other_offer_types,other_offer_partners,self_match
TIER_1,MT48LC16M16A2P-7E:G,11257,0,1130670,2026-03-04,Stock,"Shenzhen Tianyue Electronic Co., Ltd",MT48LC16M16A2P-7E:G,39337,0,29,2,0.5000,0.5000,0.5000,2026-03-18,19668.50,,,,NO
TIER_1,EPM3032ATC44-10N,3275,0,1128710,2026-01-16,EOL/LTB,"MKS Instruments, Inc.",EPM3032ATC44-10N,10050,0,33,18,1.2094,0.8400,2.4500,2026-01-21,12154.47,13,"Broker Stock Offer, Customer Excess","Celestica, SFO Technologies, Southchip Limited, VERY CHIP CO., LIMITED, Very Chip Co., Limited",NO
TIER_1,EPM7128AETC100-7N,463,0,1124543,2025-10-08,EOL/LTB,BAE SYSTEMS,EPM7128AETC100-7N,455,0,102,14,26.1343,11.6200,38.5000,2026-02-24,11891.11,,,,NO
TIER_1,EPCS16SI8N,19670,0,1128015,2025-12-29,PPV,Venture Corporation Ltd,EPCS16SI8N,5280,1.425,373,12,6.8943,3.9800,30.0000,2026-01-23,7524.00,3,Broker Stock Offer,"Link Cost, Southchip Limited",NO
TIER_2,M25P40-VMN6TPB,5251,0,1124644,2025-10-10,EOL/LTB,Emerson,M25P40-VMN6TPB,477,9.52,1101,12,0.6537,0.1555,0.8820,2025-11-10,4541.04,2,Customer Excess,"Plexus Corp., Sanmina Corporation",NO
TIER_2,EPCS4SI8N,4581,0,1124644,2025-10-10,EOL/LTB,Emerson,EPCS4SI8N,477,9.52,960,19,2.7336,1.3560,11.4379,2026-03-04,4541.04,,,,NO
TIER_2,EPCS4SI8N,4581,0,1130689,2026-03-04,EOL/LTB,Acron Aviation,EPCS4SI8N,1600,0,286,19,2.7336,1.3560,11.4379,2026-03-04,4373.76,,,,NO
TIER_2,EPM7128AETC100-7N,463,0,1127397,2025-12-10,EOL/LTB,BAE SYSTEMS,EPM7128AETC100-7N,155,0,299,14,26.1343,11.6200,38.5000,2026-02-24,4050.82,,,,NO
TIER_2,EPCS4SI8N,4581,0,1128015,2025-12-29,PPV,Venture Corporation Ltd,EPCS4SI8N,3014,1.23333,152,19,2.7336,1.3560,11.4379,2026-03-04,3717.26,,,,NO
TIER_2,EPM7128AETC100-7N,463,0,1130186,2026-02-20,EOL/LTB,BAE SYSTEMS,EPM7128AETC100-7N,55,0,842,14,26.1343,11.6200,38.5000,2026-02-24,1437.39,,,,NO
TIER_2,EPCS16SI8N,19670,0,1125424,2025-10-28,Shortage,Astute Group (Astute Electronics),EPCS16SI8N,200,0,9835,12,6.8943,3.9800,30.0000,2026-01-23,1378.86,3,Broker Stock Offer,"Link Cost, Southchip Limited",NO
TIER_2,EPCS4SI8N,4581,0,1129793,2026-02-10,EOL/LTB,Acron Aviation,EPCS4SI8N,500,0,916,19,2.7336,1.3560,11.4379,2026-03-04,1366.80,,,,NO
