opportunity_tier,tier_reasoning,rfq_search_key,rfq_date,rfq_type,customer_name,rfq_mpn,rfq_qty,rfq_target_price,excess_offer_key,excess_date,excess_partner,excess_mpn,excess_qty,excess_price,date_code,lead_time,qty_coverage_pct,total_excess_sources,total_available_qty,combined_coverage_pct,vq_count,avg_vq_cost,min_vq_cost,max_vq_cost,latest_vq_date,rfq_count_90d,total_rfq_qty_90d,est_opportunity_value,match_type,flag_low_single_source_coverage,flag_datecode_risk,flag_no_pricing,flag_self_match
TIER_1,High value ($53.7K); strong VQ data (4 quotes); single source full coverage,1129840,2026-02-11,Stock,General Dynamics,BCM54220SB0IFBG,,,1025332,2026-01-20,Sanmina Corporation,BCM54220SB0IFBG,5727,0,,,,1,5727,,4,9.3750,6.9300,12.5000,2025-10-13,,,53690.63,EXACT,,,,
TIER_1,High value ($23.8K); 10 VQ quotes; large excess qty available,1129840,2026-02-11,Stock,General Dynamics,16TQC100MYF,,,1025531,2026-02-10,Celestica,16TQC100MYF,36215,0,,,,2,36472,,10,0.6563,0.2080,1.2679,2025-11-05,,,23767.90,EXACT,,,,
TIER_1,High value ($17.6K); VQ confirmed pricing ($13.50); active RFQ demand (2200 qty),1129840,2026-02-11,Stock,General Dynamics,LTC2977IUP#TRPBF,,,1025531,2026-02-10,Celestica,LTC2977IUP#TRPBF,1305,0,,,,1,1305,,1,13.5000,13.5000,13.5000,2025-11-24,1,2200,17617.50,EXACT,,,,
TIER_1,High value ($6.5K); 6 VQ quotes confirm pricing; active RFQ demand (4405 qty),1129840,2026-02-11,Stock,General Dynamics,LT3070EUFD#TRPBF,,,1025531,2026-02-10,Celestica,LT3070EUFD#TRPBF,1500,0,,,,1,1500,,6,4.3462,4.2000,4.4800,2025-09-29,1,4405,6519.30,EXACT,,,,
TIER_1,High value ($6.3K); 21 VQs strong pricing confidence; multi-source (2); strong demand (20K+ qty across 2 RFQs),1129855,2026-02-11,Shortage,Applied Materials,LCMXO3LF-2100C-5BG256C,5355,,1025531,2026-02-10,Celestica,LCMXO3LF-2100C-5BG256C,770,,,,14.4,2,839,15.7,21,8.2050,3.7710,19.5000,2026-01-06,2,20355,6317.85,EXACT,YES - 14.4% this source,,,
TIER_1,High value ($4.9K); 8 VQ quotes; full coverage (498%),1129832,2026-02-11,Shortage,CEI,88E1510-A0-NNB2C000,120,,1025531,2026-02-10,Celestica,88E1510-A0-NNB2C000,597,0,,,497.5,1,597,497.5,8,8.2339,5.7230,10.4358,2025-08-22,1,120,4915.64,EXACT,,,,
TIER_1,Full coverage (208%); no VQ but strong demand signal,1129837,2026-02-11,Shortage,Kaynes Technology India Pvt. Ltd.,524MILFT,342,,1025531,2026-02-10,Celestica,524MILFT,710,0,,,207.6,1,710,207.6,,,,,,,684,,EXACT,,,YES,
TIER_2,Supplemental source for Tier 1 part (LCMXO3LF); aged 2023 date code but only alternative source,1129855,2026-02-11,Shortage,Applied Materials,LCMXO3LF-2100C-5BG256C,5355,,1025435,2026-01-28,Neways Electronics International NV,LCMXO3LF-2100C-5BG256C,69,,2023,,1.3,2,839,15.7,21,8.2050,3.7710,19.5000,2026-01-06,2,20355,566.15,EXACT,YES - 1.3% this source,AGED_2023 - only alternative source; pursue,,
TIER_2,Moderate value ($1.5K); full coverage (102%); no VQ data for pricing validation,1129833,2026-02-11,Shortage,East West Manufacturing,T405-600H,12000,0.125,1025531,2026-02-10,Celestica,T405-600H,12215,0,,,101.8,1,12215,101.8,,,,,,,12000,1526.88,EXACT,,,YES,
TIER_2,Supplemental source for BCM5241A1IMLG; 26 VQs strong pricing; moderate value ($2.6K),1129840,2026-02-11,Stock,General Dynamics,BCM5241A1IMLG,,,1025531,2026-02-10,Celestica,BCM5241A1IMLG,2971,0,,,,2,5554,,26,0.8647,0.7000,2.2000,2026-02-11,,,2569.02,EXACT,,,,
TIER_2,Second source for BCM5241A1IMLG; 26 VQs; moderate value ($2.2K),1129840,2026-02-11,Stock,General Dynamics,BCM5241A1IMLG,,,1025345,2026-01-20,BENCHMARK ELECTRONICS,BCM5241A1-IMLG,2583,0,,,,2,5554,,26,0.8647,0.7000,2.2000,2026-02-11,,,2233.52,EXACT,,,,
TIER_2,Low single-source value but demand exists; 4 VQ quotes confirm pricing,1129833,2026-02-11,Shortage,East West Manufacturing,STP16CPC26TTR,20000,0.22,1025531,2026-02-10,Celestica,STP16CPC26TTR,1111,0,,,5.6,1,1111,5.6,4,0.5023,0.4920,0.5130,2025-10-30,1,20000,558.06,EXACT,YES - 5.6%,,,
TIER_3,Low value ($358); minimal VQ data (1 quote at $0.14),1129840,2026-02-11,Stock,General Dynamics,HX1188NLT,,,1025531,2026-02-10,Celestica,HX1188NLT,2559,0,,,,1,2559,,1,0.1400,0.1400,0.1400,2025-09-29,,,358.26,EXACT,,,,
TIER_3,Low coverage (17.6%); no VQ or pricing data,1129837,2026-02-11,Shortage,Kaynes Technology India Pvt. Ltd.,IRF7490TRPBF,14600,,1025531,2026-02-10,Celestica,IRF7490TRPBF,2563,0,,,17.6,1,2563,17.6,,,,,,,14600,,EXACT,YES - 17.6%,,YES,
