Offer_MPN,Source_Type,Source_MPN,Supplier,Unit_Price,Qty,Date_Code,Quote_Date,Lead_Time
CAT24C04WI-GT3,VQ,CAT24C04WI-GT3,,0.113,709,25+,2026-01-20,In Stock
CAT24C04WI-GT3,VQ,CAT24C04WI-GT3,,0.118,709,25+,2026-01-20,In Stock
H5AN4G6NBJR-UHC,Market Offer,H5AN4G6NBJR-UHC,Semihouse,7.7,3200,25+,2026-01-29,stock HK
H5AN4G6NBJR-UHC,Market Offer,H5AN4G6NBJR-UHC,Sinobest International Technology Ltd (SBT Global),7.3,12800,,2026-01-22,5 days
H5AN4G6NBJR-UHC,Market Offer,H5AN4G6NBJR-UHC,Semihouse,7.26,3200,25+,2026-01-09,stock�
H5AN4G6NBJR-UHC,Market Offer,H5AN4G6NBJR-UHC,Semihouse,5.5,6400,25+,2026-01-06,"1wks,rcf"
H5AN8G6NCJR-VKC,VQ,H5AN8G6NCJR-VKC,,13.7956,1290,20+,2026-02-05,
H5AN8G6NCJR-VKC,VQ,H5AN8G6NCJR-VKC,,15.3285,1290,21+,2026-02-05,
H5AN8G6NCJR-VKC,VQ,H5AN8G6NCJR-VKC,,21.2555,1290,22+,2026-02-05,
H5AN8G6NCJR-VKC,VQ,H5AN8G6NCJR-VKC,,12.9,2860,20+,2026-02-04,
H5AN8G6NCJR-VKC,VQ,H5AN8G6NCJR-VKC,,13.1,2860,20+,2026-02-04,
H5AN8G6NCJR-VKC,VQ,H5AN8G6NCJR-VKC,,13.14,2860,20+,2026-02-04,
H5AN8G6NCJR-VKC,VQ,H5AN8G6NCJR-VKC,,14.42,1600,21+,2026-02-04,
H5AN8G6NCJR-VKC,VQ,H5AN8G6NCJR-VKC,,14.49,1600,21+,2026-02-04,
H5AN8G6NCJR-VKC,VQ,H5AN8G6NCJR-VKC,,14.65,1600,21+,2026-02-04,
H5AN8G6NCJR-VKC,VQ,H5AN8G6NCJR-VKC,,14.72,5285,21+/22+,2026-02-04,
H5AN8G6NCJR-VKC,VQ,H5AN8G6NCJR-VKC,,14.78,1600,21+,2026-02-04,
H5AN8G6NCJR-VKC,VQ,H5AN8G6NCJR-VKC,,14.81,1600,21+,2026-02-04,
H5AN8G6NCJR-VKC,VQ,H5AN8G6NCJR-VKC,,15.11,1600,20+,2026-02-04,
H5AN8G6NCJR-VKC,VQ,H5AN8G6NCJR-VKC,,15.11,5285,21+,2026-02-04,
H5AN8G6NCJR-VKC,VQ,H5AN8G6NCJR-VKC,,17.39,2000,20+,2026-02-04,
H5AN8G6NCJR-VKC,VQ,H5AN8G6NCJR-VKC,,17.54,2000,20+,2026-02-04,
H5AN8G6NCJR-VKC,VQ,H5AN8G6NCJR-VKC,,17.66,2000,20+,2026-02-04,
H5AN8G6NCJR-VKC,VQ,H5AN8G6NCJR-VKC,,18.0438,2000,20+,2026-02-04,
H5AN8G6NCJR-VKC,VQ,H5AN8G6NCJR-VKC,,18.13,2000,20+,2026-02-04,
H5AN8G6NCJR-VKC,VQ,H5AN8G6NCJR-VKC,,20.3,1600,22+,2026-02-04,
H5AN8G6NCJR-VKC,VQ,H5AN8G6NCJR-VKC,,22.08,1800,20+,2026-02-04,
H5AN8G6NCJR-VKC,VQ,H5AN8G6NCJR-VKC,,22.5547,1800,20+,2026-02-04,
H5AN8G6NCJR-VKC,VQ,H5AN8G6NCJR-VKC,,29.43,3200,23+,2026-02-04,
H5AN8G6NCJR-VKC,VQ,H5AN8G6NCJR-VKC,,30.22,3200,22+,2026-02-04,
H5AN8G6NCJR-VKC,VQ,H5AN8G6NCJR-VKC,,30.9,20800,25+,2026-02-04,
H5AN8G6NCJR-VKC,Market Offer,H5AN8G6NCJR-VKC,Semihouse,30.8,30000,25+,2026-01-21,rcf
H5AN8G6NCJR-VKC,VQ,H5AN8G6NCJR-VKC,,13.7,1600,20+,2026-01-14,
H5AN8G6NCJR-VKC,VQ,H5AN8G6NCJR-VKC,,13.8,1600,20+,2026-01-14,
H5AN8G6NCJR-VKC,VQ,H5AN8G6NCJR-VKC,,13.88,1600,20+,2026-01-14,
H5AN8G6NCJR-VKC,VQ,H5AN8G6NCJR-VKC,,13.97,1600,20+,2026-01-14,
H5AN8G6NCJR-VKC,VQ,H5AN8G6NCJR-VKC,,14.43,5285,20+,2026-01-14,
H5AN8G6NCJR-VKC,VQ,H5AN8G6NCJR-VKC,,14.61,5285,21+,2026-01-14,
H5AN8G6NCJR-VKC,VQ,H5AN8G6NCJR-VKC,,14.71,5285,21+,2026-01-14,
H5AN8G6NCJR-VKC,VQ,H5AN8G6NCJR-VKC,,16.87,5285,21+,2026-01-14,
MT25QU128ABA1EW7-0SIT,Market Offer,MT25QU128ABA1EW7-0SIT,Hong Kong ShunChiu Industry Development Limited,3.35,0,Within 2yrs,2026-02-04,
MT25QU128ABA1EW7-0SIT,Market Offer,MT25QU128ABA1EW7-0SIT,Hong Kong ShunChiu Industry Development Limited,3.35,4000,,2026-02-03,STK 1week
MT25QU128ABA1EW7-0SIT,Market Offer,MT25QU128ABA1EW7-0SIT,Onway (HK) Technology Ltd,3,4000,25+,2026-01-22,1-2 days
MT25QU128ABA1EW7-0SIT,Market Offer,MT25QU128ABA1EW7-0SIT ,Cystron Technology Limited,3.2,8000,24+ ,2026-01-21,2days 
MT25QU128ABA1EW7-0SIT,Market Offer,MT25QU128ABA1EW7-0SIT,Semihouse,2.97,10000,25+,2026-01-20,stock
MT25QU128ABA1EW7-0SIT,Market Offer,MT25QU128ABA1EW7-0SIT ,Cystron Technology Limited,2.3,0,24+ ,2026-01-05,2days 
MT40A1G8SA-075:E,Market Offer,MT40A1G8SA-075:E,"Quiksol International (HK) Pte., Ltd",38,10000,DC24+/25+,2026-02-10,STOCK
MT40A1G8SA-075:E,Market Offer,MT40A1G8SA-075:E,NX Electronics Ltd,32.5,10000,,2026-02-03,stock
MT40A1G8SA-075:E,Market Offer,MT40A1G8SA-075:E,DST INTERNATIONAL GROUP (H. K) LIMITED,38.5,10000,25+,2026-02-03,2 days
MT40A1G8SA-075:E,Market Offer,MT40A1G8SA-075:E,Semihouse,38.5,20006,25+,2026-01-29,
MT40A1G8SA-075:E,Market Offer,MT40A1G8SA-075:E,NX Electronics Ltd,30,10000,,2026-01-21,stock
MT40A1G8SA-075:E,Market Offer,MT40A1G8SA-075:E,ECtronics Technology Ltd,10,875,21+ ,2026-01-20,�� STOCK
MT40A1G8SA-075:E,Market Offer,MT40A1G8SA-075:E�,Archermind Technology (HK) Ltd,30,10000,25+,2026-01-20,
MT40A1G8SA-075:E,Market Offer,MT40A1G8SA-075:E,NX Electronics Ltd,31,10000,,2026-01-20,2 days
MT40A1G8SA-075:E,Market Offer,MT40A1G8SA-075:E,ECtronics Technology Ltd,9.29,875,21+ ,2026-01-06, STOCK
MT40A1G8SA-075:E,Market Offer,MT40A1G8SA-075:E,Semihouse,21.45,4000,25+,2026-01-06,"stk,rcf"
MT40A1G8SA-075:E,Market Offer,MT40A1G8SA-075:E,ECtronics Technology Ltd,12.06,875,21+ ,2025-12-28,STOCK
MT40A1G8SA-075:E,Market Offer,MT40A1G8SA-075:E,ECtronics Technology Ltd,12.06,875,21+ ,2025-12-22,STOCK
