Chuboe_Offer_ID[Value],Chuboe_MPN,Chuboe_MFR_ID[Value],Chuboe_MFR_Text,Qty,Chuboe_Lead_Time,Chuboe_Package_Desc,C_Country_ID[Name],Chuboe_Date_Code,C_Currency_ID[ISO_Code],Description,IsActive,Chuboe_MPN_Clean,Chuboe_CPC,PriceEntered,Chuboe_MOQ,Chuboe_SPQ
,FDC5612,Fairchild,,5624,stock,,,,,,,,10161485-101,,,
,LP3470IM5-3.08,Texas Instruments,,3001,stock,,,,,,,,68005180-101,,,
,LP3470IM5X-3.08,Texas Instruments,,3001,stock,,,,,,,,68005180-101,,,
,SN65C1168EPWG4,Texas Instruments,,41985,stock,,,,,,,,68005118-101,,,
,SN65C1168EPWRG4,Texas Instruments,,41985,stock,,,,,,,,68005118-101,,,
,ADS1232IPW,Texas Instruments,,3994,stock,,,,,,,,68002241-101,,,
,ADS1232IPWG4,Texas Instruments,,3994,stock,,,,,,,,68002241-101,,,
,ADS1232IPWR,Texas Instruments,,3994,stock,,,,,,,,68002241-101,,,
,ADS1232IPWRG4,Texas Instruments,,3994,stock,,,,,,,,68002241-101,,,
,TMS320F2806PZA,Texas Instruments,,14445,stock,,,,,,,,68000501-101,,,
,JANS2N3637UB,,,241,stock,,,,,,,,34107835-207,,,
,33AJ4705,,,241,stock,,,,,,,,34107835-207,,,
,494-JANS2N3637UB,,,241,stock,,,,,,,,34107835-207,,,
,1382400-JANS2N3637UB,,,241,stock,,,,,,,,34107835-207,,,
,LT1236CIS8-5,Linear Technology Corp,,5066,stock,,,,,,,,10158972-101,,,
