Chuboe_Offer_ID[Value],Chuboe_MPN,Chuboe_MFR_ID[Value],Chuboe_MFR_Text,Qty,Chuboe_Lead_Time,Chuboe_Package_Desc,C_Country_ID[Name],Chuboe_Date_Code,C_Currency_ID[ISO_Code],Description,IsActive,Chuboe_MPN_Clean,Chuboe_CPC,PriceEntered,Chuboe_MOQ,Chuboe_SPQ
,EPM240F100C5N,Altera,,9465,,,United States,,,SBU: Ultrasound,,,,,,
,EP3SL110F780C3G,Altera,,8781,,,United States,,,SBU: Ultrasound,,,,,,
,EPM240T100C5N,Altera,,5374,,,United States,,,SBU: Ultrasound,,,,,,
,EP3C80F484C7N,Altera,,3534,,,United States,,,SBU: Ultrasound,,,,,,
,EPM1270F256C5N,Altera,,1354,,,United States,,,SBU: Ultrasound,,,,,,
,10M04SAU169C8G,Altera,,1174,,,United States,,,SBU: Ultrasound,,,,,,
,EPM240T100I5N,Altera,,910,,,United States,,,SBU: Ultrasound,,,,,,
,10M04SCU169C8G,Altera,,275,,,United States,,,SBU: Ultrasound,,,,,,
,EP2C20F484C8N,Altera,,1175,,,United States,,,SBU: IGT,,,,,,
,EP2C35F672C7N,Altera,,688,,,United States,,,SBU: IGT,,,,,,
,EPM1270T144C3N,Altera,,575,,,United States,,,SBU: IGT,,,,,,
,10CL006YU256C8G,Altera,,399,,,United States,,,SBU: IGT,,,,,,
,EP3C25F324C8N,Altera,,233,,,United States,,,SBU: IGT,,,,,,
,10CX150YF780E6G,Altera,,220,,,United States,,,SBU: IGT,,,,,,
,10CX220YF780E5G,Altera,,200,,,United States,,,SBU: IGT,,,,,,
,EPM240T100C5N,Altera,,116,,,United States,,,SBU: IGT,,,,,,
,EP3C40F484C8N,Altera,,2,,,United States,,,SBU: IGT,,,,,,
,EP4CGX110CF23I7N,Altera,,1357,,,United States,,,SBU: ISS,,,,,,
,EP3C80F484I7N,Altera,,448,,,United States,,,SBU: ISS,,,,,,
,EP4CGX150CF23I7N,Altera,,57,,,United States,,,SBU: ISS,,,,,,
