RFQ,Customer Part Number,% Under Target,Type,Supplier/Excess Partner,MO Type,Date Code,Supplier MPN,Created Date,% of Demand,Opp Amount,Supplier Qty,Supplier Price,Minimum Suggested Resale,Min Resale Under Target,Min GP,Min Margin,RFQ Target,RFQ Qty,Max GP,Max Margin,RFQ Number,RFQ MPN,RFQ Created,RFQ Customer,Days Btw MO/VQ & RFQ,RFQ Manufacturer
1,EH2300002009,0.9999763593380615,MO - 1023774,"Integrated Micro-Electronics, Inc. (IMI)",Customer Excess,,ABS07-32.768KHZ-7-T,2025-07-01T04:08:06,0.09984871406959153,279.603,66,0.00001,0.48109925869894105,NO,318,0.9999792142685336,0.423,661,279.59639,0.9999763593380615,1058890,ABS0732768KHZ7T,2024-02-22T18:12:42,GPV,495,Abracon
1,OM1009000655,0.9999606299212599,MO - 1023774,"Integrated Micro-Electronics, Inc. (IMI)",Customer Excess,,ABS07-32.768KHZ-T,2025-07-01T04:08:41,0.021016617790811338,519.684,43,0.00001,0.15543521994134898,YES,318,0.9999356645166793,0.254,2046,519.66354,0.9999606299212599,1058890,ABS0732768KHZT,2024-02-22T18:12:42,GPV,495,ABRACON
1,MRSMT710004Z,0.6825185185185185,MO - 1020108,Future Electronics Corporation,Broker Stock Offer,2247 2244 2301,ABM7-16.000MHZ-D2Y-T,2024-07-11T00:02:57,336.4102564102564,658.125,328000,0.2143,0.5404538461538462,YES,318.00000000000006,0.6034814045175707,0.675,975,449.18250000000006,0.6825185185185185,1058890,ABM716000MHZD2YT,2024-02-22T18:12:42,GPV,140,ABRACON
1,MRSMT710004Z,0.6715555555555556,MO - 1020458,Future Electronics Corporation,Broker Stock Offer,2247 2244 2301,ABM7-16.000MHZ-D2Y-T,2024-08-06T23:34:39,358.97435897435895,658.125,350000,0.2217,0.5478538461538461,YES,318,0.5953300290644613,0.675,975,441.96750000000003,0.6715555555555556,1058890,ABM716000MHZD2YT,2024-02-22T18:12:42,GPV,166,ABRACON
1,OM1009000655,0.610236220472441,MO - 1023527,Future Electronics Corporation,Broker Stock Offer,2401 2342 2342 CN,ABS07-32.768KHZ-T,2025-06-05T03:47:51,277.12609970674487,519.684,567000,0.099,0.254425219941349,NO,318,0.6108876312543943,0.254,2046,317.13,0.610236220472441,1058890,ABS0732768KHZT,2024-02-22T18:12:42,GPV,469,ABRACON
1,OM1009000655,0.610236220472441,MO - 1022134,Future Electronics Corporation,Broker Stock Offer,2342 2333,ABS07-32.768KHZ-T,2025-01-07T22:24:11,343.108504398827,519.684,702000,0.099,0.254425219941349,NO,318,0.6108876312543943,0.254,2046,317.13,0.610236220472441,1058890,ABS0732768KHZT,2024-02-22T18:12:42,GPV,320,ABRACON
1,OM1009000655,0.610236220472441,MO - 1022412,Future Electronics Corporation,Broker Stock Offer,2342 2333,ABS07-32.768KHZ-T,2025-02-12T09:39:55,334.3108504398827,519.684,684000,0.099,0.254425219941349,NO,318,0.6108876312543943,0.254,2046,317.13,0.610236220472441,1058890,ABS0732768KHZT,2024-02-22T18:12:42,GPV,356,ABRACON
1,OM1009000655,0.5472440944881889,VQ,PGC-IC Ltd,,25+,ABS07-32.768KHZ-T,2025-10-23T01:14:26,24.926686217008797,519.684,51000,0.115,0.27042521994134894,NO,317.99999999999994,0.5747438052377596,0.254,2046,284.394,0.5472440944881889,1058890,ABS0732768KHZT,2024-02-22T18:12:42,GPV,609,ABRACON
1,OM1009000655,0.5472440944881889,VQ,PGC-IC Ltd,,22+,ABS07-32.768KHZ-T,2025-10-23T01:14:27,8.79765395894428,519.684,18000,0.115,0.27042521994134894,NO,317.99999999999994,0.5747438052377596,0.254,2046,284.394,0.5472440944881889,1058890,ABS0732768KHZT,2024-02-22T18:12:42,GPV,609,ABRACON
1,OM1009000655,0.5472440944881889,VQ,"Keming Electronics Development Co., Ltd",,24+,ABS07-32.768KHZ-T,2025-03-05T11:42:33,1.466275659824047,519.684,3000,0.115,0.27042521994134894,NO,317.99999999999994,0.5747438052377596,0.254,2046,284.394,0.5472440944881889,1058890,ABS0732768KHZT,2024-02-22T18:12:42,GPV,377,ABRACON
