mpn,supplier_cost,floor_price,customer_target,suggested_price,supplier_qty,rfq_qty,suggested_gp_line,ct_gp_line,pricing_rationale,confidence_tier,alt_vq_sources
EP2AGX95EF35C4G,135,158.82,272.60,230.00,720,8520,68400.00,99072.00,"BIGGEST LINE: $68,400 GP at $230. $2.3M opp. Prioritize.",High,1
EP4SGX180HF35C4G,746,877.65,980.17,940.00,96,168,18624.00,22480.32,"$165K opp. $18,624 GP at $940 on 96 pcs. High-value Stratix.",Medium,2
EP2AGX65DF29C6G,80,94.12,145.35,128.00,360,1944,17280.00,23526.00,"$282K opp. $17,280 GP/line at $128. Top 3 line by GP.",High,1
WL1837MODGIMOCR,7.00,8.24,12.79,11.50,3600,8400,16200.00,20844.00,"Sole source, 42.9% fill. $16,200 GP/line. Top 5 line.",Medium,0
XC7K160T2FFG676C,35.50,41.76,80.42,68.00,400,3196,13000.00,17968.00,"$257K opp. $13,000 GP/line at $68. Top 5 by per-line GP.",Medium,3
LM2676SXADJNOPB,0.53,0.62,1.30,1.05,10000,16500,5200.00,7700.00,"3 alts, 60.6% fill, also stock. $5,200 GP/line. Strong.",High,3
OPA2336EA2K5,0.55,0.65,0.85,0.79,20000,222500,4800.00,6000.00,"Sole source. $4,800 GP/line at $0.79 on 20K pcs",High,0
UCD90120ARGCR,2.00,2.35,3.48,3.10,4000,6000,4400.00,5920.00,"8 alts, 66.7% fill. $4,400 GP/line at $3.10. Strong.",High,8
5CEBA5F23C7N,33.42,39.32,39.99,39.50,589,4080,3580.12,3869.73,"Tight spread (1.7%), 14 alts. Per-line GP solid at 589 pcs",Medium,14
ADS1115IDGSR,0.50,0.59,1.52,1.20,5000,15000,3500.00,5100.00,"Sole source, incredible spread. $3,500 GP/line at $1.20",High,0
MSP430F149IPMR,0.88,1.04,3.34,2.60,2000,4000,3440.00,4920.00,"7 alts, 50% fill. $3,440 GP/line at $2.60. Great per-line value.",Medium,7
CY8C5868AXILP032,6.58,7.74,11.58,10.25,4000,900,3303.00,4500.00,"Sole source, 444% demand. Uses RFQ qty (900) for GP: $3,303",High,0
OPA2277UA2K5,0.175,0.21,0.72,0.55,7500,50000,2812.50,4087.50,"9 alts but huge spread. $2,813 GP/line at $0.55",High,9
SN65HVD230DR,0.205,0.24,0.63,0.48,10000,50000,2750.00,4250.00,"13 alts, competition heavy. But $2,750 GP/line at $0.48 is solid.",High,13
"PCA9555PW,118",0.415,0.49,0.53,0.52,25000,62500,2625.00,2875.00,"1 alt, 40% fill. $2,625 GP/line at $0.52",High,1
TPS7A8400ARGRR,0.36,0.42,0.56,0.50,36000,18000,2520.00,3600.00,"5 alts, 200% fill. Uses RFQ qty: $2,520 GP/line at $0.50",High,5
XC6SLX1002CSG484I,40,47.06,96.25,80.00,61,212,2440.00,3431.25,"1 alt. Only 61 pcs but $2,440 GP/line at $80. Good per-piece value.",High,1
DP83848IVVXNOPB,0.40,0.47,1.08,0.88,5000,15000,2400.00,3400.00,"Sole source, huge spread. $2,400 GP/line at $0.88",High,0
ADS1015IRUGR,0.541,0.64,0.80,0.73,12000,12000,2268.00,3108.00,"5 alts, 100% fill. Per-line GP=$2,268 at my price. Solid.",High,5
