RFQ,Customer Part Number,% Under Target,Type,Supplier/Excess Partner,MO Type,Date Code,Supplier MPN,Created Date,% of Demand,Opp Amount,Supplier Qty,Supplier Price,Minimum Suggested Resale,Quotable,Floor GP,Floor Margin,RFQ Target,RFQ Qty,CT GP,CT Margin,RFQ Number,RFQ MPN,RFQ Created,RFQ Customer,Days Btw VQ & RFQ,RFQ Manufacturer,Confidence Tier,Alt VQ Sources
3494,OPA2277UA/2K5,0.7141,VQ,,,23+,OPA2277UA/2K5,2026-02-06 08:26:17.892,27.27,19800.00,7500,0.175,0.205882,YES,849.26,0.1500,0.72,27500,14987.50,0.7569,1113236,OPA2277UA2K5,2025-05-08 02:42:32.323,Plexus Corp.,7,TEXAS INSTRUMENTS,High,1
3493,OPA2277UA/2K5,0.7141,VQ,,,23+,OPA2277UA/2K5,2026-02-06 08:26:17.892,15.00,36000.00,7500,0.175,0.205882,YES,1544.12,0.1500,0.72,50000,27250.00,0.7569,1113236,OPA2277UA2K5,2025-05-08 02:42:32.323,Plexus Corp.,7,TEXAS INSTRUMENTS,High,1
4039,OPA2365AIDR,0.6827,VQ,,,23+,OPA2365AIDR,2026-02-06 08:53:39.82,25.00,8900.00,2500,0.24,0.282353,YES,423.53,0.1500,0.89,10000,6500.00,0.7303,1113236,OPA2365AIDR,2025-05-08 02:42:32.323,Plexus Corp.,7,TEXAS INSTRUMENTS,High,0
3807,MSP430F149IPMR,0.6619,VQ,,,,MSP430F149IPMR,2026-02-10 01:25:09.585,50.00,13360.00,2000,0.96,1.129412,YES,677.65,0.1500,3.34,4000,9520.00,0.7126,1113236,MSP430F149IPMR,2025-05-08 02:42:32.323,Plexus Corp.,3,TEXAS INSTRUMENTS,High,3
3539,SN65HVD230DR,0.6172,VQ,,,25+,SN65HVD230DR,2026-02-06 08:34:07.321,20.00,31500.00,10000,0.205,0.241176,YES,1808.82,0.1500,0.63,50000,21250.00,0.6746,1113236,SN65HVD230DR,2025-05-08 02:42:32.323,Plexus Corp.,7,TEXAS INSTRUMENTS,High,6
3582,ADS1115IDGSR,0.6130,VQ,,,23+,ADS1115IDGSR,2026-02-10 01:46:37.54,33.33,22800.00,5000,0.50,0.588235,YES,1323.53,0.1500,1.52,15000,15300.00,0.6711,1113236,ADS1115IDGSR,2025-05-08 02:42:32.323,Plexus Corp.,3,TEXAS INSTRUMENTS,High,0
3703,DP83848IVVX/NOPB,0.5643,VQ,,,23+,DP83848IVVX/NOPB,2026-02-08 20:32:38.18,33.33,16200.00,5000,0.4,0.470588,YES,1058.82,0.1500,1.08,15000,10200.00,0.6296,1113236,DP83848IVVXNOPB,2025-05-08 02:42:32.323,Plexus Corp.,4,TEXAS INSTRUMENTS,High,0
3808,MSP430F149IPMR,0.5536,VQ,,,,MSP430F149IPMR,2026-02-10 01:25:09.585,40.00,12650.00,2000,0.96,1.129412,YES,847.06,0.1500,2.53,5000,7850.00,0.6206,1113236,MSP430F149IPMR,2025-05-08 02:42:32.323,Plexus Corp.,3,TEXAS INSTRUMENTS,High,3
3623,LM2676SX-ADJ/NOPB,0.5204,VQ,,,23+,LM2676SX-ADJ/NOPB,2026-02-06 08:45:47.906,60.61,21450.00,10000,0.53,0.623529,YES,1543.24,0.1500,1.3,16500,12705.00,0.5923,1113236,LM2676SXADJNOPB,2025-05-08 02:42:32.323,Plexus Corp.,7,NATIONAL SEMICONDUCTOR,High,0
3622,LM2676SX-ADJ/NOPB,0.5204,VQ,,,23+,LM2676SX-ADJ/NOPB,2026-02-06 08:45:47.906,60.61,21450.00,10000,0.53,0.623529,YES,1543.24,0.1500,1.3,16500,12705.00,0.5923,1113236,LM2676SXADJNOPB,2025-05-08 02:42:32.323,Plexus Corp.,7,TEXAS INSTRUMENTS,High,0
4447,XC6SLX100-2CSG484I,0.5111,VQ,,,24+,XC6SLX100-2CSG484I,2026-02-09 21:54:25.254,28.77,20405.00,61,40,47.058824,YES,1496.47,0.1500,96.25,212,11925.00,0.5844,1113236,XC6SLX1002CSG484I,2025-05-08 02:42:32.323,Plexus Corp.,3,XILINX,High,1
1489,EP2AGX95EF35C4G,0.4174,VQ,,,23+,EP2AGX95EF35C4G,2026-02-06 02:11:49.56,8.45,2322552.00,720,135,158.823529,YES,202976.47,0.1500,272.6,8520,1172352.00,0.5048,1113236,EP2AGX95EF35C4G,2025-05-08 02:42:32.323,Plexus Corp.,7,INTEL,High,2
1492,EP2AGX65DF29C6G,0.3525,VQ,,,23+,EP2AGX65DF29C6G,2026-02-02 20:35:30.741,18.52,282560.40,360,80,94.117647,YES,27444.71,0.1500,145.35,1944,127040.40,0.4496,1113236,EP2AGX65DF29C6G,2025-05-08 02:42:32.323,Plexus Corp.,10,INTEL,High,2
