CPC,MPNs,Type,vs Target,RFQ Target,RFQ Qty,Source MPN,Supplier/Location,VQ Cost,Source Qty,Date Code,Floor Price,Suggested Resale,Resale Basis,% Under Tgt,Floor GP Line,CT GP Line,% Demand,Opp Amount,Confidence,Days Btw,VQ Alts,Sales History (12mo),Stock Offer Date
TPS2421-2DDAR,1,VQ,UNDER,0.4248,22500,TPS24212DDAR,Najie International Ltd,0.052,7500,25+,0.063111,0.074286,Cost-based 30% margin,85.1,83.33,2796.00,33.3%,9558.00,High,2,1,,
TL431BIDBZR,1,VQ,UNDER,0.1715,18000,TL431BIDBZR,Qiaocheng Technology Limited,0.03,18000,25+,0.043889,0.043889,Cost-based 30% margin,74.4,250.00,2547.00,100.0%,3087.00,High,2,5,,
ADP1763ACPZ-R7,1,VQ,UNDER,2.5977,1500,ADP1763ACPZR7,Fixchips Global Limited,1.16,1500,22+,1.364706,1.657143,Cost-based 30% margin,47.5,307.06,2156.55,100.0%,3896.55,High,2,4,,
SN74AVC4T245PWR,1,VQ,UNDER,0.135,148000,SN74AVC4T245PWR,Qiaocheng Technology Limited,0.075,148000,"",0.088235,0.107143,Cost-based 30% margin,34.6,1958.82,8880.00,100.0%,19980.00,High,2,4,,
REF200AU/2K5,1,VQ,UNDER,1.692,25000,REF200AU2K5,Qiaocheng Technology Limited,1,25000,22+,1.176471,1.428571,Cost-based 30% margin,30.5,4411.76,17300.00,100.0%,42300.00,High,2,4,,
LMV7219M5/NOPB,1,VQ,UNDER,0.324,9000,LMV7219M5NOPB,Fixchips Global Limited,0.194,9000,22+,0.228235,0.277143,Cost-based 30% margin,29.6,308.12,1170.00,100.0%,2916.00,High,2,3,,
SN74AVC4T774PWR,1,VQ,UNDER,0.2863,22000,SN74AVC4T774PWR,"SourceOne electronics Co., Limited",0.174,22000,22+,0.204706,0.248571,Cost-based 30% margin,28.5,675.53,2470.60,100.0%,6298.60,High,3,2,,
SN74CB3Q3257PWR,1,VQ,UNDER,0.1463,38000,SN74CB3Q3257PWR,Qiaocheng Technology Limited,0.095,38000,"",0.111765,0.135714,Cost-based 30% margin,23.6,637.06,1949.40,100.0%,5559.40,High,2,4,,
LM5013DDAR,1,VQ,UNDER,0.6748,22500,LM5013DDAR,Qiaocheng Technology Limited,0.46,22500,"",0.541176,0.674800,Target (margin 32%),19.8,1826.47,4833.00,100.0%,15183.00,High,2,1,,
TPS549A20RVER,1,VQ,UNDER,1.89,2500,TPS549A20RVER,Fixchips Global Limited,1.3,2500,22+,1.529412,1.890000,Target (margin 31%),19.1,573.53,1475.00,100.0%,4725.00,High,2,3,,
