CPC,MPNs,Type,vs Target,RFQ Target,RFQ Qty,Source MPN,Supplier/Location,VQ Cost,Source Qty,Date Code,Confidence,Days Btw,Floor Price,% Under Tgt,Floor GP Line,CT GP Line,% Demand,Opp Amount,VQ Alts
2299519-825,6,VQ,UNDER,0.25675,15000,OPA2277UA2K5,Dynamic Domain PTE Ltd,0.175,7500,23+,High,2,0.205882,19.8,231.62,613.13,50.0%,3851.25,2
5309975-19-825,1,VQ,UNDER,166.4,720,EP2AGX95EF35C4G,Vistron Electronics (US) Ltd,135,720,23+,High,2,158.823529,4.6,17152.94,22608.00,100.0%,119808.00,1
5793095-3-825,1,VQ,VERIFY QTY,4.485,1500,EPCQ64ASI16N,SKY CHIP (HK) TECHNOLOGY LIMITED,3.2,0,"",Medium,-7,3.764706,16.1,0.00,0.00,VERIFY,6727.50,5
1870394-604,3,VQ,OVER,0.975,2000,MSP430F149IPMR,"Original Chip Source Electronics Co., Limited",0.88,2000,"",Medium,-14,1.035294,-6.2,310.59,190.00,100.0%,1950.00,2
2367587-825,2,VQ,OVER,0.5655,10000,LM2676SXADJNOPB,Qiaocheng Technology Limited,0.53,10000,23+,High,2,0.623529,-10.3,935.29,355.00,100.0%,5655.00,1
5724902-825,2,VQ,OVER,0.51155,5000,ADS1115IDGSR,Shun Chiu (HK) Industry Development Ltd,0.50,5000,23+,High,6,0.588235,-15.0,441.18,57.75,100.0%,2557.75,1
2367587-825,2,Stock,CHECK WITH JAKE,0.5655,10000,LM2676SXADJNOPB,Stock - Hong Kong Warehouse,,250,"",Stock,,,,,,2.5%,5655.00,0
5724902-825,2,Stock,CHECK WITH JAKE,0.51155,5000,ADS1115IDGST,Stock - Austin Warehouse,,700,"",Stock,,,,,,14.0%,2557.75,0
455300089331-057,2,Stock,CHECK WITH JAKE,13.975,60,XC6SLX452FGG484I,Stock - Austin Warehouse,,2,"",Stock,,,,,,3.3%,838.50,0
5402763-340,2,Stock,CHECK WITH JAKE,0.24635,30000,TPS74401RGWR,Stock - Austin Warehouse,,2155,13+,Stock,,,,,,7.2%,7390.50,0
