CPC,MPNs,Type,vs Target,RFQ Target,RFQ Qty,Source MPN,Supplier/Location,VQ Cost,Source Qty,Date Code,Confidence,Days Btw,Floor Price,% Under Tgt,Floor GP Line,CT GP Line,% Demand,Opp Amount,VQ Alts,Last Sold Price,Last Sold Date,Times Sold 12mo,Stock Offer Date
2299519-825,6,VQ,UNDER,0.25675,15000,OPA2277UA2K5,Dynamic Domain PTE Ltd,0.175,7500,23+,High,2,0.205882,19.8,231.62,613.13,50.0%,3851.25,2,0.35,2026-02-08,3,
5309975-19-825,1,VQ,UNDER,166.4,720,EP2AGX95EF35C4G,Vistron Electronics (US) Ltd,135,720,23+,High,2,158.823529,4.6,17152.94,22608.00,100.0%,119808.00,2,220,2026-02-06,7,
5793095-3-825,1,VQ,VERIFY QTY,4.485,1500,EPCQ64ASI16N,SKY CHIP (HK) TECHNOLOGY LIMITED,3.2,0,"",Medium,-7,3.764706,16.1,0.00,0.00,VERIFY,6727.50,12,11.2,2025-09-25,13,
5661415-2-825,1,VQ,VERIFY QTY,562.25,240,10AX090H4F34E3SG,,660,0,"",Medium,-7,776.470588,-38.1,0.00,0.00,VERIFY,134940.00,3,865,2025-09-26,4,
1870394-604,3,VQ,OVER,0.975,2000,MSP430F149IPMR,"Original Chip Source Electronics Co., Limited",0.88,2000,"",Medium,-14,1.035294,-6.2,310.59,190.00,100.0%,1950.00,4,1.5,2026-02-10,3,
2367587-825,2,VQ,OVER,0.5655,10000,LM2676SXADJNOPB,Qiaocheng Technology Limited,0.53,10000,23+,High,2,0.623529,-10.3,935.29,355.00,100.0%,5655.00,1,0.73,2026-02-08,3,
5724902-825,2,VQ,OVER,0.51155,5000,ADS1115IDGSR,Shun Chiu (HK) Industry Development Ltd,0.50,5000,23+,High,6,0.588235,-15.0,441.18,57.75,100.0%,2557.75,1,0.7,2026-02-10,1,
5309975-9-825,1,VQ,OVER,73.58,576,EP2AGX65DF29C6G,Vistron Electronics (US) Ltd,80,360,23+,High,-2,94.117647,-27.9,5082.35,-2311.20,62.5%,42382.08,2,118,2026-02-02,4,
2192923-825,2,VQ,OVER,0.494,15000,HCPL0631500E,"Leip (HK) Technology Co., Ltd",0.54,1500,25+,High,2,0.635294,-28.6,142.94,-69.00,10.0%,7410.00,1,0.77,2026-02-08,8,
421548-001-825,6,VQ,OVER,0.494,90000,OPA2336EA2K5,Qadira Technology Ltd,0.55,20000,23+,High,-1,0.647059,-31.0,1941.18,-1120.00,22.2%,44460.00,1,0.76,2025-11-20,3,
2324958-825,4,VQ,OVER,0.17225,7500,SN65HVD230DR,"Excellence Time Electronics Co., Ltd",0.205,10000,25+,High,2,0.241176,-40.0,271.32,-245.63,133.3%,1291.88,7,0.295,2026-02-08,3,
2264097-825,2,VQ,OVER,1.3325,5000,HCPL2232500E,"Shenzhen Troson Technology Co., Ltd",1.6,1000,25+,High,2,1.882353,-41.3,282.35,-267.50,20.0%,6662.50,4,2.1,2026-02-08,9,
5735899-340,6,VQ,OVER,10.92,1200,XC7A15T1FGG484I,"Presemis Technology Co., Ltd",13.3,600,22+,Medium,-14,15.647059,-43.3,1408.24,-1428.00,50.0%,13104.00,1,17.35,2026-01-21,5,
5736582-825,2,VQ,OVER,25.675,420,LTM4630EY1APBF,"Xin Jun Hong (HK) Industry Co., Ltd",32,180,23+,High,5,37.647059,-46.6,1016.47,-1138.50,42.9%,10783.50,4,40.95,2026-02-06,5,
201523-F-274,2,VQ,OVER,3.2045,2000,TM4C1294KCPDTI3R,"Original Chip Source Electronics Co., Limited",4,2000,25+,High,6,4.705882,-46.9,1411.76,-1591.00,100.0%,6409.00,1,4.9,2026-02-10,3,
