CPC,MPNs,Type,vs Target,RFQ Target,RFQ Qty,Source MPN,Supplier/Location,VQ Cost,Source Qty,Date Code,Floor Price,Suggested Resale,Resale Basis,% Under Tgt,Quoted GP,% Demand,Opp Amount,Confidence,Days Btw,VQ Alts,Sales History (12mo),Stock Offer Date
5309975-19-825,1,VQ,UNDER,166.4,720,EP2AGX95EF35C4G,Vistron Electronics (US) Ltd,135,720,23+,158.823529,220.000000,Same-cust PPV $220.0000,-32.2,61200.00,100.0%,119808.00,High,2,1,Plexus Corp. (Shortage) $220.00 02/06 (5x) | Plexus Corp. (PPV) $220.00 05/14 (1x) | Plexus Corp. (?) $220.00 03/12 (1x),
2299519-825,6,VQ,UNDER,0.25675,15000,OPA2277UA2K5,Dynamic Domain PTE Ltd,0.175,7500,23+,0.205882,0.350000,Same-cust Shortage $0.3500,-36.3,1312.50,50.0%,3851.25,High,2,1,Plexus Corp. (Shortage) $0.35 02/08 (3x),
5661415-2-825,1,VQ,VERIFY QTY,562.25,240,10AX090H4F34E3SG,,660,0,"",776.470588,865.000000,Same-cust PPV $865.0000,-53.8,0.00,VERIFY,134940.00,Medium,-7,2,Plexus Corp. (Shortage) $865.00 09/26 (3x) | Plexus Corp. (PPV) $865.00 07/03 (1x),
5793095-3-825,1,VQ,VERIFY QTY,4.485,1500,EPCQ64ASI16N,SKY CHIP (HK) TECHNOLOGY LIMITED,3.2,0,"",3.764706,10.050000,Same-cust PPV $10.0500,-124.1,0.00,VERIFY,6727.50,Medium,-7,11,Plexus Corp. (PPV) $10.05 06/27 (1x) | Vinyas Innovative Technologies Pvt Ltd (Shortage) $11.20 09/25 (4x),
2367587-825,2,VQ,OVER,0.5655,10000,LM2676SXADJNOPB,Qiaocheng Technology Limited,0.53,10000,23+,0.623529,0.730000,Same-cust Shortage $0.7300,-29.1,2000.00,100.0%,5655.00,High,2,0,Plexus Corp. (Shortage) $0.73 02/08 (3x),
2367587-825,2,Stock,CHECK WITH JAKE,0.5655,10000,LM2676SXADJNOPB,Stock - Hong Kong Warehouse,,250,"",0.623529,,,,,2.5%,5655.00,Stock,,0,Plexus Corp. (Shortage) $0.73 02/08 (3x),2025-07-21
5724902-825,2,VQ,OVER,0.51155,5000,ADS1115IDGSR,Shun Chiu (HK) Industry Development Ltd,0.50,5000,23+,0.588235,0.700000,Same-cust PPV $0.7000,-36.8,1000.00,100.0%,2557.75,High,6,0,Plexus Corp. (PPV) $0.70 02/10 (1x),
5724902-825,2,Stock,CHECK WITH JAKE,0.51155,5000,ADS1115IDGST,Stock - Austin Warehouse,,700,"",0.588235,,,,,14.0%,2557.75,Stock,,0,Plexus Corp. (PPV) $0.70 02/10 (1x),2025-07-21
201523-F-274,2,VQ,OVER,3.2045,2000,TM4C1294KCPDTI3R,"Original Chip Source Electronics Co., Limited",4,2000,25+,4.705882,4.900000,Same-cust PPV $4.9000,-52.9,1800.00,100.0%,6409.00,High,6,0,Plexus Corp. (PPV) $4.90 02/10 (1x) | Plexus Corp. (Shortage) $4.93 12/16 (2x),
1870394-604,3,VQ,OVER,0.975,2000,MSP430F149IPMR,"Original Chip Source Electronics Co., Limited",0.88,2000,"",1.035294,1.500000,Same-cust PPV $1.5000,-53.8,1240.00,100.0%,1950.00,Medium,-14,3,Plexus Corp. (PPV) $1.50 02/10 (1x) | Plexus Corp. (Shortage) $1.50 12/29 (1x) | Plexus Corp. (?) $1.50 02/28 (1x),
2264097-825,2,VQ,OVER,1.3325,5000,HCPL2232500E,"Shenzhen Troson Technology Co., Ltd",1.6,1000,25+,1.882353,2.050000,Same-cust PPV $2.0500,-53.8,450.00,20.0%,6662.50,High,2,1,Plexus Corp. (Shortage) $2.10 02/08 (7x) | Plexus Corp. (PPV) $2.05 06/16 (1x) | Plexus Corp. (?) $2.05 03/10 (1x),
421548-001-825,6,VQ,OVER,0.494,90000,OPA2336EA2K5,Qadira Technology Ltd,0.55,20000,23+,0.647059,0.760000,Same-cust Shortage $0.7600,-53.8,4200.00,22.2%,44460.00,High,-1,0,Plexus Corp. (Shortage) $0.76 11/20 (2x) | Plexus Corp. (?) $0.76 02/28 (1x),
5331904-3-825,1,VQ,OVER,578.5,48,EP4SGX180HF35C4G,Dutch Valley,746,96,22+,877.647059,890.000000,Same-cust Shortage $890.0000,-53.8,6912.00,200.0%,27768.00,Medium,-7,2,Plexus Corp. (Shortage) $890.00 11/20 (6x),
2192923-825,2,VQ,OVER,0.494,15000,HCPL0631500E,"Leip (HK) Technology Co., Ltd",0.54,1500,25+,0.635294,0.770000,Same-cust Shortage $0.7700,-55.9,345.00,10.0%,7410.00,High,2,0,Plexus Corp. (Shortage) $0.77 02/08 (8x),
5214702-16-825,1,VQ,OVER,8.125,1200,EP3C5F256C8N,Risetech Technology (HK) Ltd,10.6,1080,23+,12.470588,12.900000,Same-cust PPV $12.9000,-58.8,2484.00,90.0%,9750.00,High,4,0,Plexus Corp. (PPV) $12.90 02/06 (1x) | Plexus Corp. (Shortage) $12.50 10/30 (1x),
5735899-340,6,VQ,OVER,10.92,1200,XC7A15T1FGG484I,"Presemis Technology Co., Ltd",13.3,600,22+,15.647059,17.350000,Same-cust Shortage $17.3500,-58.9,2430.00,50.0%,13104.00,Medium,-14,0,Plexus Corp. (Shortage) $17.35 01/21 (5x),
