CPC,MPNs,Type,vs Target,RFQ Target,RFQ Qty,Source MPN,Supplier/Location,VQ Cost,Source Qty,Date Code,Floor Price,Suggested Resale,% Under Tgt,Floor GP Line,CT GP Line,% Demand,Opp Amount,Confidence,Days Btw,VQ Alts,Sales History (12mo),Stock Offer Date
2299519-825,6,VQ,UNDER,0.25675,15000,OPA2277UA2K5,Dynamic Domain PTE Ltd,0.175,7500,23+,0.205882,0.297500,19.8,231.62,613.13,50.0%,3851.25,High,2,2,Plexus Corp. (Shortage) $0.35 02/08 (3x),
5309975-19-825,1,VQ,UNDER,166.4,720,EP2AGX95EF35C4G,Vistron Electronics (US) Ltd,135,720,23+,158.823529,209.000000,4.6,17152.94,22608.00,100.0%,119808.00,High,2,2,Plexus Corp. (Shortage) $220.00 02/06 (5x) | Plexus Corp. (PPV) $220.00 05/14 (1x) | Plexus Corp. (?) $220.00 03/12 (1x),
5793095-3-825,1,VQ,VERIFY QTY,4.485,1500,EPCQ64ASI16N,SKY CHIP (HK) TECHNOLOGY LIMITED,3.2,0,"",3.764706,9.547500,16.1,0.00,0.00,VERIFY,6727.50,Medium,-7,12,Plexus Corp. (PPV) $10.05 06/27 (1x) | Vinyas Innovative Technologies Pvt Ltd (Shortage) $11.20 09/25 (4x),
5661415-2-825,1,VQ,VERIFY QTY,562.25,240,10AX090H4F34E3SG,,660,0,"",776.470588,821.750000,-38.1,0.00,0.00,VERIFY,134940.00,Medium,-7,3,Plexus Corp. (Shortage) $865.00 09/26 (3x) | Plexus Corp. (PPV) $865.00 07/03 (1x),
1870394-604,3,VQ,OVER,0.975,2000,MSP430F149IPMR,"Original Chip Source Electronics Co., Limited",0.88,2000,"",1.035294,1.425000,-6.2,310.59,190.00,100.0%,1950.00,Medium,-14,4,Plexus Corp. (PPV) $1.50 02/10 (1x) | Plexus Corp. (Shortage) $1.50 12/29 (1x) | Plexus Corp. (?) $1.50 02/28 (1x),
2367587-825,2,VQ,OVER,0.5655,10000,LM2676SXADJNOPB,Qiaocheng Technology Limited,0.53,10000,23+,0.623529,0.623529,-10.3,935.29,355.00,100.0%,5655.00,High,2,1,Plexus Corp. (Shortage) $0.73 02/08 (3x),
2367587-825,2,Stock,CHECK WITH JAKE,0.5655,10000,LM2676SXADJNOPB,Stock - Hong Kong Warehouse,,250,"",0.623529,,,,,2.5%,5655.00,Stock,,0,Plexus Corp. (Shortage) $0.73 02/08 (3x),2025-07-21
5724902-825,2,VQ,OVER,0.51155,5000,ADS1115IDGSR,Shun Chiu (HK) Industry Development Ltd,0.50,5000,23+,0.588235,0.665000,-15.0,441.18,57.75,100.0%,2557.75,High,6,1,Plexus Corp. (PPV) $0.70 02/10 (1x),
5724902-825,2,Stock,CHECK WITH JAKE,0.51155,5000,ADS1115IDGST,Stock - Austin Warehouse,,700,"",0.588235,,,,,14.0%,2557.75,Stock,,0,Plexus Corp. (PPV) $0.70 02/10 (1x),2025-07-21
5309975-9-825,1,VQ,OVER,73.58,576,EP2AGX65DF29C6G,Vistron Electronics (US) Ltd,80,360,23+,94.117647,100.300000,-27.9,5082.35,-2311.20,62.5%,42382.08,High,-2,2,Plexus Corp. (Shortage) $118.00 02/02 (4x),
2192923-825,2,VQ,OVER,0.494,15000,HCPL0631500E,"Leip (HK) Technology Co., Ltd",0.54,1500,25+,0.635294,0.654500,-28.6,142.94,-69.00,10.0%,7410.00,High,2,1,Plexus Corp. (Shortage) $0.77 02/08 (8x),
421548-001-825,6,VQ,OVER,0.494,90000,OPA2336EA2K5,Qadira Technology Ltd,0.55,20000,23+,0.647059,0.647059,-31.0,1941.18,-1120.00,22.2%,44460.00,High,-1,1,Plexus Corp. (Shortage) $0.76 11/20 (2x) | Plexus Corp. (?) $0.76 02/28 (1x),
2324958-825,4,VQ,OVER,0.17225,7500,SN65HVD230DR,"Excellence Time Electronics Co., Ltd",0.205,10000,25+,0.241176,0.250750,-40.0,271.32,-245.63,133.3%,1291.88,High,2,7,Plexus Corp. (Shortage) $0.30 02/08 (3x),
2264097-825,2,VQ,OVER,1.3325,5000,HCPL2232500E,"Shenzhen Troson Technology Co., Ltd",1.6,1000,25+,1.882353,1.947500,-41.3,282.35,-267.50,20.0%,6662.50,High,2,2,Plexus Corp. (Shortage) $2.10 02/08 (7x) | Plexus Corp. (PPV) $2.05 06/16 (1x) | Plexus Corp. (?) $2.05 03/10 (1x),
