Chuboe_RFQ_ID[Value],Chuboe_CPC,Chuboe_MFR_Text,Chuboe_MPN,Qty,PriceEntered,Description
789703,249508-2,OHMITE,B20NJ50RE,100,,
790665,249778-1,Vishay Intertechnology Inc,561R10TCCT12,200,,
1008499,UCC28C43DR,,UCC28C43DR,18187,0.04,Shenzhen Ke li cheng Electronics (fenglei@wqpgx.cn)
1008499,LIS3DHTR,,LIS3DHTR,5000,,Saipu Electronics HK Tech (purchase05@saipu-ic.com)
1008499,PC28F128J3F75B,,PC28F128J3F75B,5000,,Saipu Electronic Technology (bestwin004@saipu-ic.com)
1008499,W25Q128JVSIQ,,W25Q128JVSIQ,1985,,Shenzhen Yudexin Electronic Technology (violet@yudexin-tech.com)
1008499,MT47H128M16RT-25E:C,,MT47H128M16RT-25E:C,2000,,Shenzhen Yudexin Electronic Technology (lily@yudexin-tech.com)
1008499,MT47H128M16RT-25E:C,,MT47H128M16RT-25E:C,2000,,Shenzhen Yudexin Electronic Technology (violet@yudexin-tech.com)
1008499,PIC18F14K22T-I/SS,,PIC18F14K22T-I/SS,20775,,Shenzhen Yudexin Electronic Technology (noah@yudexin-tech.com)
1008499,EPCS64SI16N,,EPCS64SI16N,4337,,Shenzhen Yudexin Electronic Technology (violet@yudexin-tech.com)
