Chuboe_RFQ_ID[Value],Chuboe_CPC,Chuboe_MFR_Text,Chuboe_MPN,Qty,PriceEntered,Description
1008499,MT47H128M16RT-25E:C,Micron Technology Inc.,MT47H128M16RT-25E:C,1000,,Xincheng Microelectronics (18305916469@163.com)
1008499,MT47H128M16RT-25E,Micron Technology Inc.,MT47H128M16RT-25E,2000,,Shenzhen Haofangbian Electronics (alan@szhfb.com.cn)
1008499,MT40A256M16LY-062E AUT:F,Micron Technology Inc.,MT40A256M16LY-062E AUT:F,1950,2.00,Kailaiji Electronic Trading (andrew@ickailaiji.cn)
1008499,FT2232HL-REEL,FTDI,FT2232HL-REEL,1000,,ShenZhen Gengwu Technology (GraceDanielle25@outlook.com)
1004270,"BZV90-C6V8,115",Nexperia,"BZV90-C6V8,115",1000,,Testing services quote - PPSI (hanhly@ppsi.io)
1004270,"BZV90-C5V6,115",Nexperia,"BZV90-C5V6,115",1000,,Testing services quote - PPSI (hanhly@ppsi.io)
1008499,FT2232HL,FTDI,FT2232HL,1000,,Xincheng Microelectronics (13045870673@163.com)
1005541,M15098/11-001,,M15098/11-001,100,,
1004685,ADS1115IDGST,Texas Instruments Incorporated,ADS1115IDGST,700,,3341299 RSI
1002381,AP7365-33EG-13,Diodes Incorporated,AP7365-33EG-13,10000,,
