Chuboe_RFQ_ID[Value],Chuboe_CPC,Chuboe_MFR_Text,Chuboe_MPN,Qty,PriceEntered,Description
1008499,FT2232HL,,FT2232HL,1000,,"Rukat_JinXian@163.com - New and unused, original packaging"
1008499,EP3C120F484I7N,,EP3C120F484I7N,1000,,alice@chenguang-ic.com - need original
1013161,UCC28C43DR,,UCC28C43DR,18187,,Sender: diana@qixunmicro-ic.com
1008499,ALM-38140-TR1G,,ALM-38140-TR1G,1537,,Katia-Xinsheng@aliyun.com
1007783,IS42S16400J-7TLI,,IS42S16400J-7TLI,10000,,
1005200,AD9707BCPZ-RL7,,AD9707BCPZ-RL7,2997,,
1008499,EPCS64SI16N,,EPCS64SI16N,4337,,18807072336
1008499,OPA1678IDR,,OPA1678IDR,14663,0.02,Lily
1012193,AD9220ARS-REEL,,AD9220ARS-REEL,5230,,
1008499,LIS2DH12TR,,LIS2DH12TR,4000,,梁嘉欣 - DC: unknown (?)
1008499,LIS3DHTR,STMicroelectronics,LIS3DHTR,8000,,autosend@icsource.com
1008499,STM32F103RBT6,,STM32F103RBT6,1280,,3393254835 - Customer requesting price and date code info
1007081,LIS3DHTR,,LIS3DHTR,32000,,QtyListed: 47894
1008499,WKO331MCPCF0KR,,WKO331MCPCF0KR,2997,,bluesu852
1009583,SN55107AJ,,SN55107AJ,1378,,DC 1547+
1008499,PTH05060WAH,,PTH05060WAH,338,,17728867474
1008499,FT2232HL-REEL,,FT2232HL-REEL,1000,,alice@chenguang-ic.com - need original
1008499,EP3C120F484I7N,,EP3C120F484I7N,3467,,echoamberch
1013161,FT2232HL-REEL,,FT2232HL-REEL,1000,,From elis@chenguang-ic.com
1013161,OPA2834IDGKR,,OPA2834IDGKR,10579,,From xixi265896@163.com
1013161,MT40A256M16LY-062E,,MT40A256M16LY-062E,1950,,AUT:F; From stephenleo56@163.com
1010161,LIS3DHTR,,LIS3DHTR,47894,,
1008499,W25Q128JVSIQ,,W25Q128JVSIQ,1985,,Sini
1008499,FT2232HL-REEL,,FT2232HL-REEL,1000,,alice@chenguang-ic.com - need original
1008499,PMMAD1103LF,,PMMAD1103LF,3500,,"autosend@icsource.com - ICSource RFQ from Alantys Technology. We show PMMAD1103-LF, 3015 pcs, Protek Devices Inc, DC 1742/18"
1002761,PMMAD1103-LF,,PMMAD1103-LF,3500,,ESD Suppressor Diode Diode Array Uni-Dir; 3015 listed on netCOMPONENTS
1010161,LIS2DH12TR,,LIS2DH12TR,4000,,
1008499,MT40A256M16LY-062E,Micron Technology Inc,MT40A256M16LY-062E,1950,,"alice@chenguang-ic.com - AUT:F, need original"
1008499,XC9521610HQ208I,Xilinx Inc,XC9521610HQ208I,200,,autosend@icsource.com - Date code: 10+; ICSource RFQ from Chip Prospect Industry Co Limited
1008499,EPCS64SI16N,,EPCS64SI16N,4337,,zoe
1008499,STD5N52U,,STD5N52U,83378,0.014,"Zheng yang - Immediate need, ready to order upon confirmation"
1008499,STLD125N4F6AG,,STLD125N4F6AG,25000,,chioe77 - Customer requests date code info
1008499,MT47H128M16RT-25E:C,,MT47H128M16RT-25E:C,2000,,liorah
1008499,AD9707BCPZ-RL7,,AD9707BCPZ-RL7,2997,,mila-5085qwer - Original and unused required
1008499,FT2232HL-REEL,,FT2232HL-REEL,1000,,sam-nuo
